NO,NAMA PERUSAHAAN,NEGARA,JENIS KEGIATAN
29,LANMEI AIRLINES*,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
30,KLM ROYAL DUTCH AIRLINES,BELANDA,Penumpang dan Kargo
31,KOREAN AIR,KOREA SELATAN,Penumpang dan Kargo
32,MALAYSIA AIRLINES BERHAD,MALAYSIA,Penumpang dan Kargo
33,MALINDO AIR,MALAYSIA,Penumpang dan Kargo
34,MASWINGS*,MALAYSIA,Penumpang dan Kargo
35,MY JET XPRESS AIRLINES*,MALAYSIA,Penumpang dan Kargo
36,MYAIRLINES*,MALAYSIA,Penumpang dan Kargo
37,OMAN AIR,OMAN,Penumpang dan Kargo
38,PHILIPPINES AIRASIA,FILIPINA,Penumpang dan Kargo
39,PHILIPINES AIRLINES,FILIPINA,Penumpang dan Kargo
40,QANTAS AIRWAYS,AUSTRALIA,Penumpang dan Kargo
41,QATAR AIRWAYS,QATAR,Penumpang dan Kargo
42,ROSSIYA AIRLINES*,RUSIA,Penumpang dan Kargo
43,ROYAL BRUNEI AIRLINES,BRUNEI DARUSSALAM,Penumpang dan Kargo
44,SAUDI ARABIAN AIRLINES,ARAB SAUDI,Penumpang dan Kargo
45,SCOOT PTE LTD,SINGAPURA,Penumpang dan Kargo
46,SHANDONG AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
47,SHENZEN AIRLINES Co. Ltd.,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
48,SICHUAN AIRLINES*,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
49,SINGAPORE AIRLINES,SINGAPURA,Penumpang dan Kargo
50,SRILANKAN AIRLINES,SRILANKA,Penumpang dan Kargo
51,STARLUX AIRLINES*,REPUBLIK TIONGKOK (ROC),Penumpang dan Kargo
52,THAI AIRASIA,THAILAND,Penumpang dan Kargo
53,THAI AIRWAYS INTERNATIONAL,THAILAND,Penumpang dan Kargo
54,THAI LION AIR,THAILAND,Penumpang dan Kargo
55,THAI SMILE AIRWAYS COMPANY LIMITED*,THAILAND,Penumpang dan Kargo
56,THAI VIETJET AIR*,THAILAND,Penumpang dan Kargo
57,TURKISH AIRLINES,TURKI,Penumpang dan Kargo
58,UZBEKISTAN AIRWAYS,UZBEKISTAN,Penumpang dan Kargo
59,VALUAIR*,SINGAPURA,Penumpang dan Kargo
60,VIETJET AVIATION,VIETNAM,Penumpang dan Kargo
61,VIETNAM AIRLINES,VIETNAM,Penumpang dan Kargo
62,VIRGIN AUSTRALIA INTERNATIONAL AIRLINES,AUSTRALIA,Penumpang dan Kargo
63,VISTARA AIRLINES,INDIA,Penumpang dan Kargo
64,ΧΙΑΜΕN AIRLINES,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
65,ZHEJIANG LOONG AIRLINES*,REPUBLIK RAKYAT TIONGKOK,Penumpang dan Kargo
66,KOREAN AIR,KOREA SELATAN,Khusus Kargo
67,K-MILE AIR,THAILAND,Khusus Kargo
68,CATHAY PACIFIC,HONGKONG,Khusus Kargo
69,CARGOLUX AIRLINES INTERNATIONAL,LUXEMBOURG,Khusus Kargo
70,CHINA AIRLINES,REPUBLIK TIONGKOK (ROC),Khusus Kargo
71,FEDERAL EXPRESS,USA,Khusus Kargo
72,LUFTHANSA CARGO*,JERMAN,Khusus Kargo
73,RAYA AIRWAYS,MALAYSIA,Khusus Kargo
74,WORD CARGO AIRLINES SDN. BHD.,MALAYSIA,Khusus Kargo
