NO,KOTA
1,Alor (ARD)
2,Ambon (AMQ)
3,Ampana (OJU)
4,Anambas (LMU)
5,Atambua (ABU)
6,Bajawa (BJW)
7,Balikpapan (BPN)
8,Banda Aceh (BTJ)
9,Bandar Lampung (TKG)
10,Bandung (BDO)
11,Banjarmasin (BDJ)
12,Banyuwangi (BWX)
13,Batam (BTH)
14,Batulicin (BTW)
15,Bau Bau (BUW)
16,Bengkulu (BKS)
17,Biak (BIK)
18,Bima (BMU)
19,Bintuni (NTI)
20,Bungo (BUU)
21,Buol (UOL)
22,Cilacap (CXP)
23,Denpasar (DPS)
24,Dobo (DOB)
25,Dumai (DUM)
26,Ende (ENE)
27,Fak-fak (FKQ)
28,Galela (GLX)
29,Gorontalo (GTO)
30,Gunung Sitoli (GNS)
31,Jakarta (CGK)
32,Jakarta-HLP (HLP)
33,Jambi (DJB)
34,Jayapura (DJJ)
35,Jember (JBB)
36,Kaimana (KNG)
37,Kao (KAZ)
38,Karimun Jawa (KWB)
39,Kendari (KDI)
40,KEP TALAUD (IAX)
41,Kerinci (KRC)
42,Ketapang (KTG)
43,Pomala (PUM)
44,Kotabaru (KBU)
45,Kupang (KOE)
46,Kolaka (KXB)
47,Labuha (LAH)
48,Labuhan Bajo (LBJ)
49,Lahat (PXA)
50,Langgur (LUV)
51,Larantuka (LKA)
52,Lewoleba (LWE)
53,Lhokseumawe (LSW)
54,Lubuk Linggau (LLJ)
55,Luwuk (LUW)
56,Maba (PGQ)
57,Majalengka (KJT)
58,Makassar (UPG)
59,Malang (MLG)
60,Malinau (LNU)
61,Mamuju (MJU)
62,Manado (MDC)
63,Manokwari (MKW)
64,Mappi (KEI)
65,Matak (MWK)
66,Maumere (MOF)
67,Medan (KNO)
68,Melak (GHS)
69,Melangguane (MNA)
70,Merauke (MKQ)
71,Meulaboh (MEQ)
72,Moa (JIO)
73,Morotai (OTI)
74,Morowall (MOH)
75,Muna (RAQ)
76,Nabire (NBX)
77,Namlea (NAM)
78,Namrole (NRE)
79,NATUNA (NTX)
80,Nunukan (NNX)
81,Oksibil (OKL)
82,Padang Pariaman (PDG)
83,Padang Sidempuan (AEG)
84,Palangkaraya (PKY)
85,Palembang (PLM)
86,Palopo (Bua) (LLO)
87,Palu (PLW)
88,PANGANDARAN (CJN)
89,Pangkal Pinang (PGK)
90,Pangkalan Bun (PKN)
91,Peakon Seral (TFY)
92,Pekanbaru (PKU)
93,Pontianak (PNK)
94,Poso (PSJ)
95,"Praya, Lombok (LOP)"
96,Putu Sibau (PSU)
97,Rote (RTI)
98,Ruteng (RTG)
99,Sabu (SAU)
100,Samarinda (AAP)
101,Samarinda (SRI)
102,Sampit (SMQ)
103,Sanana (SON)
104,Saumlaki (SXK)
105,Selayar (KSR)
106,Semarang (SRG)
107,Serui (ZRI)
108,Sibolga (FLZ)
109,Siborongborong -(DTB)
110,Sinabang (SNB)
111,Singkep (SIQ)
112,Sintang (SQG)
113,Solo (SOC)
114,Sorong (SOQ)
115,Sumbawa Besar (SWQ)
116,Sumenep (SUP)
117,Surabaya (SUB)
118,Tahuna (NAH)
119,TAKENGON (TXE)
120,Tambolaka (TMC)
121,Tanah Merah (TMH)
122,Tanjung Pandan (TJQ)
123,Tanjung Pinang (TNJ)
124,Tanjung Redeb (BEJ)
125,Tanjung Selor (TJS)
126,Tarakan (TRK)
127,Tasikmalaya (TSY)
128,Teluk Bintoni (BXB)
129,Ternate (TTE)
130,Timika (TIM)
131,Toli-toli (TLI)
132,Tana Toraja (TRT)
133,Waingapu (WGP)
134,Wamena (WMX)
135,Wangi-Wangi (WNI)
136,Yahukimo (DEX)
137,Yogyakarta (JOG)
138,Yogyakarta (YIA)
