NO,NAMA BADAN USAHA
1,PT. GARUDA INDONESIA (Persero) Tbk.
2,PT. LION MENTARI AIRLINES
3,PT. INDONESIA AIRASIA
4,PT. WINGS ABADI
5,PT. SRIWIJAYA AIR
6,PT. BATIK AIR INDONESIA
7,PT. CITILINK INDONESIA
8,PT. TRANSNUSA AVIATION MANDIRI
