NO,KOTA
1,Balikpapan (BPN)
2,Banda Aceh (BTJ)
3,Bandar Lampung (TKG)
4,Bandung (BDO)
5,Batam (BTH)
6,Denpasar (DPS)
7,Jakarta (CGK)
8,Jakarta-HLP (HLP)
9,Kupang (KOE)
10,Majalengka (KJT)
11,Makassar (UPG)
12,Manado (MDC)
13,Medan (KNO)
14,Padang Pariaman (PDG)
15,Palembang (PLM)
16,Pekanbaru (PKU)
17,Pontianak (PNK)
18,"Praya, Lombok (LOP)"
19,Semarang (SRG)
20,Siborong-borong (DTB)
21,Solo (SOC)
22,Surabaya (SUB)
23,Tanjung Pandan (TJQ)
24,Tarakan (TRK)
25,Yogyakarta (JOG)
26,Yogyakarta (YIA)
