NO,KOTA
1,Balikpapan(BPN)
2,Banda Aceh(BTJ)
3,Batam(BTH)
4,Denpasar(DPS)
5,Jakarta(CGK)
6,Jakarta(HLP)
7,Majalengka(KJT)
8,Makassar(UPG)
9,Manado(MDC)
10,Medan(KNO)
11,Padang Pariaman(PDG)
12,Pekanbaru(PKU)
13,"Praya, Lombok(LOP)"
14,Semarang(SRG)
15,Surabaya(SUB)
16,Yogyakarta(YIA)
