NO,RUTE (PP)
1,BANDAR SRI BEGAWAN(BWN) - Balikpapan(BPN)
2,Jakarta(CGK) - TFU
3,Dubai(DXB) - Denpasar(DPS)
4,Chennai(MAA) - Medan(KNO)
5,Narita(NRT) - Manado(MDC)
6,Jakarta(CGK) - Riyadh(RUH)
7,Denpasar(DPS) - Guangzhou(CAN)
8,Fuzhou(FOC) - Denpasar(DPS)
9,Manado(MDC) - Guangzhou(CAN)
10,Gold Coast(OOL) - Denpasar(DPS)
11,Port Moresby(POM) - Denpasar(DPS)
12,Jakarta(CGK) - Chengdu(CTU)
13,Jakarta(CGK) - Nanning(NNG)
14,Kuala Lumpur(KUL) - Balikpapan(BPN)
15,Manado(MDC) - Denpasar(DPS)
16,Pudong(PVG) - Denpasar(DPS)
17,Xiamen(XMN) - Denpasar(DPS)
18,Jakarta(CGK) - Kota Kinabalu(BKI)
19,Jakarta(CGK) - Bangkok-Don Mueang (DMK)
20,Jakarta(CGK) - Guilin(KWL)
21,Denpasar(DPS) - Delhi(DEL)
22,Manado(MDC) - Fuzhou(FOC)
23,Ho Chi Minh City (SGN) - Denpasar(DPS)
24,Jakarta(CGK) - Doha(DOH)
25,Shenzhen(SZX) - Denpasar(DPS)
26,Jakarta(CGK) - Mumbai(BOM)
27,Jakarta(CGK) - Istanbul(IST)
28,Kuala Lumpur (KUL) - Majalengka(KJT)
29,Jakarta(CGK) - Shenzhen(SZX)
30,Denpasar(DPS) - Auckland(AKL)
31,SINGAPURA(SIN) - Jakarta-HLP(HLP)
32,Surabaya(SUB) - Johor Baru(JHB)
33,Jakarta(CGK) - Cairo(CAI)
34,Jakarta(CGK) - Macau(MFM)
35,Jakarta(CGK) - Phnom Penh(PNH)
36,Jakarta(CGK) - Tashkent(TAS)
37,DARWIN(DRW) - Denpasar(DPS)
38,Medan(KNO) - Delhi(DEL)
39,Narita(NRT) - Denpasar(DPS)
40,Jakarta(CGK) - Guangzhou(CAN)
41,Jakarta(CGK) - Hanoi(HAN)
42,Jakarta(CGK) - KUCHING(KCH)
43,Jakarta(CGK) - Manila(MNL)
44,Jakarta(CGK) - Pudong(PVG)
45,Denpasar(DPS) - Brisbane(BNE)
46,Medan(KNO) - Bangkok-Don Mueang (DMK)
47,Pekanbaru(PKU) - Malaka(MKZ)
48,"SINGAPURA(SIN) - Praya, Lombok(LOP)"
49,Surabaya(SUB) - Penang(PEN)
50,Makassar(UPG) - Medinah(MED)
51,Jakarta(CGK) - Amsterdam(AMS)
52,Jakarta(CGK) - Colombo(CMB)
53,Jakarta(CGK) - Hangzhou(HGH)
54,Jakarta(CGK) - Kunming(KMG)
55,Jakarta(CGK) - Nanjing(NKG)
56,Jakarta(CGK) - Taipei(TPE)
57,Medan(KNO) - Jeddah(JED)
58,SINGAPURA(SIN) - Manado(MDC)
59,Surabaya(SUB) - SINGAPURA(SIN)
60,Makassar(UPG) - SINGAPURA(SIN)
61,Jakarta(CGK) - Abu Dhabi(AUH)
62,Jakarta(CGK) - Hongkong(HKG)
63,Jakarta(CGK) - Kuala Lumpur(KUL)
64,Jakarta(CGK) - Ho Chi Minh City(SGN)
65,Jakarta(CGK) - Wenzhou(WNZ)
66,Denpasar(DPS) - Cairns(CNS)
67,Hanoi(HAN) - Denpasar(DPS)
68,Padang Pariaman (PDG) - Kuala Lumpur(KUL)
69,SINGAPURA(SIN) - Pekanbaru(PKU)
70,Sydney(SYD) - Denpasar(DPS)
71,Jakarta(CGK) - Haneda(HND)
72,Jakarta(CGK) - Narita(NRT)
73,Jakarta(CGK) - SINGAPURA(SIN)
74,Jakarta(CGK) - Wuhan(WUH)
75,Hongkong(HKG) - Denpasar(DPS)
76,Kuala Lumpur (KUL) - Banda Aceh(BTJ)
77,Penang(PEN) - Banda Aceh(BTJ)
78,Semarang(SRG) - SINGAPURA(SIN)
79,Subang(SZB) - Batam(BTH)
80,Yogyakarta(YIA) - Kuala Lumpur(KUL)
81,Jakarta(CGK) - Bangkok(BKK)
82,Jakarta(CGK) - Incheon(ICN)
83,Jakarta(CGK) - Muscat(MCT)
84,Jakarta(CGK) - Beijing(PEK)
85,Jakarta(CGK) - Sydney(SYD)
86,Jakarta(CGK) - Xiamen(XMN)
87,Denpasar(DPS) - DILI(DIL)
88,Incheon(ICN) - Denpasar(DPS)
89,Kuala Lumpur(KUL) - Denpasar(DPS)
90,Medinah(MED) - Medan(KNO)
91,Penang(PEN) - Denpasar(DPS)
92,SINGAPURA(SIN) - Balikpapan(BPN)
93,Surabaya(SUB) - BANDAR SRI BEGAWAN(BWN)
94,Yogyakarta(YIA) - SINGAPURA(SIN)
95,Jakarta(CGK) - Dubai(DWC)
