NO,KOTA
1,Balikpapan(BPN)
2,Banda Aceh(BTJ)
3,Batam(BTH)
4,Denpasar(DPS)
5,Jakarta(CGK)
6,Jakarta(HLP)
7,Labuhan Bajo(LBJ)
8,Majalengka(KJT)
9,Makassar(UPG)
10,Manado(MDC)
11,Medan(KNO)
12,Padang Pariaman(PDG)
13,Pekanbaru(PKU)
14,"Praya, Lombok(LOP)"
15,Semarang(SRG)
16,Surabaya(SUB)
17,Yogyakarta(YIA)
