38 Provinsi,,
,Jumlah Penumpang Domestik berdasarkan Moda Transportasi Pesawat Terbang menurut provinsi (Orang),
,Datang,Berangkat
,2023,2023
ACEH,299304,319669
SUMATERA UTARA,3096470,2911192
SUMATERA BARAT,1044639,1058022
RIAU,1202651,1209784
JAMBI,500730,514140
SUMATERA SELATAN,1400271,1407875
BENGKULU,302108,311143
LAMPUNG,450453,470598
KEP. BANGKA BELITUNG,977662,942400
KEP. RIAU,1917028,1844117
DKI JAKARTA,1851212,1808394
JAWA BARAT,436446,396773
JAWA TENGAH,1612931,1627742
DI YOGYAKARTA,2032930,2008203
JAWA TIMUR,6213566,5522780
BANTEN,18852585,18538674
BALI,4954504,4721260
NUSA TENGGARA BARAT,1047328,1081950
NUSA TENGGARA TIMUR,1424334,1335166
KALIMANTAN BARAT,1288429,1282163
KALIMANTAN TENGAH,587146,583473
KALIMANTAN SELATAN,1469683,1411054
KALIMANTAN TIMUR,3114834,2633946
KALIMANTAN UTARA,341774,339309
SULAWESI UTARA,749537,729507
SULAWESI TENGAH,574826,563832
SULAWESI SELATAN,5038460,2832918
SULAWESI TENGGARA,628198,626592
GORONTALO,155515,155781
SULAWESI BARAT,27156,27835
MALUKU,478161,436001
MALUKU UTARA,418745,424829
PAPUA BARAT,332294,348848
PAPUA BARAT DAYA,756853,471503
PAPUA,554785,522186
PAPUA SELATAN,200372,200185
PAPUA TENGAH,344890,386725
PAPUA PEGUNUNGAN,40249,40784
INDONESIA,66719059,62047353
