38 Provinsi,,
,Jumlah Penumpang Domestik berdasarkan Moda Transportasi Pesawat Terbang menurut provinsi (Orang),
,Datang,Berangkat
,2022,2022
ACEH,238180,243192
SUMATERA UTARA,2767592,2641995
SUMATERA BARAT,918723,945854
RIAU,1091929,1112014
JAMBI,418896,444434
SUMATERA SELATAN,1042882,1048314
BENGKULU,257709,279537
LAMPUNG,336711,354626
KEP. BANGKA BELITUNG,887765,868782
KEP. RIAU,1955781,1853592
DKI JAKARTA,499677,477046
JAWA BARAT,371007,332478
JAWA TENGAH,1230437,1229087
DI YOGYAKARTA,1516297,1478759
JAWA TIMUR,5106670,4555038
BANTEN,16599630,16070990
BALI,3978853,3878206
NUSA TENGGARA BARAT,1029778,977217
NUSA TENGGARA TIMUR,1270848,1198921
KALIMANTAN BARAT,1187003,1175749
KALIMANTAN TENGAH,523015,526030
KALIMANTAN SELATAN,1230591,1190326
KALIMANTAN TIMUR,2398895,2129314
KALIMANTAN UTARA,272646,277592
SULAWESI UTARA,611346,615598
SULAWESI TENGAH,474779,484811
SULAWESI SELATAN,4713368,2592500
SULAWESI TENGGARA,546519,556026
GORONTALO,149084,146837
SULAWESI BARAT,25516,25980
MALUKU,576714,592443
MALUKU UTARA,348692,350038
PAPUA BARAT,365100,367335
PAPUA BARAT DAYA,573435,365879
PAPUA,1057034,886063
PAPUA SELATAN,186577,188825
PAPUA TENGAH,164281,180048
PAPUA PEGUNUNGAN,106856,142362
INDONESIA,57030816,52783838
