38 Provinsi,,
,Jumlah Penumpang Domestik berdasarkan Moda Transportasi Pesawat Terbang menurut provinsi (Orang),
,Datang,Berangkat
,2021,2021
ACEH,167057,176800
SUMATERA UTARA,1714801,1582519
SUMATERA BARAT,535490,542865
RIAU,599455,606250
JAMBI,212562,224580
SUMATERA SELATAN,528797,548052
BENGKULU,163421,162509
LAMPUNG,210860,230152
KEP. BANGKA BELITUNG,458323,466133
KEP. RIAU,1138413,1163897
DKI JAKARTA,753801,736105
JAWA BARAT,191675,192871
JAWA TENGAH,657460,647605
DI YOGYAKARTA,784392,760866
JAWA TIMUR,3002700,2587087
BANTEN,8705037,7952582
BALI,1881084,1825060
NUSA TENGGARA BARAT,618145,554042
NUSA TENGGARA TIMUR,1059424,940946
KALIMANTAN BARAT,583252,633012
KALIMANTAN TENGAH,321296,337092
KALIMANTAN SELATAN,701201,651420
KALIMANTAN TIMUR,1689236,1308010
KALIMANTAN UTARA,207009,208648
SULAWESI UTARA,445714,449965
SULAWESI TENGAH,314657,305465
SULAWESI SELATAN,3267160,1798535
SULAWESI TENGGARA,418072,414893
GORONTALO,87649,91938
SULAWESI BARAT,21668,21104
MALUKU,445628,426077
MALUKU UTARA,190336,212993
PAPUA BARAT,643106,700335
PAPUA BARAT DAYA,353610,415168
PAPUA,1276966,1237515
PAPUA SELATAN,141796,146299
PAPUA TENGAH,254392,262085
PAPUA PEGUNUNGAN,134277,122348
INDONESIA,33995847,30697923
