NO,RUTE (ASAL),RUTE (TUJUAN)
134,Pekanbaru (PKU),Dumai (DUM)
135,Palembang (PLM),Batam (BTH)
136,Palembang (PLM),Pekanbaru (PKU)
137,Pontianak (PNK),Ketapang (KTG)
138,Sampit (SMQ),Pangkalan Bun (PKN)
139,Solo (SOC),Pangkal Pinang (PGK)
140,Sorong (SOQ),Kaimana (KNG)
141,Semarang (SRG),Bandung (BDO)
142,Semarang (SRG),Pontianak (PNK)
143,Surabaya (SUB),Banyuwangi (BWX)
144,Surabaya (SUB),Kupang (KOE)
145,Surabaya (SUB),Palembang (PLM)
146,Sumbawa Besar (SWQ),"Praya, Lombok (LOP)"
147,Timika (TIM),Sorong (SOQ)
148,Bandar Lampung (TKG),Jakarta-HLP (HLP)
149,Tanah Merah (TMH),Merauke (MKQ)
150,Tarakan (TRK),Tanjung Selor (TJS)
151,Ternate (TTE),Maba (PGQ)
152,Makassar (UPG),Bandung (BDO)
153,Makassar (UPG),Gorontalo (GTO)
154,Makassar (UPG),Palopo (Bua) (LLO)
155,Makassar (UPG),Morowali (MOH)
156,Makassar (UPG),Surabaya (SUB)
157,Wamena (WMX),Jayapura (DJJ)
158,Yogyakarta (YIA),Denpasar (DPS)
159,Yogyakarta (YIA),Pontianak (PNK)
160,Batam (BTH),Bengkulu (BKS)
161,Jakarta (CGK),Balikpapan (BPN)
162,Jakarta (CGK),Siborong-borong (DTB)
163,Jakarta (CGK),Lubuk Linggau (LLJ)
164,Jakarta (CGK),Pekanbaru (PKU)
165,Jakarta (CGK),Semarang (SRG)
166,Jakarta (CGK),Makassar (UPG)
167,Denpasar (DPS),Banjarmasin (BDJ)
168,Medan (KNO),Padang Sidempuan (AEG)
169,Medan (KNO),Gunung Sitoli (GNS)
170,Kupang (KOE),Jakarta-HLP (HLP)
171,Malinau (LNU),Balikpapan (BPN)
172,Langgur (LUV),Dobo (DOB)
173,Meulaboh (MEQ),Medan (KNO)
174,Malang (MLG),Denpasar (DPS)
175,NATUNA (NTX),Batam (BTH)
176,Padang Pariaman (PDG),Medan (KNO)
177,Pekanbaru (PKU),Jakarta-HLP (HLP)
178,Palembang (PLM),Jambi (DJB)
179,Palu (PLW),Balikpapan (BPN)
180,Pontianak (PNK),Palangkaraya (PKY)
181,Sampit (SMQ),Palangkaraya (PKY)
182,Solo (SOC),Palangkaraya (PKY)
183,Sorong (SOQ),Manado (MDC)
184,Semarang (SRG),Balikpapan (BPN)
185,Surabaya (SUB),Samarinda (AAP)
186,Surabaya (SUB),Jayapura (DJJ)
187,Surabaya (SUB),Labuhan Bajo (LBJ)
188,Surabaya (SUB),Palu (PLW)
189,Saumlaki (SXK),Ambon (AMQ)
190,Tanjung Pandan (TJQ),Jakarta-HLP (HLP)
191,Bandar Lampung (TKG),Palembang (PLM)
192,Tanjung Pinang (TNJ),Batam (BTH)
193,Ternate (TTE),Sanana (SQN)
194,Makassar (UPG),Biak (BIK)
195,Makassar (UPG),Jakarta-HLP (HLP)
196,Makassar (UPG),"Praya, Lombok (LOP)"
197,Makassar (UPG),Ampana (OJU)
198,Makassar (UPG),Timika (TIM)
199,Wamena (WMX),Timika (TIM)
200,Yogyakarta (YIA),Jakarta-HLP (HLP)
201,Yogyakarta (YIA),Bandar Lampung (TKG)
202,Batulicin (BTW),Banjarmasin (BDJ)
203,Jakarta (CGK),Batam (BTH)
204,Jakarta (CGK),Sibolga (FLZ)
205,Jakarta (CGK),"Praya, Lombok (LOP)"
206,Jakarta (CGK),Palangkaraya (PKY)
207,Jakarta (CGK),Surabaya (SUB)
208,Jakarta (CGK),Yogyakarta (YIA)
209,Denpasar (DPS),Bandung (BDO)
210,Jakarta-HLP (HLP),Samarinda (AAP)
211,Jakarta-HLP (HLP),Cilacap (CXP)
212,Yogyakarta (JOG),Jakarta-HLP (HLP)
213,Medan (KNO),Bandung (BDO)
214,Medan (KNO),Jakarta-HLP (HLP)
215,Kerinci (KRC),Bungo (BUU)
216,"Praya, Lombok (LOP)",Bima (BMU)
217,Lewoleba (LWE),Kupang (KOE)
218,Mamuju (MJU),Balikpapan (BPN)
219,Malang (MLG),Jakarta-HLP (HLP)
220,Namlea (NAM),Ambon (AMQ)
221,Oksibil (OKL),Jayapura (DJJ)
222,Pangkal Pinang (PGK),Batam (BTH)
223,Pekanbaru (PKU),Majalengka (KJT)
224,Palembang (PLM),Denpasar (DPS)
225,Palu (PLW),Gorontalo (GTO)
226,Putu Sibau (PSU),Pontianak (PNK)
227,Sinabang (SNB),Medan (KNO)
228,Solo (SOC),Palembang (PLM)
