NO,KOTA
1,Balikpapan (BPN)
2,Banda Aceh (BTJ)
3,Bandar Lampung (TKG)
4,Bandung (BDO)
5,Batam (BTH)
6,Denpasar (DPS)
7,Jakarta (CGK)
8,Jakarta-HLP (HLP)
9,Makassar (UPG)
10,Manado (MDC)
11,Medan (KNO)
12,Padang Pariaman (PDG)
13,Palembang (PLM)
14,Pekanbaru (PKU)
15,Pontianak (PNK)
16,"Praya, Lombok (LOP)"
17,Semarang (SRG)
18,Siborong-borong (DTB)
19,Solo (SOC)
20,Surabaya (SUB)
21,Tarakan (TRK)
22,Yogyakarta (YIA)
