NO,KOTA
1,Abu Dhabi (AUH)
2,Addis Ababa (ADD)
3,Adelaide (ADL)
4,Amsterdam (AMS)
5,Auckland (AKL)
6,Bandar Sri Begawan (BWN)
7,Bangkok (BKK)
8,Bangkok-Don Mueang (DMK)
9,Beijing (PEK)
10,Brisbane (BNE)
11,Cairns (CNS)
12,Changsha (CSX)
13,Chengdu (CTU)
14,Colombo (CMB)
15,DARWIN (DRW)
16,DILI (DIL)
17,Doha (DOH)
18,Dubai - Al Maktoum (DWC)
19,Dubai (DXB)
20,Findel (LUX)
21,Fuzhou (FOC)
22,Guangzhou (CAN)
23,Haikou (HAK)
24,Haneda (HND)
25,Hangzhou (HGH)
26,Hanoi (HAN)
27,Ho Chi Minh City (SGN)
28,Hongkong (HKG)
29,Incheon (ICN)
30,Istanbul (IST)
31,Jeddah (JED)
32,Johor Baru (JHB)
33,Kuala Lumpur (KUL)
34,Kuching (KCH)
35,Kunming (KMG)
36,Malaka (MKZ)
37,Manila (MNL)
38,Medinah (MED)
39,Melbourne (MEL)
40,Muscat (MCT)
41,Nanchang (KHN)
42,Nanjing (NKG)
43,Nanning (NNG)
44,Narita (NRT)
45,Oblast Moskwa (SVO)
46,Osaka (KIX)
47,Penang (PEN)
48,Perth (PER)
49,Port Hedland (PHE)
50,Pudong (PVG)
51,Riyadh (RUH)
52,Shenzhen (SZX)
53,Singapura (SIN)
54,Subang (SZB)
55,Sydney (SYD)
56,Taipei (TPE)
57,Tashkent (TAS)
58,Tawau (TWU)
59,Wuhan (WUH)
60,Xiamen (XMN)
61,Xian (XIY)
62,Zhengshou (CGO)
