Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,255263,190693,197738,209681,251463,216748,248679,209408,190778,197989,187237,187584,2543261,225371,199003,228797,242933,247289,259573,248374,215767,203850,208016,206055,254894,2739922,17978,19834,20181,20106,24974,24114,23589,18646,16668,16286,20162,17398,239936
Soekarno Hatta-Jakarta,1419611,1295180,1452671,1490809,1645124,1608563,1737637,1525937,1468845,1582366,1599568,1712363,18538674,1514709,1340349,1452393,1481733,1726730,1626363,1759922,1561457,1495622,1631748,1608502,1653057,18852585,28912,34035,26994,23982,35807,36392,24665,25083,21274,22835,26281,31905,338165
Juanda-Surabaya,408885,364358,387720,387112,551152,440885,521681,416647,415522,448181,417901,446702,5206746,445090,435238,468376,513523,517893,525460,534559,494967,486655,499884,472146,501797,5895588,62828,59220,65281,47149,74862,76344,73445,72688,70295,70978,72404,62328,807822
Hasanudin-Makassar,231757,201365,226555,214910,266986,224750,290263,225646,223066,229759,224648,222794,2782499,387684,359886,407844,404961,463220,439612,470223,402675,396091,415679,409083,437363,4994321,189447,179863,197130,184699,221587,200765,219993,191906,189791,201105,199110,202079,2377475
Ngurah Rai-Bali,395530,299968,329969,332329,380661,423745,489801,427258,389220,435834,386832,429996,4721143,348284,324185,350276,378618,397549,463368,483821,444487,423011,437874,409860,493653,4954986,14044,15746,23567,21412,26495,22035,20458,19436,19416,19408,19593,20726,242336
Bandara Lainnya,2078457,2060039,2222050,2398462,2655317,2561312,2666842,2438407,2337272,2449674,2404317,2619459,28891608,2196054,2099531,2322306,2373324,2820311,2604516,2938193,2498239,2395563,2531791,2606546,2653322,30039696,124982,115225,152353,124658,153275,137227,176645,138845,131242,132185,128610,134030,1649277
TOTAL,4789503,4411603,4816703,5033303,5750703,5476003,5954903,5243303,5024703,5343803,5220503,5618898,62683931,5117192,4758192,5229992,5395092,6172992,5918892,6435092,5617592,5400792,5724992,5712192,5994086,67477098,438191,423923,485506,422006,537000,496877,538795,466604,448686,462797,466160,468466,5655011
