Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225304,137536,177348,166129,245423,217171,230623,193350,179483,189447,188598,198739,2349151,194485,142432,194290,196820,224658,243783,233543,196022,187938,200496,203033,268705,2486205,18835,13858,20300,11569,14919,20676,20300,15671,12615,13612,16463,17487,196305
Soekarno Hatta-Jakarta,1069185,808614,1195183,1206248,1561849,1527629,1566606,1367804,1310419,1405625,1418906,1627832,16065900,1241322,911234,1301181,1175936,1727989,1558715,1597001,1425516,1324100,1401693,1401797,1520795,16587279,131993,93569,118199,96754,117074,64797,80537,54827,12565,12763,12683,23891,819652
Juanda-Surabaya,301152,220164,319093,285101,501021,404070,447785,346118,339071,367656,371289,413988,4316508,357877,267975,385013,392176,479579,451275,472767,390643,384402,416598,413092,463268,4874665,57684,44512,57028,33198,46362,65942,65584,57435,49916,58140,57352,63590,656743
Hasanudin-Makassar,211736,156830,219928,179676,275356,229651,246482,201465,193865,210265,211856,216028,2553138,359032,286631,406941,364710,458467,428603,434486,366130,344336,390243,397893,436667,4674139,178639,146100,204046,181140,207893,206138,211078,192633,172567,199010,208470,218347,2326061
Ngurah Rai-Bali,317662,191034,290652,224687,395423,362418,408296,341349,299634,341780,317266,388008,3878209,280455,193436,283801,244839,376693,383114,386949,356501,327148,352200,339073,454652,3978861,99,6,131,912,227,71,990,17500,16415,18718,17702,17194,89965
Bandara Lainnya,1768961,1360522,1741696,1702659,2305928,2131861,2132408,1825214,1826528,2052427,2112685,2435005,23395894,1830929,1372892,1759774,1732219,2385514,2211110,2271254,2202688,1859876,2146762,2204112,2476413,24453543,118764,94806,126496,128481,129580,145031,137549,135626,119653,137717,132408,140364,1546475
TOTAL,3894000,2874700,3943900,3764500,5285000,4872800,5032200,4275300,4149000,4567200,4620600,5279600,52558800,4264100,3174600,4331000,4106700,5652900,5276600,5396000,4937500,4427800,4907992,4959000,5620500,57054692,506014,392851,526200,452054,516055,502655,516038,473692,383731,439960,445078,480873,5635201
