Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Domestik di 5 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,157614,100191,122498,119306,104644,150762,51362,49711,80935,116465,143606,161457,1358551,124317,106106,134687,141026,125864,165517,58880,59271,85734,126287,159706,228391,1515786,15666,9817,14384,15326,17121,22559,6753,10177,10825,12212,17676,18605,171121
Soekarno Hatta-Jakarta,507262,482132,672107,703135,598615,858770,249940,321287,560577,824287,974987,1192278,7945377,673120,524397,701825,772335,650944,941540,264882,357782,618478,874977,1052519,1197061,8629860,83860,53627,61607,77630,99605,95657,31549,46187,75127,94344,122234,125531,966958
Juanda-Surabaya,189560,152366,198457,219430,210700,346782,74127,97491,166499,231536,278750,305669,2471367,194771,170249,251562,315713,265293,350456,79174,94541,194122,286334,342937,351369,2896521,28645,18637,36137,36919,31458,67254,14088,14751,34406,54536,68151,58606,463588
Hasanudin-Makassar,163992,128429,166182,175885,142954,210516,73783,66276,112102,159016,182441,182396,1763972,250579,215024,287543,304400,261010,381216,126896,132268,227611,321096,361144,365425,3234212,128245,109058,137127,148947,120748,182748,58904,74964,134208,184009,197323,182257,1658538
Ngurah Rai-Bali,118965,71105,116888,142344,121441,225671,49999,47409,113912,224887,274179,318264,1825064,83380,77693,134561,151024,139942,229924,32135,42446,120066,236847,279160,353906,1881084,9762,8225,12624,13683,8617,7321,624,108,961,2656,2289,147,67017
Bandara Lainnya,1199007,971177,1366368,1430800,1258746,1725399,496189,485526,930975,1360809,1641037,1836236,14702269,1243133,1032131,1427922,1464502,1252647,1820847,553133,531592,964289,1420059,1823334,1873948,15407537,83616,87211,101336,118487,97335,122508,54631,48377,83092,94885,152170,116923,1160571
TOTAL,2336400,1905400,2642500,2790900,2437100,3517900,995400,1067700,1965000,2917000,3495000,3996300,30066600,2569300,2125600,2938100,3149000,2695700,3889500,1115100,1217900,2210300,3265600,4018800,4370100,33565000,349794,286575,363215,410992,374884,498047,166549,194564,338619,442642,559843,502069,4487793
