NO,RUTE (PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
398,Yogyakarta (YIA)-Jambi (DJB),,,,,,"0,0%"
399,Solo (SOC)-Balikpapan (BPN),,,,,,"0,0%"
400,Sampit (SMQ)-Banjarmasin (BDJ),,,,,,"0,0%"
401,"Praya, Lombok (LOP)-Majalengka (KJT)",,,,,,"0,0%"
402,Pangkal Pinang (PGK)-Bandung (BDO),,,,,,"0,0%"
403,Manado (MDC)-Galela (GLX),,,,,,"0,0%"
404,Palu (PLW)-Ampana (OJU),,,,,,"0,0%"
405,Surabaya (SUB)-Medan (KNO),,,,,,"0,0%"
406,Palembang (PLM)-Bungo (BUU),,,,,,"0,0%"
407,Solo (SOC)-Banjarmasin (BDJ),,,,,,"0,0%"
408,Pontianak (PNK)-Majalengka (KJT),,,,,,"0,0%"
409,Jakarta (CGK)-Luwuk (LUW),,,,,,"0,0%"
410,Tanjung Pinang (TNJ)-Anambas (LMU),,,,,,"0,0%"
,,402447,35393966,60269598,430559992,8605576,"58,7%"
