NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
148,SINGAPURA (SIN)-Jakarta-HLP (HLP),209,,,2871218.0,,"0,0%"
149,Jakarta (CGK)-Hanoi (HAN),11,,,266556.0,,"0,0%"
150,Kuala Lumpur (KUL)-Majalengka (KJT),,,,,,"0,0%"
151,Kuala Lumpur (KUL)-Balikpapan (BPN),,,,,,"0,0%"
152,Semarang (SRG)-Haikou (HAK),,,,,,"0,0%"
153,Jakarta (CGK)-Hangzhou (HGH),,,,,,"0,0%"
154,Bandar Lampung (TKG)-Kuala Lumpur (KUL),,,,,,"0,0%"
155,Solo (SOC)-Haikou (HAK),,,,,,"0,0%"
156,Jakarta (CGK)-Findel (LUX),,,,,,"0,0%"
157,Xiamen (XMN)-Denpasar (DPS),,,,,,"0,0%"
Total,,60825,7187439.0,12660624.0,317385786.0,6181001.0,"56,8%"
* Rute Codeshare Niaga Berjadwal Luar Negeri,,,,,,,
