slope,intercept,r,r2,p,n,kode_rute,total_pax
17.484281399654645,-211296.12136286512,0.521345302553012,0.27180092449409166,0.0009370110165532341,37,DPS-SYD,2066308.0
17.621560182230702,-198731.33320344833,0.48364421264637014,0.2339117244263273,0.002424497267775287,37,DPS-MEL,2608812.0
23.542374262134757,-315957.97341505333,0.6988818158458115,0.48843579251993885,7.480723591134034e-10,59,CGK-DOH,2141589.16
26.430529142786522,-362307.4529496049,0.6810888069635375,0.4638819629710148,2.7504582767365448e-08,52,SIN-SUB,1816624.4
36.274455886085,-495197.0088030544,0.5541551030269813,0.3070878782108443,4.358391112703634e-06,60,CGK-JED,2862292.26
38.4711446304448,-536808.6440773903,0.7681762926090799,0.5900948165266308,1.2042989447261542e-11,54,KNO-KUL,2198046.0
45.50215295179622,-588551.7057561218,0.5567361615802617,0.3099551536111233,0.00023248391593811273,39,DPS-KUL,4048684.59
63.324440032520634,-784643.1127681411,0.6120253803962149,0.37457506624913156,4.4436598730164236e-05,38,DPS-SIN,6891090.0
94.71839008173407,-1319095.282494475,0.7067816620647017,0.4995403178309422,2.778381877418256e-10,60,CGK-KUL,5910487.1
114.32701581015847,-1569636.8064150058,0.6341581409222111,0.402156547697915,5.333480460963352e-08,60,CGK-SIN,8486353.129999999
