PENGELOLA BANDARA,DALAM NEGERI DTG,DALAM NEGERI BRKT,DALAM NEGERI TOTAL,LUAR NEGERI DTG,LUAR NEGERI BRKT,LUAR NEGERI TOTAL
AP I,14.386.530,11.849.839,26.236.369,95.954,13.122,109.076
AP II,13.581.876,12.990.016,26.571.892,911.060,896.503,1.807.563
BUBU,73.965,81.864,155.829,36,341,377
UPBU,5.063.247,5.146.541,10.209.788,-,-,-
TOTAL,33.105.618,30.068.260,63.173.878,1.007.050,909.966,1.917.016
