covid_phase,n_bulan,inflasi_yoy_mean,inflasi_mtm_mean,bi_rate_mean
lockdown,19,1.6952631578947368,0.09631578947368422,3.8421052631578947
pre_pandemic,2,2.83,0.335,4.875
recovery,24,2.9945833333333334,0.1725,5.958333333333333
transisi,15,3.716666666666667,0.43066666666666664,3.9
