NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
112.0,SOQ-MDC,9.687,6.288,6.246,5.859,7.488,7.318,7.395,5.783,5.548,5.924,5.634,7.866,81.036
113.0,KOE-ENE,8.383,7.062,8.355,6.325,6.838,6.48,6.238,4.83,4.25,5.274,6.927,8.328,79.29
114.0,UPG-MOH,6.294,5.589,7.481,7.043,7.085,7.87,6.796,6.034,5.01,5.121,5.073,8.613,78.009
115.0,DPS-BPN,5.861,3.16,3.931,3.616,6.148,5.59,8.798,6.444,7.31,8.024,6.152,10.653,75.687
116.0,TTE-MDC,7.198,5.739,7.26,6.369,6.346,6.114,6.052,5.579,5.712,6.226,5.893,6.808,75.296
117.0,SUB-SMQ,4.976,5.371,6.985,6.424,7.192,7.28,6.929,6.211,6.189,6.706,6.605,3.859,74.727
118.0,YIA-HLP,,,,,,,,,3.273,21.005,24.012,25.701,73.991
119.0,MKW-DJJ,5.237,7.443,7.376,4.533,6.451,7.601,7.595,5.053,4.293,4.641,5.032,8.171,73.426
120.0,YIA-PNK,,,,2.673,9.847,8.921,10.661,8.61,7.178,6.648,6.313,6.911,67.762
121.0,BPN-BDO,7.913,5.698,6.01,4.221,5.211,5.36,5.607,4.851,4.321,4.902,5.074,5.578,64.746
122.0,CGK-GTO,1.829,1.639,2.491,3.47,6.615,7.532,6.764,5.644,5.948,7.403,7.671,7.607,64.613
123.0,SUB-PLM,7.088,3.054,2.603,4.938,10.694,8.033,8.682,269.0,3.51,3.974,4.172,5.818,62.835
124.0,UPG-KXB,5.983,4.648,5.27,4.696,6.866,6.098,5.332,4.307,4.176,4.649,5.474,5.32,62.819
125.0,TMC-KOE,5.268,3.448,5.31,5.804,5.797,5.161,5.696,4.927,4.344,4.286,3.917,4.985,58.943
126.0,SWQ-LOP,3.738,3.328,3.908,4.293,6.778,6.701,5.263,4.984,4.713,5.122,4.56,5.003,58.391
127.0,SRG-HLP,,,,,,,,,7.37,14.026,14.456,19.746,55.598
128.0,WGP-KOE,5.127,3.579,4.295,3.807,4.263,4.179,4.693,3.951,3.641,4.852,5.465,7.137,54.989
129.0,NBX-DJJ,4.874,4.442,5.403,4.971,4.587,4.402,4.109,3.728,4.242,4.373,4.848,4.783,54.762
130.0,DJJ-DEX,4.931,4.753,3.666,4.379,4.098,4.523,4.186,4.735,4.102,4.24,4.84,3.297,51.75
131.0,PDG-KNO,5.372,3.67,5.416,4.231,6.002,3.29,3.54,4.535,3.53,3.891,3.406,3.583,50.466
132.0,UPG-MKW,15.144,10.182,9.078,4.653,2.382,1.205,1.661,,,,,6.161,50.466
133.0,BXB-AMQ,7.072,6.398,6.757,6.246,4.838,5.317,5.445,5.092,3.015,,,,50.18
134.0,UPG-MKQ,7.555,3.998,2.309,4.671,2.319,3.128,3.163,3.397,3.074,3.65,4.058,7.763,49.085
135.0,NTX-BTH,4.347,3.037,4.261,4.149,3.761,4.601,4.167,3.134,3.699,4.23,4.337,4.772,48.495
136.0,UPG-MJU,4.349,3.48,3.934,3.954,3.768,4.359,3.968,3.623,3.542,3.713,5.17,4.334,48.194
137.0,BEJ-AAP,2.033,3.445,4.079,3.769,4.062,4.053,4.213,4.291,3.902,4.289,4.154,3.631,45.921
138.0,KOE-ARD,4.427,3.855,4.501,3.43,3.623,3.936,3.173,2.902,3.224,3.471,3.796,3.574,43.912
139.0,LBJ-ENE,4.03,3.529,4.211,3.35,3.342,3.268,3.954,3.59,3.704,3.518,3.296,3.437,43.229
140.0,SUB-JOG,7.472,5.111,6.027,2.686,2.961,2.817,3.015,2.922,2.684,2.546,2.402,2.304,42.947
141.0,CGK-LLJ,,,,2.026,6.806,5.129,5.468,4.11,4.617,4.78,4.312,5.081,42.329
142.0,KNO-FLZ,2.364,1.846,3.108,2.872,3.448,3.789,3.912,3.792,4.182,4.111,4.106,4.695,42.225
143.0,PNK-BTH,2.449,2.34,2.956,2.495,3.01,3.751,2.913,542.0,4.181,4.763,4.369,8.217,41.986
144.0,DPS-BMU,3.452,3.078,4.046,3.044,3.819,3.641,3.412,3.296,3.294,3.178,3.261,3.008,40.529
145.0,KOE-BJW,3.683,3.33,3.678,2.881,2.736,3.531,3.093,3.053,3.649,3.437,3.49,3.645,40.206
146.0,SOQ-FKQ,3.499,2.957,3.427,3.101,3.545,3.368,2.942,3.165,3.182,3.188,3.53,3.417,39.321
147.0,JOG-HLP,4.134,,,,,,,,4.067,10.581,10.584,9.111,38.477
148.0,SUB-DJJ,4.463,3.52,4.929,4.727,10.548,8.751,1.404,,,,,,38.342
149.0,SOC-HLP,,,,,,,,,3.536,10.85,12.466,11.217,38.069
150.0,PDG-HLP,4.005,,,,,,,,10.277,8.01,7.987,7.772,38.051
151.0,WGP-DPS,3.589,2.798,3.545,3.135,3.55,3.359,3.674,3.094,2.849,2.978,2.421,2.732,37.724
152.0,LBJ-KOE,3.292,2.717,2.381,3.339,3.817,2.784,4.066,2.809,2.417,2.918,3.307,3.497,37.344
