NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
158,SXK-AMQ,705,34599,50760,244382,0.0,
159,TTE-AMQ,577,34574,57807,82189,0.0,
160,UPG-BDO,298,34448,56322,270666,3310.0,
161,JOG-BDO,697,30833,50136,82791,0.0,
162,LKA-KOE,594,30092,42768,125739,0.0,
163,UPG-KBU,642,28928,46224,77110,0.0,
164,NAM-AMQ,636,28781,45792,8264,0.0,
165,LSW-KNO,511,28330,36792,18444,0.0,
166,PKU-HLP,228,27712,35838,33783,100.0,
167,SOQ-AMQ,626,27646,45072,15875,0.0,
168,SOQ-KNG,603,26084,43416,75836,0.0,
169,UPG-MOF,599,24988,43128,40506,0.0,
170,SUB-SOQ,238,24475,39644,117328,856.0,
171,DJB-BTH,446,24456,33399,12712,0.0,
172,CGK-BUU,250,23896,30000,2236,0.0,
173,NBX-MKW,560,23354,40320,24442,0.0,
174,BTW-BDJ,359,21633,25848,495,0.0,
175,SOQ-BXB,547,21190,39384,3857,0.0,
176,LWE-KOE,447,20363,32184,24606,0.0,
177,UPG-LLO,425,20014,30600,3940,0.0,
178,TMH-DJJ,670,19851,28480,31722,0.0,
179,HMS-BDJ,308,19541,22176,479,0.0,
180,TTE-LAH,387,18850,27864,15,0.0,
181,RTI-KOE,398,18764,28656,19607,0.0,
182,UPG-HLP,202,18756,31794,25119,85.0,
183,PLW-MOH,482,18275,34704,262,0.0,
184,PSU-PNK,399,18178,28728,423,0.0,
185,UPG-TRT,442,18033,31824,21,0.0,
186,LNU-BPN,335,17945,24120,939,0.0,
187,SOC-PNK,194,17918,22776,86698,0.0,
188,YIA-BTH,130,17070,23400,15447,0.0,
189,KOE-ABU,387,16447,27864,7454,0.0,
190,HLP-AAP,182,16347,28392,9907,0.0,
191,SUB-BDO,387,16121,27800,64514,0.0,
192,TIM-EWE,286,16100,20592,15664,0.0,
193,PKY-BPN,368,15287,26496,7724,0.0,
194,YIA-LOP,129,15281,23220,3284,0.0,
195,TKG-HLP,186,14828,29256,433,0.0,
196,HLP-DTB,111,14675,19490,37762,0.0,
197,PLW-LUW,312,14572,22464,8417,0.0,
198,UPG-BTW,351,14510,25272,734,0.0,
199,LMU-BTH,353,14262,25416,97,0.0,
200,SQG-PNK,305,13598,21960,661,0.0,
201,MEQ-KNO,254,13513,18288,328,0.0,
202,CGK-TIM,144,13501,22609,210441,155.0,
203,SRG-DPS,377,13445,27144,12151,0.0,
204,SRG-BTH,122,13096,21960,20808,0.0,
205,SRG-KTG,301,12752,21672,24082,0.0,
206,TTE-OTI,335,12718,24120,439,0.0,
207,WNI-KDI,312,12594,22464,36456,0.0,
208,LBJ-BJW,354,12570,25488,14133,0.0,
209,LUV-DOB,282,12078,20304,229841,0.0,
210,HLP-BKS,130,11815,20280,4751,0.0,
211,MDC-LUW,317,11723,22824,4687,0.0,
212,UPG-RAQ,280,11477,20160,19304,0.0,
213,PLM-BDO,269,11377,19304,19344,0.0,
214,JIO-AMQ,304,11038,14592,2123,0.0,
215,DOB-AMQ,281,10870,20232,71290,0.0,
216,NAH-MDC,253,10786,18216,170,0.0,
217,RTG-KOE,213,10595,15336,17243,0.0,
218,ZRI-DJJ,299,10433,14352,21904,0.0,
219,KDI-BUW,286,10243,20592,288,0.0,
220,UPG-BMU,254,10085,18288,4351,0.0,
221,YIA-AAP,102,10074,18360,15181,0.0,
222,MDC-KAZ,238,9646,17136,444,0.0,
223,SRG-PNK,183,9131,13176,30206,0.0,
224,SNB-KNO,258,8898,18216,77738,0.0,
225,PLW-BPN,212,8788,15731,10936,0.0,
226,NRE-AMQ,268,8286,12864,908,0.0,
227,NAH-MNA,245,8204,17640,1185,0.0,
228,MDC-GTO,169,7702,12438,469,0.0,
229,PGK-BTH,166,7649,11952,4682,0.0,
230,JOG-DPS,162,7116,11664,845,0.0,
231,UPG-LOP,180,7016,12960,5908,0.0,
232,MKQ-KEI,643,6174,8566,17922,9.0,
233,TKG-BTH,149,6113,10728,2656,0.0,
234,TLI-PLW,170,5994,12240,66,0.0,
235,TXE-KNO,144,5451,10368,340,0.0,
236,MKW-FKQ,102,4471,7344,1168,0.0,
237,UPG-KSR,106,4434,7632,168,0.0,
238,MKW-KNG,103,4360,7416,1361,0.0,
239,UPG-BDJ,22,4324,4519,0,0.0,
240,TMH-MKQ,216,4314,8448,7230,0.0,
241,PLM-PKU,108,4050,7776,45,0.0,
242,KNO-DPS,39,3847,7020,21117,0.0,
243,KNO-DJB,64,3625,5557,829,0.0,
244,PLM-KNO,18,2958,3653,0,0.0,
