NO,NAMA BADAN USAHA
1,PT. GARUDA INDONESIA(Persero) Tbk.
2,PT. LION MENTARI AIRLINES
3,PT. INDONESIA AIRASIA
4,PT. SUPER AIR JET
5,PT. BATIK AIR INDONESIA
6,PT. TRANSNUSA AVIATION MANDIRI
7,PT. WINGS ABADI AIRLINES
8,PT. CITILINK INDONESIA
