Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240115023518pdf_1-31 Januari 2024.pdf,43,SUPADIO,PONTIANAK,PNK,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,44,H. ASAN,SAMPIT,SMQ,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,45,ADISUMARMO,SOLO,SOC,91.70,"15,626.52","15,668.64"
20240115023518pdf_1-31 Januari 2024.pdf,46,SORONG DARATAN,SORONG,SOQ,93.20,"15,882.51","15,925.32"
20240115023518pdf_1-31 Januari 2024.pdf,47,ACHMAD YANI,SEMARANG,SRG,91.50,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,48,JUANDA,SURABAYA,SUB,89.20,"15,170.19","15,211.08"
20240115023518pdf_1-31 Januari 2024.pdf,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,89.40,"15,370.53","15,411.96"
20240115023518pdf_1-31 Januari 2024.pdf,50,KIJANG,TANJUNG PINANG,TNJ,91.20,"15,548.61","15,590.52"
20240115023518pdf_1-31 Januari 2024.pdf,51,JUWATA,TARAKAN,TRK,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,52,BABULLAH,TERNATE,TTE,93.20,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,53,HASANUDDIN,UJUNG PANDANG,UPG,92.10,"15,659.91","15,702.12"
20240115023518pdf_1-31 Januari 2024.pdf,54,MAU HAU,WAINGAPU,WGP,90.90,"15,492.96","15,534.72"
20240115023518pdf_1-31 Januari 2024.pdf,55,ISWAHYUDI,MADIUN,WIAR (ICAO),90.80,"15,504.09","15,545.88"
20240115023518pdf_1-31 Januari 2024.pdf,56,DUMATUBUN,TUAL,LUV,93.90,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,57,SILANGIT,SIBORONG-BORONG,DTB,90.70,"15,459.57","15,501.24"
20240115023518pdf_1-31 Januari 2024.pdf,58,KALIMARAU,BERAU,BEJ,91.40,"15,570.87","15,612.84"
20240115023518pdf_1-31 Januari 2024.pdf,59,KOMODO,LABUAN BAJO,LBJ,91.90,"15,659.91","15,702.12"
20240115023518pdf_1-31 Januari 2024.pdf,60,KUALANAMU,DELI SERDANG,KNO,89.90,"15,270.36","15,311.52"
20240115023518pdf_1-31 Januari 2024.pdf,61,TAMPA PADANG,MAMUJU,MJU,93.20,"15,871.38","15,914.16"
20240115023518pdf_1-31 Januari 2024.pdf,62,F.L. TOBING,PINANGSORI,FLZ,90.80,"15,459.57","15,501.24"
20240115023518pdf_1-31 Januari 2024.pdf,63,MOZES KILANGIN,TIMIKA,TIM,93.20,"15,882.51","15,925.32"
20240115023518pdf_1-31 Januari 2024.pdf,64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,91.50,"15,626.52","15,668.64"
20240115023518pdf_1-31 Januari 2024.pdf,65,BLIMBINGSARI,BANYUWANGI,BWX,90.90,"15,492.96","15,534.72"
20240115023518pdf_1-31 Januari 2024.pdf,66,TAMBOLAKA,SUMBA BARAT,TMC,93.70,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,67,BINAKA,GUNUNGSITOLI,GNS,90.80,"15,459.57","15,501.24"
20240115023518pdf_1-31 Januari 2024.pdf,68,KULONPROGO,YOGYAKARTA,YIA,91.70,"15,626.52","15,668.64"
20240115023518pdf_1-31 Januari 2024.pdf,69,KUABANG,HALMAHERA UTARA,KAZ,93.80,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,91.70,"15,626.52","15,668.64"
20240115023518pdf_1-31 Januari 2024.pdf,71,MATHILDA BATLAYERI,SAUMLAKI,SXK,93.40,"16,016.07","16,059.24"
20240115023518pdf_1-31 Januari 2024.pdf,72,BUDIARTO,CURUG,BTO,91.10,-,#VALUE!
20240201085703pdf_1-29 Februari 2024.pdf,1,APT PRANOTO,SAMARINDA,AAP,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,2,PATTIMURA,AMBON,AMQ,91.80,"15,804.60","15,847.20"
20240201085703pdf_1-29 Februari 2024.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,90.10,"15,359.40","15,400.80"
20240201085703pdf_1-29 Februari 2024.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,89.70,"15,303.75","15,345.00"
20240201085703pdf_1-29 Februari 2024.pdf,5,FRANS KAISIEPO,BIAK,BIK,91.80,"15,671.04","15,713.28"
20240201085703pdf_1-29 Februari 2024.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,89.40,"15,292.62","15,333.84"
20240201085703pdf_1-29 Februari 2024.pdf,7,M. SALAHUDDIN,BIMA,BMU,89.50,"15,281.49","15,322.68"
20240201085703pdf_1-29 Februari 2024.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,89.10,"15,192.45","15,233.40"
20240201085703pdf_1-29 Februari 2024.pdf,9,HANG NADIM,BATAM,BTH,89.40,"13,741.10","13,782.20"
20240201085703pdf_1-29 Februari 2024.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,78.10,"13,300.35","13,336.20"
20240201085703pdf_1-29 Februari 2024.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,90.40,"15,415.05","15,456.60"
