NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT. ASI PUDJIASTUTI AVIATION,Penumpang
2,PT. BATIK AIR INDONESIA,Penumpang
3,PT. INDONESIA AIRASIA,Penumpang
4,PT. LION MENTARI AIRLINES,Penumpang
5,PT. NAM AIR,Penumpang
6,PT. SRIWIJAYA AIR,Penumpang
7,PT. TRAVEL EXPRESS AVIATION SERVICES,Penumpang
8,PT. TRIGANA AIR SERVICE,Penumpang
9,PT. MY INDO AIRLINES,Cargo
10,PT. CARDIG AIR,Cargo
11,PT. TRI-M.G. INTRA ASIA AIRLINES,Cargo
12,PT. WINGS ABADI,Penumpang dan Kargo
13,PT. SUPER AIR JET,Penumpang dan Kargo
14,PT. FLYINDO AVIASI NUSANTARA,Penumpang dan Kargo
15,PT. DARAPATI ANTAR BUANA,Penumpang dan Kargo
16,PT. PELITA AIR SERVICE,Penumpang dan Kargo
17,PT. CITILINK INDONESIA,Penumpang dan Kargo
18,PT. GARUDA INDONESIA (Persero) Tbk,Penumpang dan Kargo
19,PT. TRANSNUSA AVIATION MANDIRI,Penumpang Dan Kargo
