NO,KOTA
1,Balikpapan(BPN)
2,Banda Aceh(BTJ)
3,Bandar Lampung(TKG)
4,Bandung(BDO)
5,Batam(BTH)
6,Denpasar(DPS)
7,Jakarta(CGK)
8,Makassar(UPG)
9,Manado(MDC)
10,Medan(KNO)
11,Padang Pariaman(PDG)
12,Palembang(PLM)
13,Pekanbaru(PKU)
14,Pontianak(PNK)
15,"Praya, Lombok(LOP)"
16,Semarang(SRG)
17,Siborong-borong(DTB)
18,Solo(SOC)
19,Surabaya(SUB)
20,Tarakan(TRK)
21,Yogyakarta(YIA)
