NO,KOTA
1,Abu Dhabi(AUH)
2,Addis Ababa(ADD)
3,Adelaide(ADL)
4,Amsterdam(AMS)
5,Auckland(AKL)
6,Bandar Sri Bengawan(BWN)
7,Bangkok(BKK)
8,Bangkok-Don Mueang(DMK)
9,Beijing(PEK)
10,Brisbane(BNE)
11,Cairns(CNS)
12,Changsha(CSX)
13,Chengdu(CTU)
14,Colombo(CMB)
15,Darwin(DRW)
16,Dili(DIL)
17,Doha(DOH)
18,Dubai(DWC)
19,Dubai(DXB)
20,Fuzhou(FOC)
21,Guangzhou(CAN)
22,Haikou(HAK)
23,Haneda(HND)
24,Hangzhou(HGH)
25,Hanoi(HAN)
26,Ho Chi Minh City(SGN)
27,Hongkong(HKG)
28,Incheon(ICN)
29,Istanbul(IST)
30,Jeddah(JED)
31,Johor Baru(JHB)
32,Kuala Lumpur(KUL)
33,Kuching(KCH)
34,Kunming(KMG)
35,Malaka(MKZ)
36,Manila(MNL)
37,Medinah(MED)
38,Melbourne(MEL)
39,Muscat(MCT)
40,Nanjing(NKG)
41,Nanning(NNG)
42,Narita(NRT)
43,Osaka(KIX)
44,Penang(PEN)
45,Perth(PER)
46,Port Hedland(PHE)
47,Pudong(PVG)
48,Shenzhen(SZX)
49,Singapura(SIN)
50,Subang(SZB)
51,Sydney(SYD)
52,Taipei(TPE)
53,Tawau(TWU)
54,Wenzhou(WNZ)
55,Wuhan(WUH)
56,Xiamen(XMN)
