NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
1,CGK-SIN,20962.0,3005022.0,3863119.0,53653573.0,63822.0,77.8%
2,SIN-DPS,12621.0,2512167.0,3107027.0,4424374.0,37700.0,80.9%
3,CGK-KUL,14304.0,1822318.0,2442478.0,9211350.0,105569.0,74.6%
4,KUL-DPS,9451.0,1430090.0,1913290.0,782245.0,2853.0,74.7%
5,MEL-DPS,5334.0,926575.0,1126641.0,2602352.0,725.0,82.2%
6,CGK-JED,2754.0,887805.0,1153409.0,7308107.0,83574.0,77.0%
7,PER-DPS,5879.0,866316.0,1050807.0,78923.0,,82.4%
8,KUL-KNO,6132.0,752891.0,1068636.0,1507615.0,,70.5%
9,SYD-DPS,4289.0,721809.0,900755.0,2449434.0,36041.0,80.1%
10,SUB-SIN,4720.0,679021.0,865883.0,6597381.0,,78.4%
11,CGK-DOH,2188.0,628058.0,708094.0,15910582.0,25374.0,88.7%
12,SUB-KUL,4443.0,609214.0,795745.0,1078178.0,343.0,76.6%
13,DPS-DOH,1822.0,596502.0,661947.0,6067664.0,19.0,90.1%
14,PEN-KNO,4584.0,576030.0,857952.0,510189.0,117.0,67.1%
15,DXB-DPS,1321.0,571406.0,639454.0,3180985.0,793008.0,89.4%
16,CGK-DMK,3850.0,541761.0,687825.0,945742.0,45.0,78.8%
17,CGK-HKG,2489.0,500744.0,671422.0,26424254.0,65284.0,74.6%
18,CGK-DXB,1446.0,486322.0,556348.0,12581638.0,448285.0,87.4%
19,CGK-ICN,1850.0,417923.0,513088.0,12536683.0,505371.0,81.5%
20,DPS-BNE,1998.0,416194.0,474284.0,1092977.0,,87.8%
21,DPS-DMK,2773.0,371722.0,486756.0,94861.0,,76.4%
22,CGK-TPE,1736.0,367102.0,493799.0,23408416.0,107687.0,74.3%
23,TPE-DPS,1463.0,350183.0,444943.0,7640631.0,59781.0,78.7%
24,CGK-BKK,2342.0,349140.0,605516.0,9967025.0,233121.0,57.7%
25,SGN-DPS,2205.0,334107.0,502408.0,766074.0,,66.5%
26,CGK-NRT,2129.0,333474.0,454386.0,15626356.0,678263.0,73.4%
27,CGK-MED,970.0,300414.0,401016.0,1062617.0,2591.0,74.9%
28,ICN-DPS,1156.0,285789.0,320851.0,862317.0,236656.0,89.1%
29,CGK-IST,924.0,284303.0,306498.0,8325391.0,113086.0,92.8%
30,MNL-DPS,1694.0,280336.0,356265.0,1017482.0,1191.0,78.7%
31,CGK-PEN,2123.0,280090.0,345102.0,1624639.0,,81.2%
32,CGK-HND,1510.0,275805.0,372173.0,7504702.0,7667.0,74.1%
33,CGK-AUH,917.0,269317.0,301591.0,8208523.0,14859.0,89.3%
34,HKG-DPS,1113.0,265087.0,308516.0,4387314.0,,85.9%
35,PKU-KUL,2014.0,254147.0,359148.0,1249.0,,70.8%
36,DPS-ADL,1535.0,241444.0,300510.0,8588.0,,80.3%
37,PDG-KUL,2014.0,237849.0,362538.0,9078.0,,65.6%
38,SIN-KNO,1971.0,218778.0,310598.0,854446.0,,70.4%
39,CGK-SYD,1048.0,216457.0,281077.0,3443323.0,46347.0,77.0%
40,YIA-SIN,1554.0,200337.0,275136.0,3044.0,,72.8%
41,CGK-MNL,1493.0,199306.0,296709.0,3254583.0,,67.2%
42,YIA-KUL,1544.0,198995.0,271004.0,136884.0,,73.4%
43,DPS-BKK,729.0,169925.0,214682.0,1432208.0,711.0,79.2%
44,CGK-CAN,1010.0,167575.0,239418.0,6225465.0,64.0,70.0%
45,CGK-MCT,719.0,157754.0,198396.0,5182591.0,,79.5%
46,IST-DPS,524.0,153722.0,159008.0,2508472.0,79137.0,96.7%
47,HAN-DPS,927.0,148873.0,212240.0,260776.0,,70.1%
48,CGK-SGN,1209.0,146547.0,194486.0,4589333.0,528.0,75.4%
49,LOP-KUL,984.0,130348.0,177120.0,61034.0,,73.6%
50,KNO-DMK,814.0,127451.0,146520.0,370198.0,,87.0%
51,CGK-XMN,824.0,126595.0,148020.0,716641.0,3012.0,85.5%
52,SUB-HKG,523.0,124785.0,145081.0,4120118.0,,86.0%
53,CGK-PVG,671.0,118794.0,155559.0,8482403.0,14520.0,76.4%
54,KUL-BTJ,796.0,102954.0,143398.0,15182.0,,71.8%
55,XMN-DPS,607.0,101376.0,117447.0,155513.0,,86.3%
56,CGK-MEL,537.0,97678.0,138641.0,2448892.0,4550.0,70.5%
57,DPS-DIL,1040.0,93533.0,175220.0,126790.0,,53.4%
58,UPG-KUL,750.0,92334.0,129316.0,750067.0,,71.4%
59,CGK-CMB,508.0,91812.0,125106.0,1479922.0,,73.4%
60,PVG-DPS,450.0,88735.0,104563.0,3135905.0,,84.9%
61,CGK-JHB,762.0,88608.0,119820.0,33199.0,,74.0%
62,DRW-DPS,517.0,79446.0,96061.0,3877.0,,82.7%
63,CGK-FOC,544.0,76734.0,99239.0,370179.0,4690.0,77.3%
64,DPS-CAN,423.0,75511.0,86048.0,546476.0,,87.8%
65,UPG-SIN,697.0,72542.0,117642.0,663213.0,,61.7%
66,CGK-SZX,451.0,71764.0,92246.0,1070652.0,,77.8%
67,SUB-PEN,464.0,67372.0,83520.0,16267.0,,80.7%
68,SUB-JHB,508.0,66935.0,91440.0,592.0,,73.2%
69,NRT-DPS,344.0,63246.0,86416.0,594162.0,,73.2%
70,SIN-MDC,392.0,61782.0,72390.0,,,85.3%
71,OOL-DPS,426.0,58630.0,74976.0,,,78.2%
72,MDC-CAN,282.0,55864.0,59430.0,6008.0,34730.0,94.0%
73,DPS-AKL,208.0,55603.0,62816.0,772845.0,11428.0,88.5%
74,SIN-LOP,350.0,55249.0,64632.0,14836.0,,85.5%
75,SIN-PKU,419.0,55149.0,77502.0,,,71.2%
76,CGK-RUH,192.0,53769.0,82896.0,366689.0,28.0,64.9%
77,CGK-BWN,520.0,51581.0,77995.0,106957.0,1339.0,66.1%
78,CGK-PER,519.0,51400.0,88548.0,1132.0,,58.0%
79,CGK-PEK,280.0,51170.0,67880.0,2271258.0,,75.4%
80,DPS-CNS,306.0,49552.0,56916.0,597.0,,87.1%
81,PEN-BTJ,492.0,45754.0,88422.0,254479.0,,51.7%
82,CGK-AMS,175.0,45504.0,55582.0,1296347.0,,81.9%
83,SUB-BWN,416.0,41014.0,62395.0,83239.0,,65.7%
84,CGK-BOM,294.0,39727.0,52334.0,18676.0,,75.9%
85,SIN-BPN,725.0,37611.0,51840.0,3499457.0,,72.6%
86,MDC-FOC,177.0,36033.0,38055.0,,27061.0,94.7%
87,SZB-BTH,714.0,33105.0,51408.0,,,64.4%
88,CGK-TFU,268.0,26372.0,42344.0,11009.0,,62.3%
89,CGK-KCH,172.0,25722.0,30960.0,14730.0,,83.1%
90,CGK-KMG,164.0,23536.0,25584.0,1488.0,,92.0%
91,CGK-PNH,196.0,23517.0,35280.0,32.0,,66.7%
92,KUL-BPN,161.0,20817.0,29148.0,47054.0,,71.4%
93,KUL-KJT,140.0,16426.0,25152.0,1073.0,,65.3%
94,NRT-MDC,85.0,15538.0,21335.0,185271.0,,72.8%
95,PKU-MKZ,334.0,13084.0,24048.0,,,54.4%
96,CGK-TAS,72.0,11466.0,18339.0,36005.0,,62.5%
97,DPS-DEL,62.0,10158.0,11648.0,390.0,,87.2%
98,CGK-CAI,32.0,6940.0,9888.0,95249.0,,70.2%
99,CGK-HAN,60.0,3664.0,4680.0,303253.0,,78.3%
100,CGK-CTU,34.0,3434.0,6320.0,29937.0,,54.3%
101,CGK-MFM,30.0,3177.0,4531.0,9292.0,,70.1%
102,FOC-DPS,12.0,1942.0,2208.0,,,88.0%
103,POM-DPS,68.0,1742.0,12240.0,8566.0,,14.2%
104,PEN-DPS,9.0,1139.0,1602.0,,,71.1%
105,CGK-KWL,6.0,753.0,972.0,,,77.5%
106,SZX-DPS,4.0,612.0,860.0,296.0,250.0,71.2%
107,MED-KNO,2.0,471.0,574.0,,,82.1%
108,MAA-KNO,8.0,225.0,1296.0,,,17.4%
109,SIN-HLP,241.0,,,2440812.0,,
110,KNO-DEL,,,,,,
111,BWN-BPN,43.0,,,221863.0,,
112,CGK-NNG,,,,,,
113,MDC-DPS,,,,,,
114,CGK-BKI,,,,,,
115,KCH-BPN,,,,,,
116,UPG-JED,,,,,,
117,UPG-MED,,,,,,
118,CGK-HGH,,,,,,
119,CGK-NKG,,,,,,
120,KNO-JED,,,,,,
121,CGK-WNZ,,,,,,
122,CGK-WUH,,,,,,
123,SRG-SIN,310.0,,,3727968.0,,
124,CGK-DWC,86.0,,,4195822.0,59361.0,
125,CGK-SZB,426.0,,,4692637.0,,
Total,,176909.0,29054531.0,37506423.0,337227183.0,3910788.0,77.5%
