NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
254,UPG-KSR,27.0,737.0,1877.0,93.0,,39.3%
255,TXE-KNO,8.0,304.0,576.0,,,52.8%
256,TNJ-PKU,8.0,292.0,576.0,241.0,,50.7%
257,KFR-AMQ,8.0,289.0,384.0,,,75.3%
258,SOQ-NTI,58.0,267.0,696.0,65.0,,38.4%
259,TTE-PGQ,6.0,230.0,432.0,21.0,,53.2%
260,MKQ-EWE,29.0,186.0,348.0,288.0,,53.4%
261,PKU-PDG,69.0,181.0,828.0,169.0,,21.9%
262,PKY-BDJ,1.0,148.0,162.0,,,91.4%
263,TMC-LBJ,4.0,93.0,288.0,2.0,,32.3%
264,MNA-IAX,1.0,67.0,72.0,,,93.1%
265,TRK-TJS,32.0,49.0,384.0,34.0,,12.8%
266,MNA-MDC,1.0,5.0,72.0,,,6.9%
267,HLP-BDO,,,,,,
268,PNK-DPS,,,,,,
269,SUB-PDG,,,,,,
270,SUB-SRG,,,,,,
271,UPG-AAP,,,,,,
272,SUB-AMQ,,,,,,
273,YIA-PDG,,,,,,
274,LOP-KJT,,,,,,
275,SUB-PKU,,,,,,
276,UPG-PNK,,,,,,
277,SOC-BPN,,,,,,
278,SUB-BDO,,,,,,
279,SUB-KDI,,,,,,
280,YIA-PKY,,,,,,
281,CJN-BDO,,,,,,
282,PKU-BDO,,,,,,
283,PLM-DPS,,,,,,
284,SUB-PLW,,,,,,
285,TTE-SUB,,,,,,
286,KJT-BDJ,,,,,,
287,PNK-BPN,,,,,,
288,YIA-TKG,,,,,,
289,LOP-BDO,,,,,,
290,PLM-KJT,,,,,,
291,SIQ-BTH,,,,,,
292,TNJ-SIQ,,,,,,
293,WNI-UPG,,,,,,
294,SIQ-PKU,,,,,,
295,TNJ-TBX,,,,,,
296,PNK-NTX,,,,,,
297,SNB-KNO,,,,,,
298,PKN-HLP,,,,,,
299,PLW-GTO,,,,,,
300,PWL-HLP,,,,,,
301,NTX-LMU,,,,,,
302,WMX-TIM,,,,,,
303,UOL-PLW,,,,,,
Total,,517490.0,65925924.0,82206402.0,451898766.0,861725.0,80.2%
