NO,NAMA BADAN USAHA,JENIS KEGIATAN
1,PT ASI PUDJIASTUTI AVIATION,Penumpang dan Kargo
2,PT BATIK AIR INDONESIA,Penumpang dan Kargo
3,PT BBN AIRLINES INDONESIA,Penumpang dan Kargo
4,PT CITILINK INDONESIA,Penumpang dan Kargo
5,PT GARUDA INDONESIA (Persero) Tbk,Penumpang dan Kargo
6,PT INDONESIA AIRASIA,Penumpang dan Kargo
7,PT LION MENTARI AIRLINES,Penumpang dan Kargo
8,PT NAM AIR,Penumpang dan Kargo
9,PT PELITA AIR SERVICE,Penumpang dan Kargo
10,PT SRIWIJAYA AIR,Penumpang dan Kargo
11,PT SUPER AIR JET,Penumpang dan Kargo
12,PT TRANSNUSA AVIATION MANDIRI,Penumpang dan Kargo
13,PT TRIGANA AIR SERVICE,Penumpang dan Kargo
14,PT WINGS ABADI,Penumpang
15,PT CARDIG AIR,Kargo
16,PT MY INDO AIRLINES,Kargo
17,PT RUSKY AERO INTERNASIONAL,Kargo
18,PT TRI-M.G. INTRA ASIA AIRLINES,Kargo
