Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bongkar/Muat Barang Angkutan Udara Dalam Negeri di 5 Bandara Utama (Ton),,,,,,,,,,,,,,,,,,,,,,,,,
,Barang yang Dibongkar,,,,,,,,,,,,,Barang yang dimuat,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,3257,2772,3037,3342,2371,2658,2689,2564,2580,2588,2776,2984,33618,1528,1221,1455,1414,1250,1375,1358,1382,1340,1181,1285,1492,16281
Soekarno Hatta-Jakarta,10123,9141,12841,9921,8389,9684,9398,10290,8960,7964,8304,8087,113102,18824,20508,20693,25539,20798,22138,23682,24270,21992,19261,18701,15748,252154
Juanda-Surabaya,1370,1152,1366,1461,1217,1428,1409,1333,1234,1150,1109,1187,15416,3450,3148,3510,4078,3170,3599,3700,3533,3656,3358,3399,3852,42453
Hasanudin-Makassar,4591,3851,4220,4901,3452,4160,4173,4193,4293,4356,4542,5014,51746,2552,2090,2426,2625,2240,2763,2776,2665,2508,2673,2487,2628,30433
Ngurah Rai-Bali,675,605,783,815,643,796,906,1031,1136,1027,1029,1164,10610,1404,1270,1402,1239,989,933,900,901,796,797,838,919,12388
Bandara Lainnya,33120,31133,32917,32603,29265,31687,33098,32404,33890,34805,34003,28806,387731,23540,18373,21072,19066,15506,17053,18272,20946,23969,26890,24953,25995,255635
TOTAL,53136,48654,55164,53043,45337,50413,51673,51815,52093,51890,51763,47242,612223,51298,46610,50558,53961,43953,47861,50688,53697,54261,54160,51663,50634,609344
