Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Malaysia,207523,164043,114453,61496,66414,62033,58052,57864,53370,45332,43292,46246,980118
Singapore,140569,84681,40832,2074,1334,1129,1166,1328,1397,1616,1931,2435,280492
Timor Leste,97911,80863,86281,83294,81484,81384,84347,88202,75772,81919,72033,81100,994590
Indonesia,65337,50600,27795,625,648,500,529,984,875,419,1542,1309,151163
Philippines,18443,14188,6830,1511,1955,1670,806,676,713,1003,1275,1343,50413
Thailand,7737,7492,2794,324,510,363,315,290,318,404,376,380,21303
Vietnam,9408,6714,1618,270,293,248,180,190,162,175,169,181,19608
Myanmar/Burma,4117,1975,1375,823,760,657,502,485,442,504,490,539,12669
Brunei Darussalam,1224,922,444,8,17,17,4,8,13,26,9,9,2701
Kamboja,1159,788,198,2,5,5,13,17,14,15,5,6,2227
Laos,312,396,38,0,0,0,2,2,0,1,0,2,753
A S E A N,553740,412662,282658,150427,153420,148006,145916,150046,133076,131414,121122,133550,2516037
"Hongkong, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
Republik Rakyat Tiongkok,183685,11586,4985,1748,1965,2079,2681,3635,6934,6863,6481,7126,239768
India,51794,41685,12383,629,689,506,443,365,435,537,986,1272,111724
South Korea,38830,25223,6083,193,168,252,469,575,644,907,965,1253,75562
Japan,33917,41493,13451,132,85,139,218,360,389,616,717,711,92228
Turki,2818,1699,799,67,45,58,91,72,53,96,122,118,6038
Mongolia,1087,285,106,0,0,1,0,0,0,0,1,3,1483
Kazakhstan,1835,1117,606,0,0,0,2,6,5,29,43,92,3735
Pakistan,1572,1383,759,6,31,6,13,20,22,59,110,129,4110
Uzbekistan,919,483,156,0,0,0,1,2,0,7,11,7,1586
Bangladesh,7828,2934,1267,148,90,75,36,39,59,101,112,177,12866
Nepal,1866,1491,529,0,2,1,0,11,2,1,4,9,3916
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-
Srilanka,2036,1269,586,33,66,49,23,35,27,55,56,65,4300
