Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Malaysia,44001,34425,37095,35871,45322,34345,41913,37530,37946,44113,39434,48728,480723
Singapore,2107,1864,2396,2541,2293,1049,980,946,729,1142,1462,1195,18704
Timor Leste,68451,54211,59389,48447,70265,68475,69516,70216,69080,76086,80377,84975,819488
Indonesia,935,664,1214,263,927,779,709,571,571,647,1185,1487,9952
Philippines,779,679,1014,995,972,670,483,438,511,831,1148,855,9375
Thailand,258,301,327,418,423,299,225,225,265,389,427,435,3992
Vietnam,141,167,155,196,164,131,147,134,122,160,214,277,2008
Myanmar/Burma,368,293,259,291,259,233,186,183,168,254,283,316,3093
Brunei Darussalam,4,9,6,46,3,13,6,7,11,11,17,11,144
Kamboja,2,5,13,36,18,25,22,19,14,33,17,24,228
Laos,1,0,0,3,0,1,0,0,0,0,1,1,7
A S E A N,117047,92618,101868,89107,120646,106020,114187,110269,109417,123666,124565,138304,1347714
"Hongkong, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
Republik Rakyat Tiongkok,1353,2703,8272,9639,4961,6421,2941,897,2119,6005,4889,4513,54713
India,349,558,539,826,244,211,176,165,184,949,1301,1168,6670
South Korea,207,676,842,1119,799,813,280,164,364,1281,1681,1271,9497
Japan,79,422,284,628,929,731,88,37,288,737,821,908,5952
Turki,27,63,62,101,107,117,40,17,55,122,278,133,1122
Mongolia,0,0,1,0,2,0,0,0,0,4,2,3,12
Kazakhstan,0,32,22,30,42,55,30,4,8,21,36,98,378
Pakistan,27,71,51,101,69,98,67,15,53,113,146,163,974
Uzbekistan,0,2,3,11,0,15,2,1,3,2,14,15,68
Bangladesh,88,87,79,62,80,98,50,69,53,138,93,104,1001
Nepal,0,2,5,15,5,5,1,0,2,11,7,8,61
Taiwan,-,-,-,-,-,-,-,-,-,-,-,-,-
Srilanka,26,34,52,57,79,56,27,15,42,63,100,69,620
Other Asia,275,362,353,339,377,363,283,224,216,431,522,540,4285
Maladewa,5,6,5,12,11,2,6,1,1,9,14,8,80
Kirgistan,0,1,4,3,3,9,15,0,5,76,61,69,246
Tajikhistan,1,0,0,1,2,7,2,0,1,2,5,0,21
Bhutan,0,0,0,0,0,1,0,0,0,0,2,3,6
Afganistan,0,3,4,3,4,0,3,0,0,0,2,1,20
Turkmenistan,0,0,0,0,3,0,0,0,0,3,4,2,12
Stateless,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea Utara,0,0,0,0,0,2,0,0,0,0,1,0,3
"Macao, RRT",-,-,-,-,-,-,-,-,-,-,-,-,-
British Indian Ocean Teritory,0,0,0,0,0,0,0,0,0,0,0,0,0
Lain-lain,269,352,340,320,354,342,257,223,209,341,433,457,3897
TOTAL ASIA (Excl.ASEAN),2431,5012,10565,12928,7694,8983,3985,1608,3387,9877,9890,8993,85353
Saudi Arabia,100,70,48,45,381,677,222,139,123,70,86,92,2053
Oman,2,3,5,7,13,19,5,0,6,3,13,13,89
Egypt,21,39,48,45,78,57,32,23,24,72,92,80,611
Jordan,1,1,8,17,22,31,9,1,9,28,13,27,167
Uni Emirat Arab,25,24,48,31,36,47,18,16,26,30,43,40,384
Yaman,1,76,27,33,89,104,24,0,23,121,157,103,758
Other Middle East,68,104,98,180,180,158,80,64,76,173,199,197,1577
Iran,4,13,19,38,30,27,13,12,11,36,65,32,300
Kuwait,1,6,0,4,7,4,5,2,3,10,12,21,75
Irak,1,0,4,21,14,10,5,3,4,23,20,22,127
Syiria,1,8,8,15,32,37,4,6,11,11,13,36,182
