Paspor yang dipegang,,,,,,,,,,,,,
,Jumlah Kunjungan Wisatawan Mancanegara per bulan Menurut Paspor yang Dipegang (Kunjungan),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kenya,13,4,40,33,63,87,54,108,88,146,134,176,946
Tunisia,8,14,28,55,218,222,474,584,535,292,332,408,3170
Aljazair / Algeria,7,24,33,17,40,68,82,172,148,113,107,104,915
Mauritius,3,12,6,13,33,27,49,43,64,57,120,94,521
Tanzania,18,27,22,22,44,33,43,41,61,61,56,56,484
Libya,5,2,5,10,22,50,74,57,77,89,102,79,572
Nigeria,67,74,92,90,94,86,93,127,92,250,139,149,1353
Mozambik,11,10,18,6,16,23,3,20,23,45,23,45,243
Zimbabwe,6,6,19,14,71,22,31,20,60,57,56,83,445
Sudan,14,19,24,22,54,54,83,109,64,94,96,186,819
Somalia,3,11,2,1,4,0,2,2,6,11,5,7,54
Ghana,11,9,15,21,20,41,29,36,37,50,52,60,381
Kamerun,6,3,3,1,10,6,8,9,9,32,5,5,97
Uganda,5,6,23,4,44,10,22,15,18,31,30,11,219
Malagasy (Madagascar),3,4,3,3,14,1,1,10,26,32,28,9,134
Ethiopia,6,3,1,5,14,14,19,39,29,105,44,39,318
Congo Rep. Dem.,3,0,8,3,10,14,6,6,11,9,11,5,86
Seychelles,0,3,4,2,11,5,8,11,17,25,12,26,124
Burkina Faso,0,4,6,0,8,5,4,5,6,7,3,0,48
Rwanda,6,3,1,0,0,3,3,5,1,6,53,6,87
Zambia,2,2,21,0,61,1,10,4,15,30,20,21,187
Malawi,0,0,2,1,14,4,8,2,5,4,3,20,63
Senegal,2,2,6,8,18,14,11,12,14,15,30,10,142
Comoros,1,3,1,0,11,4,3,4,2,3,4,7,43
Mali,3,2,2,1,10,4,7,7,6,11,7,5,65
Eritrea,1,1,2,3,6,2,10,2,3,8,5,5,48
Chad,0,2,1,1,8,1,5,4,3,2,2,5,34
Sierra Leona,6,7,1,4,8,4,4,6,3,8,7,5,63
Namibia,0,4,9,3,2,16,4,6,4,12,18,55,133
Gambia,1,9,1,4,13,2,2,4,19,5,1,1,62
Bostwana,0,0,10,0,9,1,4,12,2,1,8,27,74
Liberia,0,1,0,0,5,1,1,3,9,1,0,0,21
Swaziland,0,0,2,1,6,1,8,79,0,5,4,3,109
Guinea,4,0,4,0,2,1,0,2,6,9,3,2,33
Cape Verde,0,1,3,2,3,1,3,3,7,2,3,13,41
Ivory Coast (Pantai Gading),8,6,14,4,15,14,9,8,16,20,14,9,137
Congo,0,0,2,0,4,0,1,3,2,8,3,5,28
Burundi,2,2,3,0,2,0,1,2,5,2,3,1,23
Mauritania,1,0,1,3,10,1,1,4,1,6,7,9,44
Togo,2,2,3,1,15,3,1,2,6,3,1,40,79
Gabon,1,3,1,4,5,2,5,5,3,6,3,8,46
Lesotho,1,0,0,0,3,0,2,0,0,1,3,1,11
South Sudan,0,1,8,1,9,2,3,9,0,1,9,0,43
Niger,0,0,5,0,4,1,0,4,2,1,2,0,19
Djibouti,1,1,0,1,4,0,2,0,5,6,4,8,32
Guinea Equator,0,0,0,0,5,0,0,0,0,0,0,0,5
Afrika Tengah Rep.,0,0,4,0,1,0,1,0,2,0,1,1,10
Angola,2,0,13,1,10,3,1,3,10,17,14,7,81
Benin,1,0,1,0,8,0,2,3,11,3,2,2,33
Sahara,0,0,0,0,0,0,0,0,0,1,0,0,1
Sao Tome & Principe,0,0,4,0,5,0,0,0,0,1,0,1,11
Zaire,1,0,0,1,2,0,0,0,0,0,2,1,7
Burkinabe,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabinda,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea Bissau,1,0,0,0,1,0,0,0,1,3,1,1,8
Maseru,0,0,0,0,0,0,0,0,0,0,0,0,0
Zomba,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL AFRICA,318,432,713,940,1837,2426,2894,3538,3656,3771,3409,5748,29682
GRAND TOTAL,136298,117509,158629,230076,354920,483883,645121,670509,700606,734228,704783,952469,5889031
