NO,RUTE,Jan-23,Feb-23,Mar-23,Apr-23,Mei-23,Jun-23,Jul-23,Agu-23,Sep-23,Okt-23,Nov-23,Des-23,TOTAL 2023
90,CGK-KMG,,,,,,,3607.0,3664.0,3821.0,4860.0,3863.0,3721.0,23536.0
91,CGK-PNH,,,,1368.0,4300.0,2598.0,2723.0,1062.0,2193.0,2538.0,3054.0,3681.0,23517.0
92,KUL-BPN,,,935.0,1749.0,2126.0,2365.0,2826.0,2718.0,1965.0,1282.0,2531.0,2320.0,20817.0
93,KUL-KJT,,,,,887.0,1489.0,2317.0,2046.0,2059.0,2292.0,2084.0,3252.0,16426.0
94,NRT-MDC,,,1403.0,1273.0,1671.0,1590.0,1531.0,2192.0,1576.0,1656.0,1363.0,1283.0,15538.0
95,PKU-MKZ,2460.0,2370.0,2188.0,1319.0,1658.0,1759.0,1203.0,127.0,,,,,13084.0
96,CGK-TAS,,,,192.0,1174.0,1218.0,1538.0,1824.0,1362.0,1485.0,1323.0,1350.0,11466.0
97,DPS-DEL,,,,,,,,,,,,10158.0,10158.0
98,CGK-CAI,,,,,,,,,,514.0,2925.0,3501.0,6940.0
99,CGK-HAN,,,,,,,,,,,,3664.0,3664.0
100,CGK-CTU,611.0,1510.0,1313.0,,,,,,,,,,3434.0
101,CGK-MFM,,,,,,,,,,,440.0,2737.0,3177.0
102,FOC-DPS,,,,,,,,,,,,1942.0,1942.0
103,POM-DPS,,,,,,,321.0,272.0,290.0,326.0,204.0,329.0,1742.0
104,PEN-DPS,1030.0,,109.0,,,,,,,,,,1139.0
105,CGK-KWL,,,,,,,,,,,,753.0,753.0
106,SZX-DPS,,,,,,,,402.0,,210.0,,,612.0
107,MED-KNO,,,,,,,471.0,,,,,,471.0
108,MAA-KNO,,,,,,,,225.0,,,,,225.0
109,SIN-HLP,,,,,,,,,,,,,
110,KNO-DEL,,,,,,,,,,,,,
111,BWN-BPN,,,,,,,,,,,,,
112,CGK-NNG,,,,,,,,,,,,,
113,MDC-DPS,,,,,,,,,,,,,
114,CGK-BKI,,,,,,,,,,,,,
115,KCH-BPN,,,,,,,,,,,,,
116,UPG-JED,,,,,,,,,,,,,
117,UPG-MED,,,,,,,,,,,,,
118,CGK-HGH,,,,,,,,,,,,,
119,CGK-NKG,,,,,,,,,,,,,
120,KNO-JED,,,,,,,,,,,,,
121,CGK-WNZ,,,,,,,,,,,,,
122,CGK-WUH,,,,,,,,,,,,,
123,SRG-SIN,,,,,,,,,,,,,
124,CGK-DWC,,,,,,,,,,,,,
125,CGK-SZB,,,,,,,,,,,,,
TOTAL,,1992455.0,1908707.0,2117303.0,2133974.0,2368612.0,2445071.0,2748651.0,2705297.0,2645966.0,2693050.0,2508812.0,2786633.0,29054531.0
