NO,RUTE,Jan-23,Feb-23,Mar-23,Apr-23,Mei-23,Jun-23,Jul-23,Agu-23,Sep-23,Okt-23,Nov-23,Des-23,TOTAL 2023
275,SUB-PKU,,,,,,,,,,,,,
276,UPG-PNK,,,,,,,,,,,,,
277,SOC-BPN,,,,,,,,,,,,,
278,SUB-BDO,,,,,,,,,,,,,
279,SUB-KDI,,,,,,,,,,,,,
280,YIA-PKY,,,,,,,,,,,,,
281,CJN-BDO,,,,,,,,,,,,,
282,PKU-BDO,,,,,,,,,,,,,
283,PLM-DPS,,,,,,,,,,,,,
284,SUB-PLW,,,,,,,,,,,,,
285,TTE-SUB,,,,,,,,,,,,,
286,KJT-BDJ,,,,,,,,,,,,,
287,PNK-BPN,,,,,,,,,,,,,
288,YIA-TKG,,,,,,,,,,,,,
289,LOP-BDO,,,,,,,,,,,,,
290,PLM-KJT,,,,,,,,,,,,,
291,SIQ-BTH,,,,,,,,,,,,,
292,TNJ-SIQ,,,,,,,,,,,,,
293,WNI-UPG,,,,,,,,,,,,,
294,SIQ-PKU,,,,,,,,,,,,,
295,TNJ-TBX,,,,,,,,,,,,,
296,PNK-NTX,,,,,,,,,,,,,
297,SNB-KNO,,,,,,,,,,,,,
298,PKN-HLP,,,,,,,,,,,,,
299,PLW-GTO,,,,,,,,,,,,,
300,PWL-HLP,,,,,,,,,,,,,
301,NTX-LMU,,,,,,,,,,,,,
302,WMX-TIM,,,,,,,,,,,,,
303,UOL-PLW,,,,,,,,,,,,,
TOTAL,,5127957.0,4628884.0,5028177.0,5257706.0,6044943.0,5789813.0,6311680.0,5536238.0,5278078.0,5610987.0,5487691.0,5823770.0,65925924.0
