1,APT PRANOTO,SAMARINDA,AAP,103.60,"17,440.71","17,487.72",113.97
2,PATTIMURA,AMBON,AMQ,105.40,"17,763.48","17,811.36",115.97
3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,103.60,"17,440.71","17,487.72",113.97
4,HUSEIN SASTRANEGARA,BANDUNG,BDO,102.00,"17,173.59","17,219.88",112.19
5,FRANS KAISIEPO,BIAK,BIK,105.40,"17,763.48","17,811.36",115.97
6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,101.30,"17,084.55","17,130.60",111.63
7,M. SALAHUDDIN,BIMA,BMU,103.70,"17,462.97","17,510.04",114.08
8,SEPINGGAN,BALIKPAPAN,BPN,102.00,"17,162.46","17,208.72",112.08
9,HANG NADIM,BATAM,BTH,100.50,"15,235.57","15,281.14",99.50
10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,101.10,"17,017.77","17,063.64",111.19
11,SOEKARNO HATTA,CENGKARENG,CGK,88.90,"14,947.59","14,987.88",97.61
12,TUNGGUL WULUNG,CILACAP,CXP,102.90,"17,318.28","17,364.96",113.08
13,SULTAN THAHA,JAMBI,DJB,101.50,"17,129.07","17,175.24",111.86
14,SENTANI,JAYAPURA,DJJ,105.50,"17,718.96","17,766.72",115.75
15,NGURAH RAI,DENPASAR,DPS,102.60,"17,240.37","17,286.84",112.64
16,PINANG KAMPAI,DUMAI,DUM,101.10,"17,017.77","17,063.64",111.19
17,H. AROEBOESMAN,ENDE,ENE,103.70,"17,462.97","17,510.04",114.08
18,JALALUDDIN,GORONTALO,GTO,104.20,"17,540.88","17,588.16",114.64
19,HALIM PERDANAKUSUMA,JAKARTA,HLP,96.10,"16,171.89","16,215.48",105.62
20,ADISUCIPTO,YOGYAKARTA,JOG,102.70,"17,273.76","17,320.32",112.86
21,WOLTER MONGINSIDI,KENDARI,KDI,104.20,"17,540.88","17,588.16",114.64
22,UTAROM,KAIMANA,KNG,105.40,"17,763.48","17,811.36",115.97
23,ELTARI,KUPANG,KOE,100.20,"16,828.56","16,873.92",109.96
24,LOMBOK INTERNATIONAL,MATARAM,LOP,102.90,"17,329.41","17,376.12",113.19
25,BUBUNG,LUWUK,LUW,104.20,"17,540.88","17,588.16",114.64
26,SAM RATULANGI,MANADO,MDC,104.20,"17,540.88","17,588.16",114.64
27,POLONIA,MEDAN,MES,101.10,"17,017.77","17,063.64",111.19
28,MOPAH,MERAUKE,MKQ,105.40,"17,763.48","17,811.36",115.97
29,RENDANI,MANOKWARI,MKW,105.40,"17,763.48","17,811.36",115.97
30,KERTAJATI,MAJALENGKA,KJT,95.50,"16,060.59","16,103.88",104.96
31,ABDURACHMAN SALEH,MALANG,MLG,102.70,"17,296.02","17,342.64",112.97
32,WAI OTI,MAUMERE,MOF,103.70,"17,462.97","17,510.04",114.08
33,PANIAI,NABIRE,NBX,105.40,"17,763.48","17,811.36",115.97
34,RANAI,NATUNA,NTX,101.10,"17,017.77","17,063.64",111.19
35,PONDOK CABE,JAKARTA,PCB,102.90,"17,329.41","17,376.12",113.19
36,MINANGKABAU,PADANG,PDG,101.10,"16,906.47","16,952.04",110.41
37,DEPATI AMIR,PANGKAL PINANG,PGK,100.70,"16,962.12","17,007.84",110.74
38,ISKANDAR,PANGKALAN BUN,PKN,103.60,"17,440.71","17,487.72",113.97
39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,101.10,"17,017.77","17,063.64",111.19
40,TJILIK RIWUT,PALANGKARAYA,PKY,103.60,"17,440.71","17,487.72",113.97
41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,100.70,"16,962.12","17,007.84",110.74
42,MUTIARA,PALU,PLW,104.20,"17,540.88","17,588.16",114.64
43,SUPADIO,PONTIANAK,PNK,103.60,"17,440.71","17,487.72",113.97
44,H. ASAN,SAMPIT,SMQ,103.60,"17,440.71","17,487.72",113.97
45,ADISUMARMO,SOLO,SOC,102.90,"17,318.28","17,364.96",113.08
46,SORONG DARATAN,SORONG,SOQ,105.40,"17,763.48","17,811.36",115.97
47,ACHMAD YANI,SEMARANG,SRG,102.00,"17,162.46","17,208.72",112.08
48,JUANDA,SURABAYA,SUB,100.00,"16,806.30","16,851.60",109.74
49,RADEN INTEN II,BANDAR LAMPUNG,TKG,99.90,"16,962.12","17,007.84",110.85
50,KIJANG,TANJUNG PINANG,TNJ,101.70,"17,140.20","17,186.40",111.97
51,JUWATA,TARAKAN,TRK,103.60,"17,440.71","17,487.72",113.97
52,BABULLAH,TERNATE,TTE,105.40,"17,763.48","17,811.36",115.97
53,HASANUDDIN,UJUNG PANDANG,UPG,103.70,"17,418.45","17,465.40",113.75
54,MAU HAU,WAINGAPU,WGP,103.70,"17,462.97","17,510.04",114.08
55,ISWAHYUDI,MADIUN,WIAR (ICAO),103.00,"17,362.80","17,409.60",113.41
56,DUMATUBUN,TUAL,LUV,105.30,"17,741.22","17,789.04",115.86
57,SILANGIT,SIBORONG-BORONG,DTB,100.70,"16,950.99","16,996.68",110.74
58,KALIMARAU,BERAU,BEJ,103.60,"17,440.71","17,487.72",113.97
59,KOMODO,LABUAN BAJO,LBJ,103.50,"17,429.58","17,476.56",113.86
60,KUALANAMU,DELI SERDANG,KNO,100.90,"16,939.86","16,985.52",110.63
61,TAMPA PADANG,MAMUJU,MJU,104.50,"17,585.40","17,632.80",114.86
62,F.L. TOBING,PINANGSORI,FLZ,101.10,"17,017.77","17,063.64",111.19
63,MOZES KILANGIN,TIMIKA,TIM,105.40,"17,763.48","17,811.36",115.97
64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,101.40,"17,106.81","17,152.92",111.75
65,BLIMBINGSARI,BANYUWANGI,BWX,103.70,"17,462.97","17,510.04",114.08
66,TAMBOLAKA,SUMBA BARAT,TMC,103.00,"17,385.06","17,431.92",113.53
67,BINAKA,GUNUNGSITOLI,GNS,101.10,"17,017.77","17,063.64",111.19
68,KULONPROGO,YOGYAKARTA,YIA,102.70,"17,284.89","17,331.48",112.97
69,KUABANG,HALMAHERA UTARA,KAZ,105.2,17741.22,17789.04,115.86
70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,102.9,17318.28,17364.96,113.08
71,MATHILDA BATLAYERI,SAUMLAKI,SXK,104.9,17763.48,17811.36,115.97
72,BUDIARTO,CURUG,BTO,102.8,17351.67,17398.44,105.62
