NO,RUTE PP,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG KG,JUMLAH POS KG,LF %
115,BKI-MDC,92,8377,16560,0,0,51%
116,CBR-DPS,76,5793,12324,0,0,47%
117,BTH-ICN,78,5581,13632,71115,0,41%
118,BTH-SZB,98,5046,7056,0,0,72%
119,KJT-SIN,56,4334,6272,0,0,69%
120,CGK-KWL,28,3937,4536,0,0,87%
121,KUL-LBJ,16,2011,2880,0,0,70%
122,DEL-DPS\,2,593,598,1077,0,99%
123,DPS-POM,28,503,5040,845,0,10%
124,JED-SUB,1,390,436,0,400,89%
125,JED-MED,1,379,393,0,0,96%
126,CGK-DPS,1,290,321,6823,0,90%
127,CGK-SUB,2,271,342,0,0,79%
128,BTH-PEN,1,178,189,0,0,94%
129,BKI-BTH,1,99,162,0,0,61%
130,PVG-XMN,1,43,251,0,0,17%
131,HLP-SIN,246,0,0,2872246,0,#DIV/0!
132,BPN-BWN,11,0,0,62368,0,#DIV/0!
133,CGK-DWC,99,0,0,5878171,0,0%
134,SIN-SRG,308,0,0,3846520,0,0%
TOTAL,,207105,36164923,44627341,459125282,3791353,81%
