NO,RUTE PP,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,TOTAL 2024
281,KDI-WNI,577,0,0,0,0,0,0,0,0,0,0,0,577.0
282,BTH-LOP,0,0,0,0,0,0,0,0,557,0,0,0,557.0
283,GTO-MDC,0,0,149,154,0,0,0,0,115,138,0,0,556.0
284,MOF-UPG,480,58,0,0,0,0,0,0,0,0,0,0,538.0
285,LUW-MDC,324,204,0,0,0,0,0,0,0,0,0,0,528.0
286,PKU-SRG,0,0,0,0,0,0,0,0,473,0,0,0,473.0
287,PLW-UOL,0,0,0,0,0,0,0,0,0,0,142,253,395.0
288,BDO-CJN,35,31,24,39,31,24,37,32,32,22,29,42,378.0
289,KNO-SOC,0,0,0,0,0,360,0,0,0,0,0,0,360.0
290,KAZ-TTE,0,0,0,0,0,0,0,0,0,201,153,0,354.0
291,KNO-PEN,0,0,0,0,0,0,0,0,0,0,313,0,313.0
292,BDO-HLP,22,16,10,35,21,29,35,22,30,22,23,46,311.0
293,BUW-KDI,309,0,0,0,0,0,0,0,0,0,0,0,309.0
294,DJB-PLM,0,0,0,0,0,0,0,0,159,0,132,0,291.0
295,UPG-UPG,119,0,0,154,0,0,0,0,0,0,0,0,273.0
296,BDJ-PKY,0,0,0,0,0,0,0,109,0,153,0,0,262.0
297,PGK-SUB,0,0,0,0,0,0,0,0,170,0,0,0,170.0
298,TIM-WMX,0,170,0,0,0,0,0,0,0,0,0,0,170.0
299,SRG-SRG,0,0,0,162,0,0,0,0,0,0,0,0,162.0
300,BIK-SOQ,0,0,150,0,0,0,0,0,0,0,0,0,150.0
301,BMU-LBJ,0,0,0,0,0,0,0,0,119,0,0,0,119.0
302,MLG-MLG,0,0,0,117,0,0,0,0,0,0,0,0,117.0
303,BTJ-BTJ,0,0,0,109,0,0,0,0,0,0,0,0,109.0
304,PDG-SRG,0,0,0,0,0,0,0,0,102,0,0,0,102.0
305,PDG-PKU,7,0,1,16,14,8,10,2,7,7,10,12,94.0
306,SOC-SOC,0,0,0,86,0,0,0,0,0,0,0,0,86.0
307,BEJ-TRK,0,0,0,0,62,0,0,0,0,0,0,0,62.0
308,BIK-ZRI,0,0,0,0,0,0,0,0,0,0,0,28,28.0
309,NTI-SOQ,0,0,0,0,0,0,0,0,0,0,0,0,0.0
310,SRG-SUB,0,0,0,0,0,0,0,0,0,0,0,0,0.0
311,MKQ-OKL,0,0,0,0,0,0,0,0,0,0,0,0,0.0
312,TJS-TRK,0,0,0,0,0,0,0,0,0,0,0,0,0.0
313,DJJ-RTA,0,0,0,0,0,0,0,0,0,0,0,0,0.0
314,DJJ-RTB,0,0,0,0,0,0,0,0,0,0,0,0,0.0
TOTAL,5061034,4704549,4710338,6009327,5443058,5614548,6176659,5775492,5677459,5535650,5082334,6005147,65795595,
