Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bongkar/Muat Barang Angkutan Udara Luar Negeri di 4 Bandara Utama (Ton),,,,,,,,,,,,,,,,,,,,,,,,,
,Barang yang Dibongkar,,,,,,,,,,,,,Barang yang dimuat,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,0,0,2,2,5,18,58,34,23,15,20,38,215,22,0,1,10,19,25,47,109,83,74,95,95,580
Soekarno Hatta-Jakarta,15963,14490,17892,14469,14023,14884,14473,14216,14064,14696,18097,13006,180273,18384,15634,15734,15083,9977,13128,11372,12819,12641,12514,11715,9052,158053
Juanda-Surabaya,456,241,501,427,384,244,199,266,438,438,382,434,4410,532,389,597,790,513,370,274,451,567,644,477,532,6136
Ngurah Rai-Bali,0,120,87,141,250,315,355,439,438,512,475,546,3678,51,242,580,839,762,944,951,1091,998,984,961,1221,9624
Bandara Lainnya,821,783,1216,657,624,706,742,758,690,781,-3385,802,5195,285,320,525,65,137,180,145,143,119,126,220,155,2420
TOTAL,17240,15634,19698,15696,15286,16167,15827,15713,15653,16442,15589,14826,193771,19274,16585,17437,16787,11408,14647,12789,14613,14408,14342,13468,11055,176813
