NO,RUTE ( PP),Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,TOTAL 2022
55.0,SUB-JHB,,,,,1.317,2.467,2.782,2.267,2.864,3.291,4.061,4.812,23.861
56.0,CGK-AMS,711.0,474.0,804.0,1.559,2.36,2.578,2.609,2.346,2.742,2.666,2.182,2.627,23.658
57.0,SUB-PEN,,,,,1.929,2.37,3.222,2.585,2.917,2.526,3.447,4.18,23.176
58.0,PDG-KUL,,,,,,,,,,2.908,3.957,10.812,17.677
59.0,CGK-SZX,1.161,1.042,1.085,1.36,1.992,1.441,1.367,2.105,1.765,,1.836,1.56,16.714
60.0,SZB-BTH,,,,,,733.0,2.354,2.159,2.327,2.382,2.095,2.785,14.835
61.0,TPE-DPS,,,,,,,,,2.748,3.239,3.377,4.707,14.071
62.0,SUB-BWN,,102.0,193.0,514.0,573.0,945.0,1.37,1.057,1.363,2.181,2.155,3.001,13.454
63.0,YIA-SIN,,,,,,,,,,1.885,3.166,7.506,12.557
64.0,DPS-CNS,,,,,1.852,3.245,3.766,2.558,,,,858.0,12.279
65.0,CGK-ADD,,,3.0,,,3.0,827.0,2.123,2.402,594.0,2.521,1.694,10.167
66.0,PKU-MKZ,,,,,,,,,2.053,3.11,2.195,2.523,9.881
67.0,UPG-SIN,,,,,,,,,,668.0,2.294,3.865,6.827
68.0,KUL-BTJ,,,,,,,,,,2.222,2.091,2.248,6.561
69.0,NRT-DPS,,40.0,14.0,,97.0,,,,,40.0,2.368,3.772,6.331
70.0,SIN-PKU,,,,,,,,,,855.0,2.402,2.797,6.054
71.0,CGK-WUH,858.0,713.0,1.233,896.0,1.348,943.0,,,,,,,5.991
72.0,SIN-LOP,,,,,,,,,,1.275,2.234,2.402,5.911
73.0,CGK-HGH,,,,,,,157.0,444.0,868.0,1.011,1.411,1.027,4.918
74.0,CGK-MEL,,,,,,,,,,,818.0,4.016,4.834
75.0,SUB-HKG,,,,378.0,,353.0,,,566.0,938.0,1.074,1.491,4.8
76.0,PEN-DPS,,,,,,,,,,542.0,1.594,2.284,4.42
77.0,CGK-XMN,,,,,,,,,,367.0,1.684,2.33,4.381
78.0,PEN-BTJ,,,,,,,,,,,1.47,2.647,4.117
79.0,CGK-CTU,,,,,,,,733.0,778.0,784.0,590.0,1.181,4.066
80.0,CGK-PEK,,,,,,,,1.229,1.049,666.0,342.0,497.0,3.783
81.0,HKG-DPS,,,,,,,,,,,,2.855,2.855
82.0,CGK-NKG,,,,,,,330.0,428.0,287.0,343.0,,,1.388
83.0,CGK-WNZ,,,,,,,,,,,,802.0,802.0
84.0,MDC-FOC,,,162.0,,,,,,,,,,162.0
85.0,CGK-PER,10.0,,,,,,,,,,,,10.0
86.0,CGK-PVG,,,4.0,,,,,,5.0,,,,9.0
87.0,UPG-JED,,,,,,,,,,,,,
88.0,CGK-KCH,,,,,,,,,,,,,
89.0,UPG-MED,,,,,,,,,,,,,
90.0,SUB-JED,,,,,,,,,,,,,
91.0,KCH-BPN,,,,,,,,,,,,,
92.0,CGK-DWC,,,,,,,,,,,,,
93.0,SUB-MED,,,,,,,,,,,,,
94.0,KUL-BDO,,,,,,,,,,,,,
95.0,MDC-CSX,,,,,,,,,,,,,
96.0,PLM-KUL,,,,,,,,,,,,,
97.0,SRG-SIN,,,,,,,,,,,,,
