NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
1.0,CGK-SIN,12360.0,1705435.0,2117819.0,69230922.0,70957.0,"80,5%"
2.0,SIN-DPS,5665.0,1205738.0,1437191.0,5464984.0,8418.0,"83,9%"
3.0,CGK-KUL,5985.0,816674.0,1087521.0,8355936.0,143402.0,"75,1%"
4.0,CGK-JED,1840.0,637181.0,747818.0,4321665.0,61494.0,"85,2%"
5.0,KUL-DPS,3594.0,541398.0,719326.0,108562.0,,"75,3%"
6.0,MEL-DPS,2373.0,475412.0,551324.0,779739.0,106.0,"86,2%"
7.0,CGK-DOH,1879.0,449145.0,504167.0,12303506.0,52208.0,"89,1%"
8.0,CGK-DXB,1364.0,431018.0,525969.0,16060628.0,199971.0,"81,9%"
9.0,PER-DPS,2102.0,317517.0,377729.0,33535.0,1300.0,"84,1%"
10.0,KUL-KNO,2411.0,311442.0,423428.0,155025.0,140.0,"73,6%"
11.0,SUB-SIN,2058.0,289939.0,339225.0,5386732.0,1300.0,"85,5%"
12.0,SYD-DPS,1409.0,285046.0,320466.0,1517677.0,,"88,9%"
13.0,CGK-NRT,1951.0,264779.0,410137.0,21733493.0,623793.0,"64,6%"
14.0,PEN-KNO,1922.0,256669.0,366610.0,14369.0,,"70,0%"
15.0,CGK-ICN,1582.0,244226.0,347161.0,19617331.0,511685.0,"70,3%"
16.0,SUB-KUL,1671.0,236216.0,298165.0,554119.0,,"79,2%"
17.0,CGK-IST,768.0,228529.0,260780.0,9923595.0,31119.0,"87,6%"
18.0,DXB-DPS,575.0,225916.0,242796.0,1272418.0,268348.0,"93,0%"
19.0,DPS-BNE,1061.0,216734.0,249241.0,138449.0,,"87,0%"
20.0,CGK-AUH,728.0,202246.0,220446.0,7974621.0,109578.0,"91,7%"
21.0,DPS-DOH,555.0,172043.0,196011.0,638827.0,142629.0,"87,8%"
22.0,CGK-TPE,1586.0,161324.0,383537.0,27809587.0,134461.0,"42,1%"
23.0,CGK-MED,495.0,157181.0,200785.0,571606.0,477.0,"78,3%"
24.0,CGK-DMK,1035.0,150855.0,191470.0,430010.0,299.0,"78,8%"
25.0,SGN-DPS,856.0,144181.0,196920.0,302659.0,,"73,2%"
26.0,CGK-BKK,941.0,135799.0,219694.0,7962878.0,161935.0,"61,8%"
27.0,DPS-DMK,905.0,130879.0,162900.0,7935.0,,"80,3%"
28.0,CGK-CMB,522.0,122101.0,140557.0,2370993.0,,"86,9%"
29.0,CGK-SYD,527.0,119639.0,151629.0,4030492.0,28190.0,"78,9%"
30.0,DPS-BKK,447.0,109335.0,137962.0,1264664.0,1252.0,"79,3%"
31.0,ICN-DPS,403.0,97591.0,111219.0,45040.0,201124.0,"87,7%"
32.0,CGK-MNL,659.0,94093.0,154330.0,3157158.0,,"61,0%"
33.0,CGK-HND,647.0,90574.0,163830.0,7586083.0,17939.0,"55,3%"
34.0,IST-DPS,294.0,84129.0,88984.0,1419509.0,16780.0,"94,5%"
35.0,CGK-MCT,344.0,82578.0,96324.0,2744610.0,,"85,7%"
36.0,SIN-KNO,724.0,73750.0,104591.0,1122803.0,,"70,5%"
37.0,DPS-ADL,480.0,72442.0,87615.0,7059.0,,"82,7%"
38.0,CGK-PEN,565.0,71445.0,81304.0,2652274.0,,"87,9%"
39.0,HAN-DPS,439.0,70923.0,101264.0,44829.0,,"70,0%"
40.0,MNL-DPS,563.0,66681.0,106923.0,2094884.0,,"62,4%"
41.0,LOP-KUL,440.0,60697.0,79638.0,4291.0,,"76,2%"
42.0,CGK-HKG,526.0,53038.0,94519.0,11299276.0,36493.0,"56,1%"
43.0,DRW-DPS,359.0,50882.0,65167.0,4951.0,,"78,1%"
44.0,KNO-DMK,274.0,39480.0,49320.0,86977.0,,"80,0%"
45.0,CGK-SGN,445.0,33060.0,56110.0,2758191.0,272.0,"58,9%"
46.0,YIA-KUL,216.0,31510.0,38880.0,26483.0,,"81,0%"
47.0,CGK-JHB,212.0,29422.0,38160.0,698.0,,"77,1%"
48.0,CGK-FOC,167.0,28596.0,44262.0,423317.0,,"64,6%"
49.0,CGK-CAN,202.0,26688.0,41605.0,2620606.0,273.0,"64,1%"
50.0,DPS-DIL,227.0,26585.0,40698.0,24719.0,1300.0,"65,3%"
51.0,SIN-MDC,240.0,26334.0,43200.0,120552.0,,"61,0%"
52.0,UPG-KUL,174.0,24546.0,31032.0,130762.0,,"79,1%"
53.0,CGK-BWN,221.0,24401.0,32992.0,66282.0,1384.0,"74,0%"
54.0,PKU-KUL,196.0,24154.0,34318.0,573.0,,"70,4%"
55.0,SUB-JHB,172.0,23861.0,30960.0,102.0,,"77,1%"
56.0,CGK-AMS,103.0,23658.0,32342.0,1023597.0,,"73,1%"
57.0,SUB-PEN,156.0,23176.0,28080.0,420.0,,"82,5%"
58.0,PDG-KUL,164.0,17677.0,29556.0,58.0,,"59,8%"
59.0,CGK-SZX,100.0,16714.0,26884.0,1085836.0,,"62,2%"
60.0,SZB-BTH,380.0,14835.0,27360.0,,,"54,2%"
61.0,TPE-DPS,117.0,14071.0,28807.0,338414.0,11740.0,"48,8%"
62.0,SUB-BWN,128.0,13454.0,18870.0,44811.0,5.0,"71,3%"
63.0,YIA-SIN,94.0,12557.0,16920.0,15.0,,"74,2%"
64.0,DPS-CNS,90.0,12279.0,16856.0,298.0,,"72,8%"
65.0,CGK-ADD,192.0,10167.0,59070.0,1522421.0,536977.0,"17,2%"
66.0,PKU-MKZ,220.0,9881.0,15840.0,,,"62,4%"
67.0,UPG-SIN,58.0,6827.0,10104.0,29724.0,,"67,6%"
68.0,KUL-BTJ,52.0,6561.0,9360.0,,,"70,1%"
69.0,NRT-DPS,61.0,6331.0,15383.0,103663.0,,"41,2%"
70.0,SIN-PKU,40.0,6054.0,7200.0,,,"84,1%"
71.0,CGK-WUH,21.0,5991.0,9192.0,137742.0,17810.0,"65,2%"
