tanggal,min_kurs_tengah,max_kurs_tengah,spread
2020-03-01,14168.0,16608.0,2440.0
2020-04-01,15157.01,16741.0,1583.9899999999998
2024-08-01,15380.0,16294.0,914.0
2023-01-01,14930.0,15635.0,705.0
2020-11-01,14015.01,14718.0,702.9899999999998
