phase,n,slope,r2,p
pre_pandemic,2,,,
lockdown,19,-317.59490377512816,0.012270164787034113,0.651663142188145
transisi,15,1555.500371802673,0.5779183127061637,0.0010034676326966866
recovery,24,706.2830224250743,0.17596853586990985,0.041293410857368956
