NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
354,Ternate (TTE) - Sanana (SQN),0,0,0,0,0.0,"0,0"
355,Jakarta-HLP (HLP) - Cilacap (CXP),0,0,0,0,0.0,"0,0"
356,Pekanbaru (PKU) - Majalengka (KJT),0,0,0,0,0.0,"0,0"
357,Solo (SOC) - Palembang (PLM),0,0,0,0,0.0,"0,0"
358,Bandar Lampung (TKG) - Peakon Serai (TFY),0,0,0,0,0.0,"0,0"
359,Tasikmalaya (TSY) - Jakarta-HLP (HLP),0,0,0,0,0.0,"0,0"
360,Jakarta-HLP (HLP) - Ambon (AMQ),0,0,0,0,0.0,"0,0"
361,Medan (KNO) - Majalengka (KJT),0,0,0,0,0.0,"0,0"
362,Melangguane (MNA) - KEP.TALAUD (IAX),0,0,0,0,0.0,"0,0"
363,Padang Pariaman (PDG) - Bengkulu (BKS),0,0,0,0,0.0,"0,0"
364,Pangkalan Bun (PKN) - Banjarmasin (BDJ),0,0,0,0,0.0,"0,0"
365,Solo (SOC) - Banjarmasin (BDJ),0,0,0,0,0.0,"0,0"
366,"Yogyakarta (YIA) - Praya, Lombok (LOP)",0,0,0,0,0.0,"0,0"
367,Solo (SOC) - Bandung (BDO),0,0,0,0,0.0,"0,0"
368,Surabaya (SUB) - Jember (JBB),0,0,0,0,0.0,"0,0"
369,Surabaya (SUB) - Padang Pariaman (PDG),0,0,0,0,0.0,"0,0"
370,Makassar (UPG) - Majalengka (KJT),0,0,0,0,0.0,"0,0"
371,Yogyakarta (YIA) - Padang Pariaman (PDG),0,0,0,0,0.0,"0,0"
372,Tanjung Redeb (BEJ) - Samarinda (AAP),0,0,0,0,0.0,"0,0"
373,Majalengka (KJT) - Banjarmasin (BDJ),0,0,0,0,0.0,"0,0"
374,"Praya, Lombok (LOP) - Majalengka (KJT)",0,0,0,0,0.0,"0,0"
375,Manado (MDC) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
376,Pontianak (PNK) - Balikpapan (BPN),0,0,0,0,0.0,"0,0"
377,Solo (SOC) - Balikpapan (BPN),0,0,0,0,0.0,"0,0"
378,Bandar Lampung (TKG) - Bengkulu (BKS),0,0,0,0,0.0,"0,0"
Total,339638,33336639,50123416,417048368,5278756,,
