NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
128,Medinah (MED) - Balikpapan (BPN),0,0,0,0,0.0,"0,0"
129,Jakarta (CGK) - Nanning (NNG),0,0,0,0,0.0,"0,0"
130,Yogyakarta (YIA) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
131,Jakarta (CGK) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
132,Yogyakarta (YIA) - Singapura (SIN),0,0,0,0,0.0,"0,0"
133,Xiamen (XMN) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
134,Jakarta (CGK) - Chengdu (CTU),0,0,0,0,0.0,"0,0"
135,Haneda (HND) - Denpasar (DPS),0,0,0,0,0.0,"0,0"
136,Jakarta (CGK) - Findel (LUX),0,0,0,0,0.0,"0,0"
137,Jakarta (CGK) - Dubai (DWC),0,0,0,0,0.0,"0,0"
138,Jakarta (CGK) - Hanoi (HAN),0,0,0,0,0.0,"0,0"
139,Jakarta (CGK) - Hangzhou (HGH),0,0,0,0,0.0,"0,0"
140,Solo (SOC) - Haikou (HAK),0,0,0,0,0.0,"0,0"
141,Jakarta (CGK) - Subang (SZB),420,0,0,9306299,0.0,"0,0"
142,Kuala Lumpur (KUL) - Balikpapan (BPN),0,0,0,0,0.0,"0,0"
143,Singapura (SIN) - Jakarta-HLP (HLP),218,0,0,3149492,0.0,"0,0"
144,Semarang (SRG) - Haikou (HAK),0,0,0,0,0.0,"0,0"
145,Bandar Lampung (TKG) - Kuala Lumpur (KUL),0,0,0,0,0.0,"0,0"
Total,25854,1362755,5194806,370483101,3650276,,
