NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
41,Surabaya (SUB) - Samarinda (AAP),19299.0,15206.0,19028.0,25483.0,22912.0,32449.0,4942.0,4565.0,9066.0,15610.0,23271.0,27393.0,219224.0,220999.0,201433.0
42,Makassar (UPG) - Timika (TIM),16554.0,16081.0,18018.0,20191.0,17770.0,26661.0,13045.0,10900.0,19031.0,21262.0,20307.0,17330.0,217150.0,120103.0,182325.0
43,Makassar (UPG) - Palu (PLW),11651.0,10464.0,18915.0,21036.0,17653.0,25448.0,10324.0,12858.0,15061.0,20149.0,23713.0,26172.0,213444.0,198172.0,444500.0
44,Makassar (UPG) - Ternate (TTE),18281.0,16988.0,19588.0,20572.0,16621.0,23584.0,10290.0,13856.0,17392.0,17742.0,18995.0,19379.0,213288.0,182962.0,221385.0
45,Sorong (SOQ) - Manokwari (MKW),16785.0,14549.0,17281.0,19430.0,12366.0,21981.0,10841.0,15725.0,19453.0,21402.0,22060.0,20645.0,212518.0,143270.0,214888.0
46,Surabaya (SUB) - Jakarta-HLP (HLP),3206.0,5038.0,20988.0,20410.0,18518.0,28968.0,1303.0,2848.0,18942.0,27449.0,34323.0,29171.0,211164.0,308889.0,996905.0
47,Jakarta (CGK) - Palangkaraya (PKY),16418.0,15540.0,18838.0,18863.0,11901.0,21691.0,4562.0,9016.0,16197.0,23442.0,27036.0,24909.0,208413.0,204823.0,394099.0
48,Jakarta (CGK) - Tanjung Pandan (TJQ),13283.0,14155.0,19192.0,21225.0,19220.0,24361.0,2851.0,1117.0,9678.0,18159.0,24440.0,29639.0,197320.0,211445.0,560937.0
49,Balikpapan (BPN) - Tanjung Redeb (BEJ),15430.0,14535.0,18012.0,20548.0,14370.0,23144.0,8147.0,9200.0,12356.0,17917.0,18389.0,21026.0,193074.0,200366.0,381426.0
50,Yogyakarta (YIA) - Makassar (UPG),14321.0,11328.0,17921.0,22221.0,17260.0,25460.0,3576.0,3143.0,8079.0,18714.0,23955.0,23335.0,189313.0,134387.0,23871.0
51,Padang Pariaman (PDG) - Batam (BTH),18787.0,16106.0,17832.0,17511.0,14994.0,20522.0,10832.0,5944.0,9156.0,11410.0,18721.0,19282.0,181097.0,196269.0,330916.0
52,Jakarta (CGK) - Samarinda (AAP),16819.0,15075.0,16470.0,16610.0,14219.0,21639.0,5750.0,5639.0,14031.0,16931.0,16982.0,19476.0,179641.0,185676.0,230088.0
53,Makassar (UPG) - Gorontalo (GTO),13868.0,12798.0,19102.0,19203.0,14774.0,22091.0,4039.0,3489.0,8786.0,17808.0,21202.0,19125.0,176285.0,169643.0,308008.0
54,Medan (KNO) - Gunung Sitoli (GNS),16743.0,11926.0,14577.0,16233.0,11714.0,19304.0,10208.0,6817.0,11721.0,15335.0,18030.0,19117.0,171725.0,137156.0,213140.0
55,Medan (KNO) - Banda Aceh (BTJ),12444.0,10334.0,15598.0,16820.0,16389.0,20335.0,7914.0,10076.0,7367.0,10675.0,15225.0,13836.0,157013.0,153385.0,333196.0
56,Surabaya (SUB) - Palangkaraya (PKY),12090.0,9466.0,15545.0,19654.0,10191.0,25991.0,3382.0,5788.0,8378.0,14175.0,16878.0,12161.0,153699.0,142995.0,293872.0
57,Denpasar (DPS) - Bandung (BDO),11435.0,7001.0,10984.0,13895.0,14053.0,23711.0,2167.0,1870.0,4022.0,13423.0,19976.0,30602.0,153139.0,62588.0,258665.0
58,Palembang (PLM) - Jakarta-HLP (HLP),8626.0,12290.0,18480.0,21982.0,22925.0,25837.0,3618.0,2079.0,7038.0,9283.0,8090.0,8296.0,148544.0,182627.0,477954.0
59,Jakarta (CGK) - Banda Aceh (BTJ),12804.0,12588.0,16189.0,15495.0,11211.0,10966.0,4647.0,2208.0,9321.0,16166.0,16400.0,17895.0,145890.0,150467.0,342463.0
60,Jakarta (CGK) - Kendari (KDI),3098.0,8721.0,14294.0,14941.0,13981.0,19227.0,5251.0,6794.0,11843.0,15682.0,14708.0,16366.0,144906.0,93971.0,301838.0
61,Labuhan Bajo (LBJ) - Denpasar (DPS),8653.0,8165.0,13059.0,14729.0,10747.0,17912.0,4186.0,2998.0,9628.0,17957.0,19139.0,16435.0,143608.0,114812.0,325451.0
62,"Praya, Lombok (LOP) - Denpasar (DPS)",9549.0,8407.0,15071.0,16320.0,13120.0,20436.0,2108.0,2160.0,7649.0,15167.0,18470.0,14976.0,143433.0,246289.0,611258.0
63,Jakarta (CGK) - Kupang (KOE),6148.0,7722.0,12533.0,13848.0,9811.0,15079.0,6721.0,9956.0,13120.0,16111.0,15469.0,15364.0,141882.0,61566.0,141397.0
64,Semarang (SRG) - Banjarmasin (BDJ),10389.0,7566.0,9691.0,14230.0,12442.0,15725.0,4740.0,6658.0,9290.0,13681.0,15592.0,17785.0,137789.0,130068.0,223808.0
65,Makassar (UPG) - Manokwari (MKW),16437.0,12336.0,14346.0,14762.0,11408.0,17305.0,2470.0,,5322.0,9445.0,13697.0,17458.0,134986.0,124847.0,144289.0
66,Jakarta-HLP (HLP) - Denpasar (DPS),7874.0,6061.0,6895.0,7971.0,7079.0,12981.0,3975.0,6323.0,6369.0,16686.0,19677.0,28644.0,130535.0,118371.0,304731.0
67,Jakarta (CGK) - Palu (PLW),7852.0,8865.0,11652.0,11801.0,8690.0,12854.0,1466.0,1151.0,7504.0,15376.0,19174.0,19045.0,125430.0,89156.0,274141.0
68,Jakarta (CGK) - Siborong-borong (DTB),16444.0,8964.0,10804.0,10032.0,8843.0,13912.0,4978.0,5902.0,8168.0,9728.0,8512.0,17832.0,124119.0,100590.0,210706.0
69,Jakarta (CGK) - Tanjung Pinang (TNJ),6651.0,6473.0,11853.0,14290.0,12788.0,16537.0,4212.0,5957.0,9111.0,11631.0,11422.0,12263.0,123188.0,101770.0,240859.0
70,Padang Pariaman (PDG) - Jakarta-HLP (HLP),9432.0,14502.0,18062.0,15278.0,14209.0,20681.0,2745.0,,6036.0,8181.0,7402.0,6269.0,122797.0,137069.0,304995.0
71,Jakarta (CGK) - Ambon (AMQ),7747.0,7715.0,10661.0,10660.0,7552.0,11597.0,2954.0,5893.0,12387.0,16852.0,9009.0,11220.0,114247.0,80802.0,154601.0
72,Merauke (MKQ) - Jayapura (DJJ),8173.0,7444.0,9085.0,10098.0,8936.0,13464.0,5299.0,4366.0,7928.0,11619.0,11418.0,13562.0,111392.0,78591.0,187438.0
73,Wamena (WMX) - Jayapura (DJJ),13123.0,10967.0,11340.0,12031.0,4743.0,10906.0,4227.0,3713.0,7375.0,8612.0,9474.0,11994.0,108505.0,112182.0,268710.0
74,Jayapura (DJJ) - Biak (BIK),8162.0,6066.0,7037.0,8500.0,6699.0,8585.0,7467.0,5404.0,9034.0,9904.0,10812.0,17852.0,105522.0,75831.0,135513.0
75,Pontianak (PNK) - Ketapang (KTG),6710.0,6140.0,8234.0,8914.0,6586.0,10247.0,4659.0,5682.0,8578.0,11109.0,13358.0,13870.0,104087.0,119265.0,257059.0
76,Tanjung Pandan (TJQ) - Pangkal Pinang (PGK),4087.0,3423.0,9429.0,10541.0,7453.0,11166.0,6817.0,4881.0,6817.0,11274.0,13187.0,13357.0,102432.0,80532.0,175082.0
77,Makassar (UPG) - Bau Bau (BUW),7843.0,7085.0,10620.0,11121.0,8254.0,13268.0,4126.0,3637.0,5468.0,8528.0,9367.0,8321.0,97638.0,92631.0,121286.0
78,Sorong (SOQ) - Jayapura (DJJ),8597.0,6875.0,9302.0,8402.0,6574.0,11368.0,4730.0,2399.0,3956.0,10507.0,10705.0,13291.0,96706.0,46390.0,149017.0
79,Palembang (PLM) - Batam (BTH),10651.0,10708.0,12459.0,12352.0,9513.0,12255.0,5618.0,3697.0,3391.0,326.0,7883.0,6194.0,95047.0,118270.0,180030.0
80,Semarang (SRG) - Pangkalan Bun (PKN),8386.0,7008.0,10388.0,11221.0,7755.0,15631.0,3467.0,2341.0,2789.0,5849.0,9001.0,10788.0,94624.0,103476.0,235093.0
81,Medan (KNO) - Bandung (BDO),8699.0,7231.0,8397.0,8103.0,6388.0,12530.0,2201.0,1893.0,2315.0,9646.0,11994.0,14990.0,94387.0,40937.0,149674.0
