Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,225304,137536,177348,166129,245423,217171,230623,193350,179483,189447,188598,198739,2349151,15,15,26,1994,16793,23176,31716,57612,63034,69972,66127,84790,415270
Soekarno Hatta-Jakarta,1069185,808614,1195183,1206248,1561849,1527629,1566606,1367804,1310419,1405625,1418906,1627832,16065900,82944,100778,173977,226557,307902,301893,300055,396039,445680,463463,443264,509441,3751993
Juanda-Surabaya,301152,220164,319093,285101,501021,404070,447785,346118,339071,367656,371289,413988,4316508,108,8,2376,14791,31804,43037,28674,52999,71917,76741,75726,80144,478325
Hasanudin-Makassar,211736,156830,219928,179676,275356,229651,246482,201465,193865,210265,211856,216028,2553138,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,317662,191034,290652,224687,395423,362418,408296,341349,299634,341780,317266,388008,3878209,518,1028,11453,47923,110403,170746,250747,298043,312284,336915,316073,356398,2212531
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
