Bandara Utama Domestik,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat di Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan pada Penerbangan Domestik,,,,,,,,,,,,,Keberangkatan pada Penerbangan Internasional,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,255263,190693,197738,209681,251463,216748,248679,209408,190778,197989,187237,187584,2543261,81406,76054,75899,72200,70425,83814,74247,76590,75268,74218,74547,90288,924956
Soekarno Hatta-Jakarta,1419611,1295180,1452671,1490809,1645124,1608563,1737637,1525937,1468845,1582366,1599568,1712363,18538674,469016,479400,537237,476397,535276,579430,531071,634105,619877,624618,607438,689402,6783267
Juanda-Surabaya,408885,364358,387720,387112,551152,435295,521681,416647,415522,448194,417901,446699,5201166,85769,83064,82533,60882,86118,98215,73509,97501,99484,104068,95850,100405,1067398
Hasanudin-Makassar,231757,201365,226555,215723,269015,224500,290973,225558,223066,229951,224744,222794,2786001,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,395523,299968,329959,332397,380661,423745,489801,427258,389220,435859,386873,429996,4721260,404091,343603,393675,432068,474926,499604,560044,581283,543105,546246,460954,473050,5712649
Bandara Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
