NO,KOTA
1,Alor (ARD)
2,Ambon (AMQ)
3,Ampana (OJU)
4,Anambas (LMU)
5,Atambua (ABU)
6,Bajawa (BJW)
7,Balikpapan (BPN)
8,Banda Aceh (BTJ)
9,Bandar Lampung (TKG)
10,Bandung (BDO)
11,Banjarmasin (BDJ)
12,Banyumas (PWL)
13,Banyuwangi (BWX)
14,Batam (BTH)
15,Batulicin (BTW)
16,Bau Bau (BUW)
17,Bengkulu (BKS)
18,Biak (BIK)
19,Bima (BMU)
20,Bintuni (NTI)
21,Bungo (BUU)
22,Buol (UOL)
23,Cepu (CPF)
24,Cilacap (CXP)
25,Denpasar (DPS)
26,Dobo (DOB)
27,Dumai (DUM)
28,Ende (ENE)
29,Fak-fak (FKQ)
30,Gorontalo (GTO)
31,Gunung Sitoli (GNS)
32,Jakarta (CGK)
33,Jakarta-HLP (HLP)
34,Jambi (DJB)
35,Jayapura (DJJ)
36,Jember (JBB)
37,Kaimana (KNG)
38,Kao (KAZ)
39,Karimun Jawa (KWB)
40,Kendari (KDI)
41,KEP.TALAUD (IAX)
42,Kerinci (KRC)
43,Ketapang (KTG)
44,Kolaka (KXB)
45,Kotabaru (KBU)
46,Kupang (KOE)
47,Labuha (LAH)
48,Labuhan Bajo (LBJ)
49,Langgur (LUV)
50,Larantuka (LKA)
51,Lewoleba (LWE)
52,Lhokseumawe (LSW)
53,Lubuk Linggau (LLJ)
54,Luwuk (LUW)
55,Maba (PGQ)
56,Majalengka (KJT)
57,Makassar (UPG)
58,Malang (MLG)
59,Malinau (LNU)
60,Mamuju (MJU)
61,Manado (MDC)
62,Manokwari (MKW)
63,Mappi (KEI)
64,Maumere (MOF)
65,Medan (KNO)
66,Melangguane (MNA)
67,Ewer (EWE)
68,Merauke (MKQ)
69,Meulaboh (MEQ)
70,Moa (JIO)
71,Morotai (OTI)
72,Morowali (MOH)
73,Muna (RAQ)
74,Nabire (NBX)
75,Namlea (NAM)
76,Namrole (NRE)
77,NATUNA (NTX)
78,Nunukan (NNX)
79,Oksibil (OKL)
80,Padang Pariaman (PDG)
81,Padang Sidempuan (AEG)
82,Palangkaraya (PKY)
83,Palembang (PLM)
84,Palopo (Bua) (LLO)
85,Palu (PLW)
86,PANGANDARAN (CJN)
87,Pangkal Pinang (PGK)
88,Pangkalan Bun (PKN)
89,Peakon Serai (TFY)
90,Pekanbaru (PKU)
91,Pontianak (PNK)
92,Poso (PSJ)
93,"Praya, Lombok (LOP)"
94,Putu Sibau (PSU)
95,Rote (RTI)
96,Ruteng (RTG)
97,Samarinda (AAP)
98,Sampit (SMQ)
99,Sanana (SQN)
100,Saumlaki (SXK)
101,Selayar (KSR)
102,Semarang (SRG)
103,Serui (ZRI)
104,Sibolga (FLZ)
105,Siborong-borong (DTB)
106,Sinabang (SNB)
107,Singkep (SIQ)
108,Sintang (SQG)
109,Solo (SOC)
110,Sorong (SOQ)
111,Sumbawa Besar (SWQ)
112,Sumenep (SUP)
113,Surabaya (SUB)
114,Tahuna (NAH)
115,TAKENGON (TXE)
116,Tambolaka (TMC)
117,Tanah Merah (TMH)
118,Tanjung Pandan (TJQ)
119,Tanjung Pinang (TNJ)
120,Tanjung Redeb (BEJ)
121,Tanjung Selor (TJS)
122,Tarakan (TRK)
123,Tasikmalaya (TSY)
124,Teluk Bintoni (BXB)
125,Ternate (TTE)
126,Timika (TIM)
127,Toli-toli (TLI)
128,Toraja (TRT)
129,Trinsing (HMS)
130,Waingapu (WGP)
131,Wamena (WMX)
132,Wangi-Wangi (WNI)
133,Yahukimo (DEX)
134,Yogyakarta (JOG)
135,Yogyakarta (YIA)
