waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2022,359,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,359,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,359,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,23,DOMESTIK,116,116,232,1128,1137,2265,0,4024,3616,7.64,0,0,0,0,0,0
2024,20,DOMESTIK,1,1,2,8,8,16,0,0,0,0,0,0,0,0,0,0
2020,337,DOMESTIK,3937,3904,7841,283448,269137,552585,5241,1321268,1223041,2544309,3229939,2046425,5276364,0,191,191
2021,337,DOMESTIK,2818,2819,5637,215217,215.07,430287,0,0,0,0,1772119,1946803,3718922,0,0,0
2022,337,DOMESTIK,3665,3667,7332,406541,427969,834.51,32,2974463,2989188,5963651,2128541,1829583,3958124,0,0,0
2023,337,DOMESTIK,4109,4111,8.22,487463,499984,987447,226,3665294,3353420,7018714,1766964,1691389,3458353,0,0,0
2024,337,DOMESTIK,4134,4119,8253,480786,503165,983951,135,3731688,3435338,7167026,1686858,1846179,3533037,0,0,0
2024,337,INTERNASIONAL,17,15,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,51,DOMESTIK,86,86,172,2353,2542,4895,0,2739,3026,5765,0,0,0,0,0,0
2021,51,DOMESTIK,5,5,10,62,59,121,0,3,3,6,0,0,0,0,0,0
2022,51,DOMESTIK,25,24,49,226,231,457,0,1414,1764,3178,931,960,1891,0,0,0
2023,51,DOMESTIK,7,7,14,53,52,105,0,0,0,0,0,0,0,0,0,0
2024,51,DOMESTIK,109,109,218,1.11,1201,2311,0,4606,5.37,9976,0,0,0,0,0,0
2020,271,DOMESTIK,516,516,1032,9653,8864,18517,0,59542,42177,101719,79896,451,80347,0,0,0
