waktu_id,maskapai_id,kategori_rute,aircraft_km,aircraft_departure,aircraft_hours,passenger_carried,freight_carried,passenger_km,available_seat_km,passenger_load_factor,ton_km_passenger,ton_km_freight,ton_km_mail,ton_km_total,available_ton_km,weight_load_factor
2024,74,INTERNASIONAL,365.0,280.0,583.3333333333334,0.0,3.205,0.0,0.0,0.0,0.0,4.237,0.0,4.237,16.085,6.0
2020,75,INTERNASIONAL,73.0,2.0,1224.0,5548.0,9.0,373886.0,490194.0,6.27,3396.0,90.0,47.0,34333.0,57394.0,9.82
2020,76,INTERNASIONAL,5.0,44.0,931.4666666666667,582.0,45.0,891.0,504.0,0.94,27.0,72.0,7.0,1.0,431.0,8.02
2021,76,INTERNASIONAL,16.0,3.0,100.66666666666667,3.0,48.0,5.0,7.0,7.0,4.0,1.0,2.0,4.0,1.0,4.0
2022,76,INTERNASIONAL,1.0,47.0,802.75,7956.0,88.0,6349.0,7152.0,3.04,733.0,34.0,1.0,868.0,1083.0,3.92
2023,76,INTERNASIONAL,377.0,936.0,2200.116666666667,92595.0,189.0,136298.0,206623.0,65.96,11449.0,280.0,0.0,11729.0,29658.0,39.55
2024,76,INTERNASIONAL,1.454,991.0,2293.6666666666665,118.344,249.0,173.362,218.741,79.25,14560.0,362.0,0.0,14.922,31.856,47.0
2020,77,INTERNASIONAL,743.0,1.0,8278.8,24765.0,4.0,204559.0,719801.0,8.0,185379.0,18736.0,12.0,204207.0,101086.0,5.0
2021,77,INTERNASIONAL,1.0,791.0,1899.0,613705.0,11.0,5069203.0,6109781.0,2.97,17388.0,24359.0,5.0,41759.0,858034.0,4.14
2022,77,INTERNASIONAL,4791.0,2.0,25281.0,873475.0,5.0,7.0,9.0,7.0,430881.0,33127.0,11.0,464519.0,1.0,5.0
2023,77,INTERNASIONAL,22458.0,719.0,24471.0,1.0,638.0,214903.0,746023.0,4.03,613267.0,46579.0,713.0,660559.0,302619.0,0.71
2024,77,INTERNASIONAL,23921.0,2910.0,26114.0,62417.0,6797.0,8748290.0,10813260.0,80.9,743601.0,56122.0,857.0,800580.0,1406286.0,56.93
2020,78,INTERNASIONAL,374.0,961.0,2915.0833333333335,183189.0,256.0,220172.0,336331.0,6.1,806.0,38.0,0.0,371.0,43177.0,6.42
2021,78,INTERNASIONAL,8.0,7.0,1607.3333333333333,21790.0,1.0,31178.0,174100.0,8.0,2.0,1.0,2.0,2.0,23377.0,4.0
2022,78,INTERNASIONAL,673.0,301.0,9311.416666666666,744277.0,14.0,1009129.0,1172098.0,5.02,6179.0,41.0,0.0,8217.0,171836.0,3.29
2023,78,INTERNASIONAL,9.0,7.0,14960.416666666666,1386382.0,1.0,1661581.0,1954341.0,8.0,124618.0,2.0,0.0,124760.0,288193.0,4.0
2024,78,INTERNASIONAL,117.0,774.0,15802.483333333334,1438796.0,96.0,1721388.0,1994018.0,6.33,129105.0,32.0,0.0,129337.0,287434.0,5.0
2020,79,INTERNASIONAL,41.0,10.0,0.0,1.0,0.0,4.0,0.0,2.38,77.0,2.0,0.0,79.0,0.0,2.71
2021,79,INTERNASIONAL,6.0,1.0,0.0,187.0,25.0,867.0,6.0,8.0,8.0,2.0,0.0,8.0,0.0,8.0
2022,79,INTERNASIONAL,73.0,64.0,50.833333333333336,2.0,69.0,9.0,724.0,4.1,49.0,92.0,0.0,341.0,7.0,2.7
2023,79,INTERNASIONAL,2.0,6.0,833.6666666666666,2633.0,6.0,2795.0,110335.0,8.0,3.0,2.0,0.0,3.0,10086.0,8.0
2024,79,INTERNASIONAL,673.0,52.0,3312.75,95732.0,31.0,392500.0,438907.0,9.43,2261.0,586.0,0.0,4847.0,40098.0,6.9
2020,80,INTERNASIONAL,1.0,48.0,1333.0,10.0,1.0,33.0,39479.0,0.0,0.0,650.0,0.0,650.0,925.0,6.06
2021,80,INTERNASIONAL,77.0,54.0,290.25,0.0,114.0,0.0,0.0,0.08,0.0,3.0,0.0,3.0,8.0,3.0
2022,80,INTERNASIONAL,20.0,6.0,32.25,0.0,93.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,81.0,4.62
2023,81,INTERNASIONAL,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0
2024,81,INTERNASIONAL,0.0,56.0,676.0,16553.0,0.0,52968.0,94282.0,6.18,79.0,0.0,0.0,79.0,0.0,0.0
2020,82,INTERNASIONAL,17.0,446.0,3057.9333333333334,973.0,313.0,8.0,741.0,0.46,64.0,26.0,0.0,90.0,81.0,2.03
2021,82,INTERNASIONAL,2.0,40.0,57.833333333333336,6.0,62.0,35.0,3.0,7.0,2.0,1.0,0.0,2.0,4.0,4.0
2022,82,INTERNASIONAL,0.0,42.0,6247.2,2.0,19.0,28992.0,7474.0,7.37,319.0,6.0,13.0,438.0,879.0,9.97
2020,83,INTERNASIONAL,6.0,5.0,6190.666666666667,134921.0,31506.0,117560.0,452406.0,4.96,9.0,31087.0,60.0,67865.0,99001.0,0.96
