waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,164,3088,385556,593207,2744946.0,49078.0,65.0
2020,166,354,14582,25488,1296.0,0.0,57.21
2020,168,88,2427,2816,0.0,0.0,86.19
2020,169,631,32833,49464,203478.0,0.0,66.38
2020,170,1462,196269,289424,540166.0,896.0,67.81
2020,172,188,21839,40342,21705.0,5.0,54.13
2020,173,1807,237794,348207,1092489.0,662.0,68.29
2020,174,1145,118270,213441,578543.0,201.0,55.41
2020,175,534,58770,100053,118897.0,310.0,58.74
2020,176,204,5534,14688,1805.0,0.0,37.68
2020,177,314,38698,65794,335287.0,148.0,58.82
2020,178,2369,281398,471281,3567606.0,14031.0,59.71
2020,179,212,6546,15264,0.0,0.0,42.89
2020,180,23,2209,3588,0.0,5240.0,61.57
2020,181,329,34127,70163,63961.0,50.0,48.64
2020,182,206,7742,14832,7912.0,0.0,52.2
2020,183,18,1776,2808,150.0,3860.0,63.25
2020,184,166,20053,33844,97698.0,0.0,59.25
2020,186,1727,150467,296316,3753185.0,65751.0,50.78
2020,187,1300,153385,258506,788452.0,9835.0,59.34
2020,188,378,42250,68040,348.0,0.0,62.1
2020,189,98,5667,7056,56469.0,0.0,80.31
2020,190,194,7857,13968,50.0,0.0,56.25
2020,191,173,13241,20744,79313.0,0.0,63.83
2020,192,178,8921,12816,0.0,0.0,69.61
2020,193,174,5629,12528,0.0,0.0,44.93
2020,195,205,9604,14760,2087.0,0.0,65.07
2020,196,2109,92631,150924,193788.0,273.0,61.38
2020,198,166,14300,25524,120666.0,4805.0,56.03
2020,201,1235,80017,185753,189236.0,0.0,43.08
2020,202,240,4299,16800,20.0,0.0,25.59
2020,203,746,21869,52896,19314.0,0.0,41.34
2020,205,1093,41976,78696,542.0,0.0,53.34
2020,207,453,32661,69413,4898427.0,74304.0,47.05
2020,208,234,42634,56527,523942.0,7270.0,75.42
2020,209,26,4862,5590,964.0,4592.0,86.98
2020,211,158,24579,29334,183742.0,0.0,83.79
2020,214,4492,457132,796805,4664254.0,16413.0,57.37
2020,215,833,80969,143936,987147.0,73652.0,56.25
2020,216,859,91724,164355,466953.0,855.0,55.81
2020,217,1155,129366,315655,12742045.0,102975.0,40.98
2020,218,15111,1549163,2907008,20444625.0,605309.0,53.29
2020,219,996,100590,166543,880744.0,2819.0,60.4
2020,221,752,153952,259464,11003627.0,474710.0,59.33
2020,222,447,22728,42912,139989.0,0.0,52.96
2020,223,88,13934,18440,99303.0,0.0,75.56
2020,224,369,16942,35424,32990.0,0.0,47.83
2020,225,180,18530,28080,210729.0,6924.0,65.99
2020,226,28,3776,6080,360.0,280.0,62.11
2020,227,11,0,0,266556.0,0.0,0.0
2020,229,1661,126154,378128,33074569.0,267619.0,33.36
2020,230,770,95109,206320,9003010.0,9963.0,46.1
2020,231,1423,135600,329658,22368010.0,522443.0,41.13
2020,232,385,81708,122926,4159627.0,65824.0,66.47
2020,233,891,233867,356352,3196499.0,38525.0,65.63
2020,234,66,7688,11880,3458.0,0.0,64.71
2020,235,3668,458709,663334,1221814.0,14468.0,69.15
2020,237,1084,93971,179202,1805232.0,38702.0,52.44
2020,238,159,14477,39554,1765615.0,0.0,36.6
2020,239,76,3688,13680,0.0,0.0,26.96
2020,240,26,2907,4056,0.0,0.0,71.67
2020,241,14026,1544801,2602045,24109634.0,904519.0,59.37
2020,242,702,61566,109228,944393.0,9636.0,56.36
2020,243,4794,510306,930797,9005311.0,202286.0,54.82
2020,245,983,72521,160796,303463.0,1576.0,45.1
2020,246,379,36344,54106,48566.0,473.0,67.17
2020,247,3577,398833,652790,4858534.0,78629.0,61.1
2020,250,150,34700,42948,1222447.0,4333.0,80.8
2020,251,3638,330664,623950,7741683.0,229377.0,53.0
2020,252,213,56248,83985,23625.0,0.0,66.97
2020,253,203,22059,46859,2663234.0,14340.0,47.08
2020,255,194,19028,30396,118954.0,5830.0,62.6
2020,256,1356,130133,235424,200143.0,524.0,55.28
2020,257,420,41688,81594,901463.0,0.0,51.09
2020,258,55,7028,13805,184826.0,0.0,50.91
2020,260,18,1049,2808,0.0,0.0,37.36
2020,261,1275,113651,275456,16295309.0,596380.0,41.26
2020,262,6440,728179,1186943,7673882.0,202554.0,61.35
2020,263,40,7143,11600,263399.0,0.0,61.58
2020,264,761,61185,103761,4525252.0,966.0,58.97
2020,265,140,13287,23492,106436.0,2501.0,56.56
2020,266,4272,439032,743719,5411998.0,40952.0,59.03
2020,267,510,47568,65280,422017.0,0.0,72.87
2020,268,6899,725399,1202886,11024406.0,270462.0,60.3
2020,269,2271,204823,395615,5131284.0,78902.0,51.77
2020,270,6973,741703,1221015,3983011.0,58541.0,60.74
2020,271,1167,89156,177901,3061703.0,34297.0,50.12
2020,272,40,3032,7200,0.0,0.0,42.11
2020,273,8289,894422,1435678,13041635.0,413975.0,62.3
2020,274,379,18292,38258,5699525.0,348173.0,47.81
2020,275,79,24632,32421,402227.0,251.0,75.98
2020,276,183,13773,25939,672806.0,440.0,53.1
2020,277,8032,618117,1266002,58849280.0,200832.0,48.82
2020,278,329,25233,39198,503965.0,0.0,64.37
2020,279,3153,298253,575315,2161624.0,46945.0,51.84
2020,280,1146,95266,185814,1434307.0,61600.0,51.27
2020,281,6962,646973,1158882,5933482.0,12204.0,55.83
2020,282,226,18867,33136,45.0,0.0,56.94
2020,283,14844,1547687,2635164,15753425.0,388367.0,58.73
2020,284,391,52119,96235,3907256.0,643529.0,54.16
2020,285,416,0,66,6940978.0,0.0,0.0
2020,286,315,8821,25116,3609199.0,0.0,35.12
2020,287,38,3139,9348,6094.0,4.0,33.58
2020,289,311,24748,50994,115325.0,1052.0,48.53
2020,290,2643,211445,426781,2635279.0,22167.0,49.54
2020,291,4688,523150,808435,1439040.0,12068.0,64.71
2020,292,1267,101770,217211,2861146.0,103926.0,46.85
2020,293,1760,123083,403894,35355844.0,355503.0,30.47
2020,294,171,18904,32657,330081.0,3515.0,57.89
2020,295,800,65983,129979,1481651.0,54508.0,50.76
2020,296,15065,1579052,2660708,28494003.0,1140884.0,59.35
2020,299,62,7762,10540,73406.0,0.0,73.64
2020,300,4618,370933,811190,2271431.0,9641.0,45.73
2020,301,19,5394,6840,69167.0,0.0,78.86
2020,302,232,452,2784,611.0,25.0,16.24
2020,304,128,19709,23184,1625.0,0.0,85.01
2020,308,30,5959,6450,820.0,4350.0,92.39
2020,309,26,5309,5590,0.0,5640.0,94.97
2020,310,137,241,1644,76.0,1.0,14.66
2020,313,711,35482,49268,236874.0,0.0,72.02
2020,314,181,5881,12308,64123.0,0.0,47.78
2020,317,326,18115,60138,25918.0,0.0,30.12
