Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Internasional di 4 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,379,476,715,555,334,275,188,88,65,29,15,31,3150,2065,2426,3561,4254,3722,1718,590,2139,1216,119,7,55,21872,0,0,0,0,0,0,0,0,0,0,0,0,0
Soekarno Hatta-Jakarta,48941,30819,38210,41100,42513,54120,45257,42345,47081,52031,73898,95915,612230,38824,35033,46360,58299,44051,45646,39122,46913,46032,56712,79152,93496,629640,0,204,4,0,0,23,0,14,2,0,20,1,268
Juanda-Surabaya,1252,1052,1153,1545,1113,1111,451,236,344,136,106,53,8552,6123,5688,9604,16625,10484,4765,5053,6593,4803,12,4,2,69756,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,198,73,200,79,197,577,159,419,417,240,142,320,3021,66,98,199,71,296,346,176,177,267,209,151,538,2594,0,0,0,0,21,1,0,0,0,3,0,2,27
Bandara Lainnya,230,280,422,221,243,317,546,1512,93,165,239,281,4549,2322,2555,4358,5051,1447,2725,1459,280,782,2048,1286,1309,25622,421,607,434,309,351,448,0,3,189,186,126,185,3259
TOTAL,51000,32700,40700,43500,44400,56400,46601,44600,48000,52601,74400,96600,631502,49400,45800,64082,84300,60000,55200,46400,56102,53100,59100,80600,95400,749484,421,811,438,309,372,472,0,17,191,189,146,188,3554
