Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Internasional di 4 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,15,15,26,1994,16793,23176,31716,57612,63034,69972,66127,84790,415270,19,0,15,2187,15595,23396,39965,49309,60044,67113,65517,80130,403290,0,0,0,0,0,0,0,0,0,0,0,0,-
Soekarno Hatta-Jakarta,82944,100778,173977,226557,307902,301893,300055,396039,445680,463463,443264,509441,3751993,85143,86762,149022,197234,270818,263424,309469,316192,375334,425999,416270,426937,3322604,0,0,0,0,15,53,80,106,291,463,208,348,1564
Juanda-Surabaya,108,8,2376,14791,31804,43037,28674,52999,71917,76741,75726,80144,478325,282,219,2795,20533,32608,31297,38743,47883,66588,74149,74555,78218,467870,-,0,0,0,0,0,0,0,0,0,0,0,0
Ngurah Rai-Bali,518,1028,11453,47923,110403,170746,250747,298043,312284,336915,316073,356398,2212531,237,2058,19104,66752,127849,194585,268704,290782,308412,327720,312291,414643,2333137,0,12,0,10,2,11,112,1633,4067,4951,6815,12910,30523
Bandara Lainnya,115,71,368,1535,5998,44148,12008,19907,26485,39009,41210,51727,242581,719,1461,1364,1694,7030,10098,26019,39234,27622,34917,38267,47272,235697,0,18,136,0,121,32,103,356,4,177,292,29,1268
TOTAL,83700,101900,188200,292800,472900,583000,623200,824600,919400,986100,942400,1082500,7100700,86400,90500,172300,288400,453900,522800,682900,743400,838000,929898,906900,1047200,6762598,0,30,136,10,138,96,295,2095,4362,5591,7315,13287,33355
