Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Internasional di 4 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,96538,63610,25325,616,182,383,357,222,279,217,234,510,188473,104308,63713,33009,685,311,3136,3362,2824,2276,2901,2117,1901,220543,5442,1861,0,322,0,436,582,137,531,0,0,0,9311
Soekarno Hatta-Jakarta,626097,444267,187899,17499,9460,14619,22618,28513,32043,36549,42028,56330,1517922,645735,407550,178841,17686,17953,21138,36563,35091,33183,41389,46234,61295,1542658,2898,746,1283,126,227,55,0,438,0,110,0,2,5885
Juanda-Surabaya,98475,71723,22324,1026,340,398,482,293,407,1620,1188,826,199102,106867,70279,32816,1098,838,1820,2660,2713,2286,3901,2789,3187,231254,-,-,-,-,-,-,-,-,-,-,-,-,-
Ngurah Rai-Bali,641039,425633,274259,6752,1624,877,2117,1461,391,93,240,196,1354682,589806,393164,188285,5773,2106,495,1103,735,141,338,245,417,1182608,18846,14610,8333,0,0,0,121,149,0,192,156,0,42407
Bandara Lainnya,221686,122167,48917,87,156,35,88,642,880,121,1010,338,396127,178805,122594,56025,158,395,511,2412,2388,3814,4471,915,2300,374788,2182,6,0,0,0,111,1126,808,1013,854,291,159,6550
TOTAL,1683835,1127400,558724,25980,11762,16312,25662,31131,34000,38600,44700,58200,3656306,1625521,1057300,488976,25400,21603,27100,46100,43751,41700,53000,52300,69100,3551851,29368,17223,9616,448,227,602,1829,1532,1544,1156,447,161,64153
