Bandara Utama Internasional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jumlah Penumpang Pesawat (Angkutan Udara) Internasional di 4 Bandara Utama (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keberangkatan,,,,,,,,,,,,,Kedatangan,,,,,,,,,,,,,Transit,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Kualanamu-Medan,81406,76054,75899,72200,70425,83814,74247,76590,75268,74218,74547,90288,924956,81765,72576,79557,72893,73787,77926,94103,76462,72853,79461,77142,85379,943904,0,0,0,0,-,-,-,2,1,-,3,-,6
Soekarno Hatta-Jakarta,469016,479400,537237,476397,535276,579430,531071,634105,619877,624618,607438,689402,6783267,467251,464322,534417,433814,541445,488320,642834,573882,553137,616824,607237,618740,6542223,744,353,460,327,750,1025,1978,2438,2361,3198,1126,2450,17210
Juanda-Surabaya,85769,83064,82533,60882,86118,98215,73509,97501,99484,104068,95850,100405,1067398,78264,79276,88223,76228,69463,63664,111033,87501,93504,99063,94370,97632,1038221,0,3,0,0,-,-,-,4,-,-,-,-,7
Ngurah Rai-Bali,404091,343603,393675,432068,474926,499604,560044,581283,543105,546246,460954,473050,5712649,383446,358596,403509,448386,468396,512127,582372,548205,536405,496466,439581,529170,5706659,23677,23016,11482,7115,3722,5830,8354,2649,5071,6955,7035,11104,116010
Bandara Lainnya,68118,69979,74756,63753,97555,151337,86129,110721,106966,104250,107311,112555,1153430,58074,68930,76394,72379,76709,76963,172158,108250,102101,98586,104470,103679,1118693,34,12,676,794,513,996,651,1122,1085,740,494,1125,8242
TOTAL,1108400,1052100,1164100,1105300,1264300,1412400,1325000,1500200,1444700,1453400,1346100,1465700,15641700,1068800,1043700,1182100,1103700,1229800,1219000,1602500,1394300,1358000,1390400,1322800,1434600,15349700,24455,23384,12618,8236,4985,7851,10983,6215,8518,10893,8658,14679,141475
