waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2021,234,DOMESTIK,5789,5799,11588,709751,685859,1167911,42,4153577,5098620,9252197,1229431,5465546,6694977,0,0,0
2022,234,DOMESTIK,10.3,10302,20602,1463394,1427800,2891194,0,10324441,12139909,22464350,1610561,6446184,8056745,0,0,0
2023,234,DOMESTIK,13718,13716,27434,1934817,1915070,3849887,0,13414371,15881785,29296156,2085196,9390785,11475981,6,0,6
2024,234,DOMESTIK,13322,13.31,26632,1921019,1919218,3840237,6504,14002155,16460792,30462947,1795529,13680341,15475870,0,1,1
2020,234,INTERNASIONAL,23,22,45,993,157,1150,0,15572,6784,22356,102350,8805,111155,0,0,0
2021,234,INTERNASIONAL,19,18,37,49,40,89,0,356,496,852,26062,303438,401598,0,0,0
2022,234,INTERNASIONAL,212,213,425,25240,23454,48694,0,324315,233851,558166,56396,48505,104901,0,0,0
2023,234,INTERNASIONAL,1630,1630,3260,207728,203918,411646,0,2314835,1821281,4136116,17720,168396,186116,0,0,0
2024,234,INTERNASIONAL,1348,1356,2704,201600,189638,391238,0,2324472,1735628,4060100,4341,185074,189415,0,0,0
2020,197,DOMESTIK,32585,32597,65182,3182279,2747248,5929527,441216,13373399,15474530,28847929,15959037,36771092,52730129,0,0,0
2021,197,DOMESTIK,27474,26210,53684,2896521,2471287,5367808,463588,15865893,17628813,33494706,14366037,41242221,55608258,0,0,0
2022,197,DOMESTIK,36087,35970,72057,4874665,4316508,9191173,656743,33792830,37449123,71241953,15414801,42452375,57867176,0,0,0
2023,197,DOMESTIK,41674,41596,83270,5895138,5270665,11165803,742977,39856168,44394086,84250254,13881476,40772088,54653564,3,0,3
2024,197,DOMESTIK,40464,40453,80917,5716475,5826741,11543216,534562,39470225,43633055,83103280,16328029,47263184,63591213,2659,1052,3711
2020,197,INTERNASIONAL,1928,1963,3891,231254,199102,430356,0,4446968,2175040,6622008,5477784,7102970,12580754,0,0,0
2021,197,INTERNASIONAL,998,1122,2120,69756,8438,78194,0,1516095,147315,1663410,5483194,9152955,14636149,0,0,0
2022,197,INTERNASIONAL,2834,2955,5789,467780,478325,946105,0,9237318,5112906,14350224,4410035,6136142,10546177,0,0,0
2023,197,INTERNASIONAL,6439,6546,12985,1040404,1061691,2102095,7,17700602,10916392,28616994,6487306,6351640,12838946,3,0,3
2024,197,INTERNASIONAL,6959,6977,13936,1179298,1116185,2295483,10,20619250,11879032,32498282,10275683,7267153,17542836,0,0,0
2020,134,DOMESTIK,1515,1515,3030,134624,148351,282975,0,1016236,893944,1910180,143991,53710,197701,0,0,0
2021,134,DOMESTIK,782,782,1564,73965,81864,155829,0,446473,614753,1061226,94294,43983,138277,0,0,0
2022,134,DOMESTIK,1274,1275,2549,172980,178015,350995,0,1092699,1403321,2496020,145053,15371,160424,0,0,0
2023,134,DOMESTIK,1763,1753,3516,235459,240668,476127,0,1427853,1771923,3199776,251927,19389,271316,0,0,0
2024,134,DOMESTIK,1928,1926,3854,251641,259786,511427,97,1523032,1844226,3367258,232487,25325,257812,0,0,0
2020,198,DOMESTIK,199,199,398,2517,2607,5124,0,7416,7199,14615,2658,2275,4933,0,0,0
2021,198,DOMESTIK,171,171,342,1286,1288,2574,0,0,0,0,9434,10511,19945,0,0,0
2022,198,DOMESTIK,345,345,690,2694,2753,5447,0,16715,17926,34641,0,0,0,0,0,0
2023,198,DOMESTIK,544,542,1086,2240,2184,4424,24,2751,2865,5616,16775,18527,35302,3,0,3
2024,198,DOMESTIK,310,310,620,2593,2443,5036,0,1949,1980,3929,11023,12452,23475,0,0,0
2020,82,DOMESTIK,88,88,176,2845,3082,5927,0,6483,8735,15218,6.92,12422,19342,0,0,0
2021,82,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,82,DOMESTIK,3,2,5,42,77,119,0,0,0,0,0,0,0,0,0,0
2023,82,DOMESTIK,40,51,91,184,236,420,0,183,1859,2042,1.14,1093,2233,0,1,1
2024,82,DOMESTIK,101,99,200,491,554,1045,0,1396,1565,2961,0,0,0,0,1,1
2020,55,DOMESTIK,19625,19631,39256,1735628,1805409,3541037,145929,10502921,12974593,23477514,11609903,12439070,24048973,76224,69809,146033
2021,55,DOMESTIK,17474,17468,34942,1880219,1824388,3704607,67061,13976082,17129144,31105226,10344898,17256680,27601578,295566,265504,561.07
2022,55,DOMESTIK,30608,30618,61226,3978861,3878209,7857070,89965,30823454,37734137,68557591,10609269,12388676,22997945,418818,306242,725.06
2023,55,DOMESTIK,36419,36401,72.82,4954994,4721243,9676237,242336,38299339,44813025,83112364,14111061,9647668,23758729,281544,180844,462388
2024,55,DOMESTIK,35324,35141,70465,4829568,4872133,9701701,198969,38627786,45091877,83719663,18143970,7772466,25916436,223515,172066,395581
2020,55,INTERNASIONAL,8447,8467,16914,1183054,1356003,2539057,42419,13894586,17182084,31076670,11088777,14985175,26073952,396852,538028,934.88
2021,55,INTERNASIONAL,674,682,1356,2594,3021,5615,27,8465,31128,39593,816719,2933214,3749933,13128,0,13128
2022,55,INTERNASIONAL,13016,13012,26028,2333137,2212531,4545668,30523,29928300,31053235,60981535,3678205,9625024,13303229,339447,617629,957076
2023,55,INTERNASIONAL,31725,31769,63494,5706536,5712886,11419422,116017,70731769,78293003,149024772,12303173,16655836,28959009,759.89,972899,1732789
2024,55,INTERNASIONAL,36328,36391,72719,6896925,7009177,13906102,54903,86849589,93549430,180399019,21249273,22374809,43624082,300189,616.15,916339
2020,168,DOMESTIK,8.04,8056,16096,644661,657173,1301834,1106,3818699,3559786,7378485,14385260,6072252,20457512,0,0,0
2021,168,DOMESTIK,6545,6541,13086,522277,529963,1052240,428,3668394,3887639,7556033,23697757,7285142,30982899,0,2.06,2.06
2022,168,DOMESTIK,10.04,10038,20078,1098928,1023108,2122036,231,8766328,8879736,17646064,24503573,7220328,31723901,0,0,0
2023,168,DOMESTIK,9656,9653,19309,1204007,1130210,2334217,816,10246513,9968042,20214555,19029227,7083705,26112932,0,0,0
2024,168,DOMESTIK,9357,9355,18712,1078900,1083075,2161975,687,9248919,9273681,18522600,21735322,6631029,28366351,0,0,0
2020,168,INTERNASIONAL,225,232,457,20328,19031,39359,0,168955,140265,309.22,77,5.47,5547,0,0,0
2021,168,INTERNASIONAL,2,10,12,0,1,1,0,0,0,0,0,0,0,0,0,0
2022,168,INTERNASIONAL,30,27,57,7,8,15,0,0,0,0,0,0,0,0,0,0
2023,168,INTERNASIONAL,26,28,54,14,43,57,0,0,0,0,0,0,0,0,0,0
2024,168,INTERNASIONAL,10,14,24,0,13,13,0,0,0,0,0,0,0,0,0,0
2020,193,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,193,DOMESTIK,64,64,128,803,698,1501,0,2269,1686,3955,0,0,0,0,0,0
2022,193,DOMESTIK,161,160,321,6718,7289,14007,0,32425,34642,67067,0,0,0,0,0,0
2023,193,DOMESTIK,186,187,373,6715,7.07,13785,24,30261,34583,64844,77,0,77,0,0,0
2024,193,DOMESTIK,125,125,250,4632,5078,9.71,0,19605,21937,41542,59,0,59,0,0,0
2020,171,DOMESTIK,341,341,682,15181,14121,29302,222,60944,47073,108017,527,3564,4091,0,0,0
2021,171,DOMESTIK,126,126,252,4.81,5286,10096,0,23101,23014,46115,0,626,626,0,0,0
2022,171,DOMESTIK,212,212,424,9467,9331,18798,0,28002,26253,54255,0,0,0,0,0,0
2023,171,DOMESTIK,158,157,315,7082,6642,13724,0,18655,18188,36843,3,0,3,5,9,14
2024,171,DOMESTIK,98,97,195,4486,4131,8617,87,14384,10.86,25244,0,0,0,1,0,1
2020,102,DOMESTIK,1405,1405,2.81,69159,68602,137761,923,245042,194587,439629,2999,9198,12197,0,0,0
2021,102,DOMESTIK,1105,1104,2209,55318,57466,112784,509,202748,201816,404564,47025,33436,80461,0,0,0
2022,102,DOMESTIK,1241,1241,2482,71.89,73778,145668,49,292996,270132,563128,66.84,113084,179924,0,0,0
2023,102,DOMESTIK,1234,1234,2468,69101,69438,138539,0,283781,266.34,550121,79055,150878,229933,0,2,2
2024,102,DOMESTIK,1127,1127,2254,69444,67561,137005,0,333095,258077,591172,64644,90079,154723,0,0,0
2020,164,DOMESTIK,2182,2.18,4362,152684,153768,306452,315,842015,836643,1678658,1966522,980578,2947100,0,0,0
2021,164,DOMESTIK,3159,3.16,6319,186681,207267,397588,3.64,1064871,821586,1886457,9415362,1899731,11315093,0,0,0
2022,164,DOMESTIK,3271,3267,6538,278.56,283.67,562.23,691,2147616,1649191,3796807,10953045,1812137,12765182,0,0,0
2023,164,DOMESTIK,3963,3958,7921,350313,344635,694948,172,2905981,2087817,4993798,8988282,2059028,11047310,0,1131,1131
2024,164,DOMESTIK,3266,3268,6534,357764,357078,714842,62,2937820,2117295,5055115,11186150,2162438,13348588,0,0,0
2024,164,INTERNASIONAL,3,3,6,19,16,35,0,0,0,0,0,0,0,0,0,0
2020,162,DOMESTIK,1695,1694,3389,118096,109956,228052,4126,797519,557908,1355427,430941,411504,842445,0,0,0
2021,162,DOMESTIK,1681,1.68,3361,98347,88008,186355,231,587669,392465,980134,373359,233055,606414,0,0,0
2022,162,DOMESTIK,2343,2344,4687,173686,171563,345249,721,1449352,1002450,2451802,469896,313126,783022,0,0,0
2023,162,DOMESTIK,2161,2146,4307,178055,181196,359251,541,1635245,1205308,2840553,353222,334588,687.81,0,0,0
2024,162,DOMESTIK,2175,2176,4351,233507,238502,472009,628,2255828,1690675,3946503,411055,218389,629444,0,0,0
2020,188,DOMESTIK,912,912,1824,46.72,48181,94901,3864,257023,215119,472142,449514,443513,893027,0,0,0
2021,188,DOMESTIK,617,617,1234,30946,29427,60373,0,156965,115.56,272525,355265,113.04,468305,0,0,0
2022,188,DOMESTIK,971,971,1942,58286,57503,115789,258,394.76,292.51,687.27,779574,219102,998676,0,0,0
2023,188,DOMESTIK,497,494,991,35581,32448,68029,0,292699,198036,490735,323891,215981,539872,0,0,0
2024,188,DOMESTIK,462,462,924,39769,37835,77604,0,374.23,273533,647763,422922,193.81,616732,0,0,0
2020,77,DOMESTIK,167,167,334,1187,1149,2336,0,8706,7127,15833,0,0,0,0,0,0
