NO,RUTE (PP),Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,TOTAL 2020,TOTAL 2019,TOTAL 2018
320,Pekanbaru (PKU)-Jambi (DJB),2125,1681,2067,,,,,62,,,,,5935.0,22873.0,22167.0
321,Tanjung Pinang (TNJ)-Pekanbaru (PKU),2044,1201,2103,201,,,209,122,30,,,,5910.0,22513.0,22544.0
322,Makassar (UPG)-Poso (PSJ),1810,2043,1934,123,,,,,,,,,5910.0,26548.0,21839.0
323,Tasikmalaya (TSY)-Jakarta-HLP (HLP),1886,2058,1939,,,,,,,,,,5883.0,34926.0,32908.0
324,Wamena (WMX)-Yahukimo (DEX),2506,1823,1071,,,,481,,,,,,5881.0,27049.0,23863.0
325,Medan (KNO)-Dumai (DUM),2199,1686,1889,28,,,8,15,,,,,5825.0,25061.0,22188.0
326,Manado (MDC)-Kao (KAZ),2157,1805,1422,289,,,,,,,,,5673.0,27650.0,18608.0
327,Kerinci (KRC)-Bungo (BUU),1462,1853,2164,150,,,,,,,,,5629.0,,12074.0
328,Buol (UOL)-Palu (PLW),"1741
1283","1696
1200","1677
1464","310
840","-
32","-
194","-
291","-
143","97
87","-
-","-
-","37
-",5558.0,26921.0,24238.0
329,Singkep (SIQ)-Batam (BTH),,,,,,,,,,,,,5534.0,102.0,2570.0
330,Mamuju (MJU)-Balikpapan (BPN),2149,1784,1437,,,,,,,,,,5370.0,23639.0,20499.0
331,Makassar (UPG)-Bandung (BDO),,,,,,,,238,991,457,1344,2324,5354.0,102411.0,57675.0
332,Maumere (MOF)-Labuhan Bajo (LBJ),637,507,984,127,,433,977,917,741,,,,5323.0,2161.0,13894.0
333,Padang Pariaman (PDG)-Jambi (DJB),1903,1384,1912,17,,,,,,,,,5216.0,30705.0,25400.0
334,Medan (KNO)-Siborong-borong (DTB),1768,1063,1761,73,,,289,49,30,,,,5033.0,43243.0,18303.0
335,Padang Pariaman (PDG)-Bengkulu (BKS),1800,1436,1674,90,,,,,,,,,5000.0,27967.0,22607.0
336,Tanah Merah (TMH)-Merauke (MKQ),954,678,628,,,,639,561,555,346,314,279,4954.0,14838.0,19144.0
337,Solo (SOC)-Pangkal Pinang (PGK),,,175,,,297,699,669,599,585,720,1119,4863.0,,
338,Padang Pariaman (PDG)-Gunung Sitoli (GNS),2390,1440,873,,,,,,,,,,4703.0,23892.0,27993.0
339,Melak (GHS)-Samarinda (AAP),2056,1804,809,,,,,,,,,,4669.0,,21709.0
340,Batam (BTH)-Bengkulu (BKS),1509,1096,1868,,,182,,,,,,,4655.0,22574.0,19718.0
341,Bandar Lampung (TKG)-Bengkulu (BKS),1260,1436,1822,11,,,,,,,,,4529.0,14691.0,16198.0
342,Bandar Lampung (TKG)-Jambi (DJB),1485,1141,1733,16,,,,,,,,,4375.0,27607.0,23867.0
343,Nabire (NBX)-Ambon (AMQ),2510,1068,642,,,,,,105,,,,4325.0,21693.0,27596.0
344,Solo (SOC)-Bandung (BDO),1529,1552,1215,11,,,,,,,,,4307.0,26157.0,16811.0
345,Denpasar (DPS)-Banyuwangi (BWX),,,,,,,,149,794,1101,1181,1074,4299.0,,12951.0
346,Wamena (WMX)-Timika (TIM),1439,1554,1007,,,,,,,,,,4000.0,197.0,1247.0
347,Jakarta (CGK)-Majalengka (KJT),1546,1153,888,101,,,,,,,,,3688.0,288.0,
348,Sumenep (SUP)-Surabaya (SUB),1034,867,1478,183,,,,,,,,,3562.0,32179.0,13835.0
349,Malang (MLG)-Denpasar (DPS),1426,911,754,,,,,,,,,,3091.0,34399.0,24276.0
350,Sorong (SOQ)-Nabire (NBX),1304,995,775,,,,,,,,,,3074.0,,969.0
351,Yogyakarta (YIA)-Tarakan (TRK),2130,180,,700,,,,,,,,,3010.0,,10015.0
352,Denpasar (DPS)-Ambon (AMQ),1404,948,435,,,,,,,,,,2787.0,,521.0
353,Manado (MDC)-Ambon (AMQ),1001,803,862,,,,,,37,,27,,2730.0,16151.0,14260.0
354,Surabaya (SUB)-Jayapura (DJJ),,,,,,,,,,,,2675,2675.0,34532.0,
355,Lahat (PXA)-Palembang (PLM),928,807,935,,,,,,,,,,2670.0,28390.0,14765.0
356,Makassar (UPG)-Majalengka (KJT),1944,583,59,,,,,,,,,,2586.0,145.0,21654.0
357,Matak (MWK)-Batam (BTH),756,721,950,,,,,,,,,,2427.0,2253.0,7575.0
358,Manokwari (MKW)-Kaimana (KNG),968,824,546,,,,,10,,,14,,2362.0,16117.0,12787.0
359,Jakarta (CGK)-Tanjung Redeb (BEJ),,,1042,,,445,,,,,427,282,2196.0,,
360,Manokwari (MKW)-Fak-fak (FKQ),"809
842","755
508","557
715","-
-","-
-","-
-","-
-","-
-","-
-","-
-","63
-","-
-",2184.0,11614.0,11150.0
361,Semarang (SRG)-Karimun Jawa (KWB),,,,,,,,,,,,,2065.0,5272.0,12444.0
362,Tanjung Pinang (TNJ)-Matak (MWK),712,697,595,,,,,,,,,,2004.0,10999.0,7401.0
363,Surabaya (SUB)-Solo (SOC),639,670,658,,,,,,,,,,1967.0,22427.0,9171.0
364,Sanana (SQN)-Ambon (AMQ),"581
640","490
508","535
507","259
192","-
-","-
-","-
-","-
-","-
-","-
-","-
-","-
-",1865.0,,1931.0
365,Ternate (TTE)-Sanana (SQN),,,,,,,,,,,,,1847.0,,3601.0
366,Morotai (OTI)-Manado (MDC),721,469,605,,,,,,,,,,1795.0,39.0,821.0
367,Bandar Lampung (TKG)-Peakon Serai (TFY),,468,1106,,,,,173,37,,,,1784.0,,1241.0
368,Solo (SOC)-Palangkaraya (PKY),621,587,566,,,,,,,,,,1774.0,44556.0,2705.0
369,Timika (TIM)-Langgur (LUV),746,463,451,,,,,,,,,,1660.0,,636.0
370,Jambi (DJB)-Bandung (BDO),593,366,688,,,,,,,,,,1647.0,,4584.0
371,Makassar (UPG)-Labuhan Bajo (LBJ),1613,,,,,,,,,,,,1613.0,32.0,12313.0
372,Solo (SOC)-Palembang (PLM),,,218,1060,,247,,,,,,,1525.0,33584.0,
373,Merauke (MKQ)-Mappi (KEI),182,200,280,,,,10,262,259,214,25,88,1520.0,7968.0,3195.0
374,Bengkulu (BKS)-Bandung (BDO),423,328,725,,,,,,,,,,1476.0,,4411.0
375,Semarang (SRG)-Sampit (SMQ),,,,43,30,353,386,405,208,,,,1425.0,38303.0,6536.0
376,Banjarmasin (BDJ)-Samarinda (AAP),,,,,,,,,237,325,386,451,1399.0,,3794.0
377,Tanjung Selor (TJS)-Samarinda (AAP),601,521,215,,,,,,,,,,1337.0,,9334.0
378,Tanjung Redeb (BEJ)-Tarakan (TRK),915,85,,,,,,,,,,,1000.0,11438.0,7594.0
379,Pangkalan Bun (PKN)-Yogyakarta (JOG),,,,,,,,,,185,402,317,904.0,,
380,Melangguane (MNA)-KEP.TALAUD (IAX),211,148,334,64,,,,35,,,,,792.0,3953.0,1333.0
381,Denpasar (DPS)-Alor (ARD),774,,,,,,,,,,,,774.0,,4419.0
382,Yogyakarta (YIA)-Padang Pariaman (PDG),,,576,,,,,,,,,,576.0,,
383,Sabu (SAU)-Kupang (KOE),268,175,72,,,,,,,,,,515.0,6740.0,3053.0
384,Banyuwangi (BWX)-Bandung (BDO),381,103,,,,,,,,,,,484.0,,1696.0
385,Jakarta-HLP (HLP)-PANGANDARAN (CJN),140,178,113,9,,,,,6,,6,,452.0,3558.0,2460.0
386,Makassar (UPG)-Ampana (OJU),,,,,,,,,,,52,256,308.0,,
387,Jakarta-HLP (HLP)-Cilacap (CXP),64,115,62,,,,,,,,,,241.0,4412.0,2223.0
388,Sorong (SOQ)-Bintuni (NTI),60,57,50,,,,,,,,,,167.0,2299.0,1270.0
389,Tanjung Pandan (TJQ)-Bandung (BDO),99,,,,,,,,,,,,99.0,,2302.0
390,Tarakan (TRK)-Tanjung Selor (TJS),13,,18,2,,,,,,,,,33.0,2799.0,251.0
391,Bintuni (NTI)-Manokwari (MKW),6,,14,,,,,,,,,,20.0,2308.0,1321.0
392,Pontianak (PNK)-Palangkaraya (PKY),,,,,,,,,,,,,,36346.0,6120.0
393,Timika (TIM)-Manado (MDC),,,,,,,,,,,,,,,
394,Manokwari (MKW)-Biak (BIK),,,,,,,,,,,,,,547.0,
395,Padang Pariaman (PDG)-Balikpapan (BPN),,,,,,,,,,,,,,,349.0
396,Solo (SOC)-Samarinda (AAP),,,,,,,,,,,,,,,
397,Pangkalan Bun (PKN)-Banjarmasin (BDJ),,,,,,,,,,,,,,,
398,Yogyakarta (YIA)-Jambi (DJB),,,,,,,,,,,,,,,
399,Solo (SOC)-Balikpapan (BPN),,,,,,,,,,,,,,29434.0,352.0
400,Sampit (SMQ)-Banjarmasin (BDJ),,,,,,,,,,,,,,32655.0,7339.0
401,"Praya, Lombok (LOP)-Majalengka (KJT)",,,,,,,,,,,,,,,5819.0
402,Pangkal Pinang (PGK)-Bandung (BDO),,,,,,,,,,,,,,34374.0,10956.0
403,Manado (MDC)-Galela (GLX),,,,,,,,,,,,,,13837.0,8800.0
404,Palu (PLW)-Ampana (OJU),,,,,,,,,,,,,,,4845.0
405,Surabaya (SUB)-Medan (KNO),,,,,,,,,,,,,,76037.0,22410.0
406,Palembang (PLM)-Bungo (BUU),,,,,,,,,,,,,,,652.0
407,Solo (SOC)-Banjarmasin (BDJ),,,,,,,,,,,,,,11100.0,7995.0
408,Pontianak (PNK)-Majalengka (KJT),,,,,,,,,,,,,,,9446.0
409,Jakarta (CGK)-Luwuk (LUW),,,,,,,,,,,,,,,16716.0
410,Tanjung Pinang (TNJ)-Anambas (LMU),,,,,,,,,,,,,,,1670.0
Total,,6832548,6274742,5036671,964783,72856,719239,1681724,2329377,2104073,2460535,3225349,3692069,35393966.0,100490773.0,78906585.0
