NO,RUTE (PP),Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,TOTAL 2020,TOTAL 2019,TOTAL 2018
274,Denpasar (DPS)-Samarinda (AAP),4398,3603,1674,,,,,,,,,,9675.0,,28698.0
275,Palembang (PLM)-Pekanbaru (PKU),2814,2403,2080,324,,,255,227,262,293,507,476,9641.0,27675.0,29760.0
276,Kendari (KDI)-Bau Bau (BUW),"3455
3272","3483
3127","2273
2465","146
687","-
-","-
-","-
-","170
-","39
-","-
-","24
-","14
-",9604.0,75841.0,41810.0
277,Ternate (TTE)-Morotai (OTI),,,,,,,,,,,,,9551.0,40244.0,33298.0
278,Jakarta-HLP (HLP)-Jambi (DJB),2978,2939,3369,253,,,,,,,,,9539.0,,4189.0
279,Batulicin (BTW)-Banjarmasin (BDJ),3478,3476,1958,275,,62,,,,,,,9249.0,55536.0,44041.0
280,Dobo (DOB)-Ambon (AMQ),1264,1495,1561,937,,,,205,789,882,1052,990,9175.0,19609.0,18330.0
281,Nabire (NBX)-Manokwari (MKW),815,546,,,,,,,,1830,2536,3446,9173.0,,110.0
282,Langgur (LUV)-Dobo (DOB),1443,1551,1229,508,,,,241,825,883,1036,1390,9106.0,20718.0,20160.0
283,Palembang (PLM)-Padang Pariaman (PDG),3390,2745,2208,327,,34,132,108,,,,,8944.0,25436.0,40594.0
284,"Yogyakarta (YIA)-Praya, Lombok (LOP)",,,765,,,,,,,,2578,5593,8936.0,,10095.0
285,Jambi (DJB)-Bungo (BUU),3206,3422,2089,204,,,,,,,,,8921.0,,20588.0
286,Palu (PLW)-Morowali (MOH),1990,2068,1671,136,,,39,27,481,1154,513,760,8839.0,5658.0,22016.0
287,"Makassar (UPG)-Praya, Lombok (LOP)",3800,1832,,318,,,,,,,,2826,8776.0,97099.0,53741.0
288,Moa (JIO)-Ambon (AMQ),1540,1285,1433,177,,126,207,411,691,742,1112,822,8546.0,11444.0,23227.0
289,Dumai (DUM)-Batam (BTH),3436,2306,2017,199,,,259,293,21,,,,8531.0,30508.0,27160.0
290,Palembang (PLM)-Bengkulu (BKS),3328,2970,2098,129,,,,,,,,,8525.0,65167.0,40797.0
291,Bandung (BDO)-Banjarmasin (BDJ),,,,,,,,,657,1411,2745,3667,8480.0,108009.0,60318.0
292,Yogyakarta (YIA)-Bandar Lampung (TKG),,,653,2235,,,808,1018,592,1147,1456,511,8420.0,,
293,Kupang (KOE)-Jakarta-HLP (HLP),2888,2929,2247,204,,,,,,,,,8268.0,42488.0,41410.0
294,Makassar (UPG)-TRT,,,,,,,,,691,1427,2380,3736,8234.0,,
295,Malinau (LNU)-Balikpapan (BPN),2714,2345,2262,200,,,,13,,,,562,8096.0,,15108.0
296,Ternate (TTE)-Surabaya (SUB),,,189,2080,131,268,370,515,,,,4542,8095.0,43502.0,29672.0
297,Pekanbaru (PKU)-Padang Pariaman (PDG),3315,3030,1724,26,,,,,,,,,8095.0,39624.0,33451.0
298,Nabire (NBX)-Biak (BIK),2775,1912,1142,,,,,,,51,791,1402,8073.0,68891.0,30802.0
299,Palembang (PLM)-Denpasar (DPS),3566,2382,1395,103,,,,,,,,518,7964.0,51398.0,43606.0
