NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
53,CGK-CAN,453.0,32661,69413,4898427,74304.0,"47,1"
54,CGK-AMS,319.0,32358,113013,3327856,38907.0,"28,6"
55,SIN-JOG,292.0,28498,49824,160731,0.0,"57,2"
56,PEK-DPS,105.0,28003,35640,313532,17820.0,"78,6"
57,SIN-TPE,120.0,27854,37560,392236,21170.0,"74,2"
58,DRW-DPS,199.0,26290,36774,4027,0.0,"71,5"
59,SUB-HKG,225.0,26035,50341,3935256,0.0,"51,7"
60,PVG-DPS,127.0,24705,35369,726195,4650.0,"69,8"
61,CGK-RUH,79.0,24632,32421,402227,251.0,"76,0"
62,CGK-CMB,158.0,24579,29334,183742,0.0,"83,8"
63,PLM-KUL,222.0,24362,39960,2880,0.0,"61,0"
64,PNK-KCH,278.0,22193,36864,694,0.0,"60,2"
65,CGK-MEL,203.0,22059,46859,2663234,14340.0,"47,1"
66,KIX-DPS,151.0,21804,38333,1014864,251.0,"56,9"
67,SRG-KUL,176.0,21225,31680,0,0.0,"67,0"
68,UPG-KUL,156.0,20784,28080,164653,0.0,"74,0"
69,KNO-DMK,160.0,20038,28800,668920,0.0,"69,6"
70,DPS-CNS,128.0,19709,23184,1625,0.0,"85,0"
71,DPS-AKL,167.0,18665,59118,31228,15382.0,"31,6"
72,KUL-MAA,150.0,18369,27000,36614,9706.0,"68,0"
73,CGK-PVG,379.0,18292,38258,5699525,348173.0,"47,8"
74,DPS-DIL,326.0,18115,60138,25918,0.0,"30,1"
75,SUB-MED,45.0,17696,20250,0,0.0,"87,4"
76,PNK-KUL,156.0,17101,28080,2469,0.0,"60,9"
77,SRG-SIN,158.0,15626,27216,49634,0.0,"57,4"
78,KNO-AMS,78.0,15155,29576,609971,7703.0,"51,2"
79,SZX-DPS,99.0,14976,19965,84691,4880.0,"75,0"
80,Surabaya (SUB)-BANDAR SRI BEGAWAN (BWN,,14769,25650,87549,29.0,"57,6"
81,CGK-KIX,159.0,14477,39554,1765615,0.0,"36,6"
82,CGK-BWN,166.0,14300,25524,120666,4805.0,"56,0"
83,CGK-FOC,88.0,13934,18440,99303,0.0,"75,6"
84,CGK-SGN,183.0,13773,25939,672806,440.0,"53,1"
85,CGK-PER,140.0,13287,23492,106436,2501.0,"56,6"
86,KNO-DPS,99.0,13008,37829,653484,8832.0,"34,4"
87,SUB-PEN,110.0,12884,19800,814,0.0,"65,1"
88,SUB-JHB,113.0,12559,20340,98,0.0,"61,7"
89,SIN-PLM,108.0,12493,19440,6568,0.0,"64,3"
90,KNO-JED,49.0,11500,22022,800,5140.0,"52,2"
