NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
44,UPG-PLW,1854.0,198172.0,328906.0,2823317.0,102553.0,"60,3"
45,PDG-BTH,1462.0,196269.0,289424.0,540166.0,896.0,"67,8"
46,UPG-DJJ,1567.0,194319.0,285337.0,1647111.0,105154.0,"68,1"
47,UPG-DPS,1802.0,193203.0,337707.0,1371338.0,45284.0,"57,2"
48,CGK-AAP,1980.0,185676.0,323748.0,411880.0,5406.0,"57,4"
49,UPG-TTE,1446.0,182962.0,243876.0,1870229.0,14506.0,"75,0"
50,PLM-HLP,1802.0,182627.0,300060.0,438455.0,388.0,"60,9"
51,UPG-SOQ,1722.0,180422.0,279695.0,1828990.0,42048.0,"64,5"
52,UPG-GTO,1641.0,169643.0,290651.0,2242518.0,33732.0,"58,4"
53,KNO-BTJ,1300.0,153385.0,258506.0,788452.0,9835.0,"59,3"
54,CGK-BTJ,1727.0,150467.0,296316.0,3753185.0,65751.0,"50,8"
55,MLG-HLP,1595.0,147444.0,267420.0,51093.0,91.0,"55,1"
56,YIA-BPN,1318.0,144689.0,243498.0,1021913.0,1028.0,"59,4"
57,SOQ-MKW,1286.0,143270.0,202701.0,1174131.0,992.0,"70,7"
58,SUB-PKY,1007.0,142995.0,211429.0,1065163.0,3858.0,"67,6"
59,PKU-KNO,1142.0,138355.0,227016.0,183362.0,445.0,"60,9"
60,KNO-GNS,3089.0,137156.0,230074.0,324846.0,0.0,"59,6"
61,PDG-HLP,1379.0,137069.0,230556.0,1561072.0,1095.0,"59,5"
62,YIA-UPG,1362.0,134387.0,254000.0,1467582.0,232.0,"52,9"
63,SRG-HLP,1359.0,130317.0,229914.0,448744.0,412.0,"56,7"
64,CGK-MLG,1356.0,130133.0,235424.0,200143.0,524.0,"55,3"
65,SRG-BDJ,1218.0,130068.0,239845.0,514584.0,410.0,"54,2"
66,SUB-PNK,1079.0,127165.0,199188.0,723442.0,9894.0,"63,8"
67,UPG-MKW,1100.0,124847.0,192487.0,1055863.0,18061.0,"64,9"
68,TIM-DJJ,1145.0,120392.0,192361.0,1677133.0,88316.0,"62,6"
69,UPG-TIM,1145.0,120103.0,193477.0,1181685.0,66138.0,"62,1"
70,PNK-KTG,2562.0,119265.0,184282.0,104377.0,0.0,"64,7"
71,HLP-DPS,1371.0,118371.0,242772.0,801245.0,213.0,"48,8"
72,PLM-BTH,1145.0,118270.0,213441.0,578543.0,201.0,"55,4"
73,LBJ-DPS,1731.0,114812.0,225134.0,172895.0,503.0,"51,0"
74,JOG-DPS,1029.0,114164.0,182283.0,170813.0,1900.0,"62,6"
75,WMX-DJJ,11477.0,112182.0,162236.0,81469464.0,0.0,"69,1"
76,BPN-BDJ,1817.0,111234.0,181318.0,218469.0,7475.0,"61,3"
77,SOC-HLP,1199.0,107840.0,210048.0,324861.0,730.0,"51,3"
78,SRG-PKN,1644.0,103476.0,144720.0,336136.0,0.0,"71,5"
79,PLM-PGK,1251.0,101912.0,137880.0,190018.0,154.0,"73,9"
80,CGK-TNJ,1267.0,101770.0,217211.0,2861146.0,103926.0,"46,9"
81,CGK-DTB,996.0,100590.0,166543.0,880744.0,2819.0,"60,4"
82,PLW-BPN,716.0,97634.0,141958.0,522202.0,75.0,"68,8"
83,JOG-BPN,740.0,97386.0,138630.0,538751.0,2523.0,"70,2"
84,LOP-BMU,1845.0,96362.0,141720.0,43201.0,0.0,"68,0"
85,CGK-SOQ,1146.0,95266.0,185814.0,1434307.0,61600.0,"51,3"
86,CGK-KDI,1084.0,93971.0,179202.0,1805232.0,38702.0,"52,4"
87,UPG-JOG,624.0,93809.0,119508.0,536337.0,1917.0,"78,5"
88,UPG-BUW,2109.0,92631.0,150924.0,193788.0,273.0,"61,4"
89,SOC-DPS,842.0,91611.0,172045.0,141769.0,108.0,"53,2"
90,CGK-PLW,1167.0,89156.0,177901.0,3061703.0,34297.0,"50,1"
91,KOE-DPS,1064.0,87943.0,199317.0,1466869.0,48064.0,"44,1"
92,KOE-ENE,1616.0,83415.0,115188.0,424354.0,0.0,"72,4"
93,UPG-LUW,935.0,81487.0,144484.0,601052.0,1043.0,"56,4"
94,CGK-DJJ,833.0,80969.0,143936.0,987147.0,73652.0,"56,3"
95,CGK-AMQ,912.0,80802.0,147588.0,2165767.0,83254.0,"54,7"
96,TJQ-PGK,1309.0,80532.0,113824.0,187155.0,74.0,"70,8"
97,CGK-BWX,1235.0,80017.0,185753.0,189236.0,0.0,"43,1"
98,HLP-BPN,1044.0,78792.0,123246.0,4736569.0,2751.0,"63,9"
99,MKQ-DJJ,657.0,78591.0,123865.0,824924.0,45629.0,"63,4"
100,DJJ-BIK,607.0,75831.0,109840.0,809797.0,24615.0,"69,0"
101,UPG-BIK,672.0,72736.0,121676.0,929356.0,37155.0,"59,8"
102,CGK-LBJ,983.0,72521.0,160796.0,303463.0,1576.0,"45,1"
103,SUB-SRG,1636.0,68669.0,136648.0,225310.0,0.0,"50,3"
104,MOF-KOE,1216.0,68122.0,98855.0,395832.0,0.0,"68,9"
105,PDG-KNO,544.0,68074.0,114371.0,109091.0,7815.0,"59,5"
106,CGK-TTE,800.0,65983.0,129979.0,1481651.0,54508.0,"50,8"
107,TMC-KOE,1220.0,65624.0,98880.0,417730.0,0.0,"66,4"
108,DPS-BDO,693.0,62588.0,124326.0,361110.0,351.0,"50,3"
109,TTE-MDC,1253.0,62159.0,92081.0,92081.0,1479.0,"67,5"
110,TMC-DPS,1001.0,62065.0,89394.0,173988.0,0.0,"69,4"
111,CGK-KOE,702.0,61566.0,109228.0,944393.0,9636.0,"56,4"
112,SUB-PKN,1025.0,60828.0,96248.0,262726.0,0.0,"63,2"
113,SUB-SMQ,1035.0,60626.0,89172.0,291717.0,0.0,"68,0"
114,WGP-KOE,1393.0,60248.0,106778.0,347598.0,0.0,"56,4"
115,HLP-DTB,595.0,59981.0,107100.0,454307.0,0.0,"56,0"
116,SUB-BDO,,,,,,"52,4
45,5"
118,PNK-BTH,534.0,58770.0,100053.0,118897.0,310.0,"58,7"
119,SRG-BPN,483.0,58681.0,93211.0,459615.0,101.0,"63,0"
120,KOE-BJW,1303.0,58372.0,92194.0,195422.0,0.0,"63,3"
121,SUB-JOG,1689.0,57106.0,120940.0,75250.0,0.0,"47,2"
122,KOE-ARD,1214.0,56264.0,86404.0,229616.0,0.0,"65,1"
123,PKU-JOG,366.0,53934.0,72530.0,125313.0,1199.0,"74,4"
124,SUB-LBJ,627.0,52332.0,96882.0,197304.0,646.0,"54,0"
125,UPG-MKQ,394.0,50525.0,64596.0,257551.0,7276.0,"78,2"
126,LKA-KOE,992.0,49082.0,70386.0,206735.0,0.0,"69,7"
127,DPS-BMU,1067.0,48422.0,85988.0,41823.0,0.0,"56,3"
128,UPG-MJU,1163.0,48267.0,91752.0,34293.0,0.0,"52,6"
129,SWQ-LOP,1047.0,48078.0,75384.0,32511.0,0.0,"63,8"
130,CGK-PKN,510.0,47568.0,65280.0,422017.0,0.0,"72,9"
131,LUV-AMQ,1126.0,47499.0,81072.0,179106.0,0.0,"58,6"
132,YIA-PKU,529.0,46912.0,97043.0,587478.0,0.0,"48,3"
133,SUB-MDC,380.0,46666.0,76630.0,409466.0,791.0,"60,9"
134,PKU-HLP,445.0,46625.0,69444.0,380976.0,546.0,"67,1"
135,SOQ-DJJ,375.0,46390.0,65446.0,140777.0,751.0,"70,9"
136,UPG-BDJ,370.0,45921.0,77351.0,45211.0,0.0,"59,4"
137,PLM-KNO,539.0,45893.0,78511.0,131552.0,12075.0,"58,5"
138,UPG-AAP,502.0,45498.0,78378.0,12709.0,40.0,"58,0"
139,UPG-PUM,910.0,44930.0,65012.0,99494.0,0.0,"69,1"
140,DJB-BTH,343.0,42461.0,68891.0,88222.0,217.0,"61,6"
141,SOQ-BXB,1093.0,41976.0,78696.0,542.0,0.0,"53,3"
142,KNO-BDO,576.0,40937.0,104091.0,673891.0,0.0,"39,3"
143,JOG-BDJ,249.0,39957.0,46727.0,100968.0,643.0,"85,5"
144,SRG-DPS,849.0,39937.0,83300.0,163792.0,0.0,"47,9"
145,HLP-BDO,1128.0,39324.0,79920.0,69819.0,0.0,"49,2"
146,LBJ-ENE,837.0,39267.0,59924.0,83129.0,0.0,"65,5"
147,KNO-JOG,318.0,39073.0,57240.0,269773.0,0.0,"68,3"
148,PLM-JOG,368.0,38924.0,52786.0,65331.0,239.0,"73,7"
149,SOQ-MDC,266.0,38920.0,55302.0,73856.0,0.0,"70,4"
150,SRG-BTH,314.0,38698.0,65794.0,335287.0,148.0,"58,8"
151,JOG-BDO,924.0,37867.0,65634.0,81624.0,0.0,"57,7"
152,UPG-TRK,267.0,36869.0,52049.0,67760.0,257.0,"70,8"
153,CGK-LLJ,379.0,36344.0,54106.0,48566.0,473.0,"67,2"
154,YIA-HLP,552.0,36282.0,93468.0,34423.0,1.0,"38,8"
